title,source,date,time,category,sub-category,content,url
PASI Keluhkan Stadion Madya untuk Acara Komersil ke Menpora Amali,detik.com,18:59,25 Okt 2019,detikSport,Sport Lain,"Jakarta - Menpora Zainudin Amali juga mendapatkan keluhan dari pelatnas atletik. Ketua Umum Pengurus Besar (PB) Persatuan Atletik Seluruh Indonesia (PASI), Bob Hasan, curhat tentang venue latihan. Amali meninjau pelatnas atletik di Stadion Madya, Kompleks Gelora Bung Karno (GBK), Senayan, Jumat (25/10/2019) pukul 15.00 WIB, usai mengunjungi cabang panahan. Ketika tiba di Stadion Madya, Amali disambut oleh Lalu Muhammad Zohri dkk. Hadir pula Ketua Umum PB PASI, Bob Hasan, yang didampingi oleh Sekretaris Jenderal PASI Tigor Tanjung.Dalam pertemuan antara atlet, pengurus, dan menpora itu. Bob menyampaikan langsung apa yang menjadi tantangan atletnya menuju SEA Games 2019. Terutama tempat latihan yang harus berbagi dengan cabor lain, terkhusus sepakbola. Baca juga: Sidak Perdana, Menpora Amali Dicurhati Peralatan Pelatnas Kurang""Ini stadion dibangun Bapak Sukarno untuk membangun olahraga. Tetapi, sekarang sudah menjadi Badan Layanan Umum (BLU) untuk mencari duit. Padahal, kami inginnya atletik bisa terus latihan di sini. Jangan ada apa-apa untuk mencari duit,"" kata Bob dalam kesempatan itu.Ya, selain digunakan sebagai salah satu tempat bertanding sepakbola, Stadion Madya juga pernah menjadi lokasi acara marching band bertajuk Indonesia Drum Corps Championship 2019. Acara tersebut berlangsung tiga hari mulai 3-6 Oktober. Alhasil, stadion menjadi kotor bahkan ditemukan kawat serta paku di lintasan.""Mereka sewakan ya kami tidak bisa apa-apa. Yang kuasa kan Departemen Keuangan. Padahal, Bung Karno bangun ini (stadion) khusus olahraga, nyatanya jadi apa sekarang?"" sesal Bob.Bahkan tak jarang, kata Bob, atletnya harus pindah ke Stadion Pakansari, Bogor, sebab lintasan Rawamangun juga sudah rusak. Selanjutnya Halaman 1 2 Simak Video ""Lari Sebelah Mata, Arianti Sprinter Andalan Indonesia"" [Gambas:Video 20detik] pasi atletik bob hasan pelatnas sea games 2019 sea games 2019",https://sport.detik.com/sport-lain/d-4760121/pasi-keluhkan-stadion-madya-untuk-acara-komersil-ke-menpora-amali
Anthony Tantang Momota Perempatfinal French Open,detik.com,05:37,25 Okt 2019,detikSport,Raket,"Paris - Anthony Sinisuka Ginting melaju ke perempatfinal French Open 2019. Lolos ke babak delapan besar, Anthony akan menghadapi Kento Momota.Anthony menyingkirkan Huang Yu Xiang di babak kedua untuk merebut tiket perempatfinal. Dalam pertandingan di Stade Pierre de Coubertin, Jumat (25/10/2019) dini hari WIB, pebulutangkis yang ditempatkan sebagai unggulan kedelapan itu menang 21-11, 21-10.Di babak perempatfinal, Anthony akan berhadapan dengan Momota. Pebulutangkis nomor satu dunia itu lolos setelah melewati pertarungan tiga gim melawan Hans-Kristian Solberg Vittinghus dengan skor 17-21, 21-19, 21-4. Ini akan jadi pertemuan yang ke-14 antara Anthony dan Momota. Anthony kalah 10 kali dari pebulutangkis Jepang itu.Dengan kemenangan Anthony, Indonesia menempatkan tiga tunggal putra di perempatfinal. Jonatan Christie dan Shesar Hiren Rhustavito sebelumnya sudah lebih dulu lolos.Baca juga: Bertarung Tiga Gim, Jonatan ke Perempatfinal French Open Selanjutnya Halaman 1 2 Simak Video ""Anthony Ginting Gagal Melaju ke Perempat Final Indonesia Open"" [Gambas:Video 20detik] french open 2019 anthony sinisuka ginting praveen jordan melati daeva oktavianti",https://sport.detik.com/raket/d-4759108/anthony-tantang-momota-perempatfinal-french-open
Vinales Tercepat di FP1 MotoGP Australia,detik.com,08:06,25 Okt 2019,detikSport,Moto Gp,"Jakarta - Maverick Vinales jadi yang terbaik di latihan bebas pertama MotoGP Australia yang berlangsung di atas lintasan basah. Sementara itu, Fabio Quartararo crash.Sesi free practice pertama MotoGP Australia di Phillip Island Grand Prix Circuit, Jumat (25/10/2019) pagi WIB, berlangsung di bawah guyuran hujan. Vinales mencatatkan waktu tercepat pada sesi yakni 1 menit 38,957 detik.Ia mengungguli pebalap tuan rumah, Jack Miller (Pramac Ducati), dengan selisih 0,147 detik. Marc Marquez (Repsol Honda) melengkapi tiga besar dengan catatan waktu 0,385 detik lebih lambat daripada Vinales. Baca juga: Rossi Menatap Balapan ke-400 di MotoGP AustraliaRekan setim Vinales di Monster Energy Yamaha, Valentino Rossi, ada di urutan keempat di depan Danilo Petrucci (Ducati). Dua rider Petronas Yamaha, Franco Morbidelli dan Fabio Quartararo, menyusul di belakangnya.Meski demikian, sesi latihan bebas pertama berakhir buruk bagi Quartararo. Ia crash di menit-menit akhir dan harus dibawa ke pusat medis untuk menjalani pemeriksaan. Rookie of The Year itu terlihat memegangi pergelangan kaki kirinya.Posisi kedelapan dan kesembilan ditempati oleh Pol Espargaro dan Miguel Oliveira. Andrea Dovizioso kemudian melengkapi 10 besar.Baca juga: Dovizioso Curiga Desmosedici-nya Punya Masalah Teknis TersembunyiHasil FP1 MotoGP AustraliaPos Pebalap Negara Tim Waktu/Gap1 Maverick Vinales SPA Monster Yamaha (YZR-M1) 1'38.957s2 Jack Miller AUS Pramac Ducati (GP19) +0.147s3 Marc Marquez SPA Repsol Honda (RC213V) +0.385s4 Valentino Rossi ITA Monster Yamaha (YZR-M1) +0.928s5 Danilo Petrucci ITA Ducati Team (GP19) +0.953s 6 Franco Morbidelli ITA Petronas Yamaha (YZR-M1) +1.363s7 Fabio Quartararo FRA Petronas Yamaha (YZR-M1) +1.618s8 Pol Espargaro SPA Red Bull KTM Factory (RC16) +1.630s9 Miguel Oliveira POR Red Bull KTM Tech3 (RC16) +1.718s10 Andrea Dovizioso ITA Ducati Team (GP19) +1.733s11 Karel Abraham CZE Reale Avintia Ducati (GP18) +1.842s12 Alex Rins SPA Suzuki Ecstar (GSX-RR) +1.903s 13 Johann Zarco FRA LCR Honda (RC213V) +2.095s 14 Cal Crutchlow GBR LCR Honda (RC213V) +2.116s 15 Joan Mir SPA Suzuki Ecstar (GSX-RR) +2.161s 16 Francesco Bagnaia ITA Pramac Ducati (GP18) +2.223s17 Hafizh Syahrin MAL Red Bull KTM Tech3 (RC16) +2.414s18 Jorge Lorenzo SPA Repsol Honda (RC213V) +3.001s19 Mika Kallio FIN Red Bull KTM Factory (RC16) +3.349s20 Tito Rabat SPA Reale Avintia Ducati (GP18) +4.590s21 Andrea Iannone ITA Factory Aprilia Gresini (RS-GP) +4.822s22 Aleix Espargaro SPA Factory Aprilia Gresini (RS-GP) +5.191s Simak Video ""Hasil MotoGP Thailand: Marquez Juara Dunia 2019"" [Gambas:Video 20detik] (nds/raw) motogp motogp australia maverick vinales",https://sport.detik.com/moto-gp/d-4759151/vinales-tercepat-di-fp1-motogp-australia
Dovizioso Curiga Desmosedici-nya Punya Masalah Teknis Tersembunyi,detik.com,04:20,25 Okt 2019,detikSport,Moto Gp,"Jakarta - Andrea Dovizioso curiga Desmosedici GP19 miliknya punya masalah teknis yang tersembunyi. Ia mengeluhkan lajunya di kondisi daya cengkeram bagus dan ban baru.Keluhan itu sudah diungkapkan Dovizioso selepas MotoGP Jepang. Pada seri di sirkuti Motegi itu, rider Italia tersebut finis di urutan tiga.Baca juga: Sedang Penuh Percaya Diri, Quartararo Bisa Podium Lagi di MotoGP Australia?Pebalap Mission Winnow Ducati ini kala itu start dari posisi tujuh dan langsung naik dua posisi di lap-lap awal. Namun kemudian ia kesulitan melewati Franco Morbidelli hingga 10 putaran pertama berlalu. Baru setelah itu, laju Dovizioso malah membaik, ketika ban-ban sudah mulai tergerus. Situasi ini yang bikin runner-up dua musim terakhir itu terheran-heran.Di awal-awal balapan, ketika ban masih fresh dan daya cengkeram lintasan juga bagus, ia kehilangan banyak waktu khususnya di bagian tengah tikungan. Ia berharap mekanik bisa membantunya memecahkan masalah ini jelang MotoGP Australia.Baca juga: Rossi Menatap Balapan ke-400 di MotoGP Australia""Tahun lalu kami menjalani balapan yang sangat bagus dan cepat. Saya harap bisa bertahan di podium lagi. Saya rasa akan sulit sih, karena pastinya Marc (Marquez) juga para pebalap Yamaha akan sangat tangguh,"" kata Dovizioso dikutip Crash.""(Alex) Rins, menurut saya akat kuat juga. Jadi ini akan sulit, tapi di balapan terakhir pada periode akhir, kami cukup cepat.""""Kami harus memahami sesuatu soal ini, karena sudah terjadi terlalu sering musim ini. Saya rasa ada alasan teknis sih. Tapi di sini kami ada di trek yang karakternya berbeda,"" tandasnya.Baca juga: Jelang MotoGP Australia: Dovizioso Hadapi Lintasan Tersulit Simak Video ""Dovizioso Rajai MotoGP San Marino"" [Gambas:Video 20detik] (raw/nds) andrea dovizioso motogp australia motogp jepang",https://sport.detik.com/moto-gp/d-4759089/dovizioso-curiga-desmosedici-nya-punya-masalah-teknis-tersembunyi
Pengumuman! Conor McGregor Kembali Naik Oktagon Bulan Januari,detik.com,00:26,25 Okt 2019,detikSport,Sport Lain,"Moskow - Conor McGregor masih belum betah menghabiskan waktu sebagai pensiunan tarung bebas. Atlet asal Republik Irlandia itu mengumumkan kembali bertarung Januari 2020.McGregor diketahui sempat memutuskan pensiun dari ajang tarung bebas (mixed martial arts) pada 26 Maret lalu, di tengah berlakunya masa hukuman bertanding dari Komisi Atletik Nevada. Pengumuman pensiun itu disampaikan hampir enam bulan setelah dirinya kalah secara submission oleh Khabib Nurmagomedov, pada ronde keempat dalam pertarungan perebutan juara kelas ringan di ajang Ultimate Fighting Championship (UFC) 229 pada 6 Oktober 2018.Meski demikian, isu kembalinya McGregor ke dalam ring oktagon terus gencar terdengar sekalipun dirinya telah menyatakan undur diri. Hal ini dikarenakan namanya masih tercantum di daftar ranking petarung MMA. Selain itu, McGregor sering mengeluarkan sinyal-sinyal comeback, salah satunya lewat wawancara dengan ESPN dan status di media sosialnya. Tujuh bulan usai menyatakan pensiun, pria berjuluk The Notorious ini mengumumkan kembalinya ia di ajang UFC. Lewat konferensi yang digelar di Moskow, Rusia, McGregor bahkan mengumumkan tempat dan tanggal pertarungannya, yakni di Las Vegas pada 18 Januari 2020. Meski begitu, belum diketahui siapa yang akan menjadi lawannya.Baca juga: Khabib Mau Tanding Lagi dengan McGregor, Ini Syaratnya""Tanggalnya sudah disetujui. Saya tak peduli siapa yang akan menjadi lawan saya,"" ujar McGregor, Kamis (24/10), seperti dikutip BBC.Usai pengumunan ini, McGregor akan langsung mempersiapkan diri. Ia mesti memaksimalkan waktu kurang dari tiga bulan untuk kembali ke kondisi terbaiknya seperti waktu masih bertanding dulu. ""Perlu 66 hari untuk membentuk kebiasaan. Sekarang saya harus tidur lebih awal dan bangun pagi. Saya akan fokus pada pertarungan, dan tak akan mabuk-mabukan,"" ujar McGregor menambahkan.Usai comeback, McGregor diyakini sejumlah pihak akan segera menantang Khabib untuk rematch, meski belum ada kepastian di antara kedua kubu. Memilih Rusia sebagai lokasi konferensi pers dipercaya merupakan cara McGregor untuk memanaskan suasana rivalitasnya dengan Khabib, sekaligus pesan bahwa ia telah kembali.Baca juga: Khabib Nurmagomedov Tunggu Permintaan Maaf Conor McGregor Simak Video ""Detik-detik McGregor Tonjok Orang Tua di Bar"" [Gambas:Video 20detik] (adp/raw) conor mcgregor ufc khabib nurmagomedov",https://sport.detik.com/sport-lain/d-4759077/pengumuman-conor-mcgregor-kembali-naik-oktagon-bulan-januari
Vinales Tercepat Lagi di FP2 MotoGP Australia,detik.com,12:23,25 Okt 2019,detikSport,Moto Gp,"Phillip Island - Rider Yamaha Maverick Vinales kembali menjadi yang tercepat di latihan bebas kedua MotoGP Australia. Vinales mengungguli Andrea Dovizioso.Pada sesi di Sirkuit Phillips Island, Jumat (25/10/2016) siang WIB, Vinales membukukan waktu terbaik dengan 1 menit 28,824 detik, lebih baik daripada latihan pertama. Dovizioso finis kedua dengan jarak hampir setengah detik.Rider LCR Cal Crutchlow menjadi pebalap Honda terbaik di latihan bebas keduua setelah menempati posisi ketiga. Crutchlow membukukan 1 menit 29,325 detik atau selisih 0,501 detik dari Vinales. Baca juga: Vinales Tercepat di FP1 MotoGP AustraliaSementara itu Marc Marquez harus puas menyudahi di peringkat keenam dengan gap yang nyaris menyentuh 0,6 detik. Juara dunia MotoGP 2019 itu berada di belakang Danilo Petrucci (4) dan Jack Miller (5).Sebuah insiden terjadi yang melibatkan Marquez dengan rekan setimnya Jorge Lorenzo. Menyusul laju Lorenzo yang dianggap terlalu pelan saat memasuki tikungan.Baca juga: Rossi Menatap Balapan ke-400 di MotoGP AustraliaPosisi 10 besar dilengkapi oleh Alex Rins, Franco Morbidelli, dan Aleix Espargaro. Sementara itu, Johann Zarco yang menunggangi LCR finis ke-15 di depan Lorenzo.Pada sesi kali ini Fabio Quartararo terpaksa absen setelah jatuh di sesi pertama. Meski begitu, pebalap Petronas Yamaha itu dinyatakan fit untuk melanjutkan sesi selanjutnya.Hasil Lengkap FP2 MotoGP AustraliaFoto: MotoGP.com Simak Video ""Hasil MotoGP Thailand: Marquez Juara Dunia 2019"" [Gambas:Video 20detik] (rin/cas) motogp australia motogp motogp australia 2019 maverick vinales",https://sport.detik.com/moto-gp/d-4759411/vinales-tercepat-lagi-di-fp2-motogp-australia
Tuan Rumah Piala Dunia U-20: Si Jalak Harupat Cuma Butuh Segarkan Rumput,detik.com,11:14,25 Okt 2019,detikSport,Sport Lain,"Bandung - Stadion Si Jalak Harupat di Kabupaten Bandung menunggu kepastian sebagai venue Piala Dunia U-20 2021. Stadion itu cuma perlu menyegarkan rumput lapangan. Stadion Si Jalak Harupat menjadi salah satu calon venue Piala Dunia U-20 dua tahun mendatang. Kepala Dinas Pemuda dan Olahraga Kabupaten Bandung, Slamet Mulyana, mengatakan PSSI sudah meninjau Stadion Si Jalak Harupat. Kini, mereka tinggal menunggu kepastian dari PSSI.""Siap digunakan. Kalau konfirmasi lanjutan belum tapi kalau misalnya dari awal pada saat sebelum diajukan ya memang ada surat dari PSSI bahwa akan ditunjuk salah satunya Si Jalak Harupat dan tim survei dari PSSI sudah turun ke sini dan dinyatakan laik,"" katanya via sambungan telepon, Jumat (25/10/2019). Baca juga: Indonesia Jadi Tuan Rumah Piala Dunia U-20, Infrastruktur Siap?Ia mengungkapkan kondisi stadion kebanggaan warga Kabupaten Bandung itu dalam keadaan baik. Si Jalak Harupat berpengalaman menjadi venue sepakbola pada Asian Games 2018.""Kondisi Jalak Harupat terakhir kita melaksanakan Asian Games saja. Rumput baik terawat tapi ada beberapa kendala kami kurang bisa menyiram karena kemarau panjang,"" kata dia. Slamet menyerahkan keputusan kepada pemerintah pusat. Dia berharap Si Jalak Harupat dapat digunakan.""Kalau tidak terpilih juga tidak apa-apa, tidak kecewa ini urusan negara tapi kalau berharap sangat berharap, tapi tergantung keputusan pusat yang jelas bagaimana sepatutnya penyelenggara ini bisa menyediakan tempat yang sangat memadai agar tidak memalukan bangsa,"" dia menjelaskan. ""Si Jalak Harupat merupakan stadion kebanggaan Pemkab Bandung dan masyarakat Kabupaten Bandung. Bila stadion ini digunakan dampak perekonomian akan meningkat, pariwisata di kawasan Ciwidey pun akan dikunjungi masyarakat internasional,"" dia menambahkan. Baca juga: Indonesia Tuan Rumah Piala Dunia U-20, Menpora Minta Arahan Presiden Jokowi Simak Video ""30 Korban Tol Cipularang Dievakuasi ke RSU Abdul Radjak Purwakarta"" [Gambas:Video 20detik] (fem/fem) stadion si jalak harupat piala dunia u-20 2021 indonesia tuan rumah piala dunia birojabar",https://sport.detik.com/sport-lain/d-4759334/tuan-rumah-piala-dunia-u-20-si-jalak-harupat-cuma-butuh-segarkan-rumput
"Crash di FP1 MotoGP Australia, Quartararo Dinyatakan Fit",detik.com,15:29,25 Okt 2019,detikSport,Moto Gp,"Phillip Island - Fabio Quartararo mengalami crash saat sesi latihan bebas pertama MotoGP Ausralia. Meski sempat terlihat kesakitan, ia dinyatakan fit.Rider tim Yamaha Petronas SRT itu terlempar dari motornya di tikungan keenam menjelang akhir FP1 di Phillip Island, Jumat (25/10/2019) siang WIB. Tubuh Quartararo terseret hingga ke pinggir lintasan, sebelum terkapar sambil memegangi kaki kirinya.Pebalap berjuluk El Diablo ini kemudian langsung dibawa ke medical center untuk menjalani pemeriksaan dan perawatan lebih lanjut. Ia dinyatakan fit untuk bisa melanjutkan seri ke-17 MotoGP 2019, namun mesti melewatkan sesi latihan bebas kedua karena efek obat penghilang rasa sakit di kakinya. ""Saya kehilangan cengkraman di roda belakang, kemudian saya mencoba untuk kembali mendapatkan cengkeraman tapi malah terlempar,"" kata Quartararo dikutip dari Crash.Baca juga: Vinales Tercepat Lagi di FP2 MotoGP Australia[Gambas:Twitter]""Saya beruntung karena tidak mematahkan tulang, setelah benturan yang kuat pada pergelangan kaki saya. Juga karena motor tidak menimpa saya saat terjatuh, tangan saya hanya terkena fairing,"" tambahnya.Saat ini, Rookie of the Year itu tengah memulihkan diri untuk bisa siap turun ke lintasan lagi mengikuti FP3 pada Sabtu (26/10). Quartararo juga menyebut faktor hujan deras saat sesi latihan bebas pertama membuatnya terjungkal dari atas motor.""Besok kita lihat saja, saya cukup merasakan sakit di kaki. Sayang sekali tidak bisa ikut berlaga di FP2 siang tadi, tetapi saya juga bersyukur lantaran saya tidak mematahkan apa pun,"" ujar rider berusia 20 tahun itu.""Saya kurang punya pengalaman di atas trek basah, meskipun ini baik-baik saja. Saya membuat kesalahan, tetapi hal tersebut menjadi pelajaran untuk bagaimana mengendalikan tunggangan saat hujan,"" komentar Quartararo.""Saya belum banyak jatuh dengan Yamaha, namun kejadian di sini dan saat di Silverstone adalah yang paling berat dan menyakitkan buat saya,"" tutupnya.Baca juga: Sedang Penuh Percaya Diri, Quartararo Bisa Podium Lagi di MotoGP Australia? Simak Video ""Hasil Kualifikasi MotoGP Spanyol: Fabio Quartararo Pole!"" [Gambas:Video 20detik] (cas/mrp) fabio quartararo motogp motogp 2019 yamaha",https://sport.detik.com/moto-gp/d-4759735/crash-di-fp1-motogp-australia-quartararo-dinyatakan-fit
Ahsan/Hendra dan Greysia/Apriyani Terhenti di Babak Kedua French Open,detik.com,01:03,25 Okt 2019,detikSport,Raket,"Paris - Langkah Mohammad Ahsan/Hendra Setiawan di French Open 2019 selesai di babak kedua. Sementara itu, Shesar Hiren Rhustavito menembus perempatfinal.Dalam pertandingan di Stade Pierre de Coubertin, Kamis (24/10/2019) malam WIB, Ahsan/Hendra harus mengakui keunggulan Satwiksairaj Rankireddy/Chirag Shetty (India). Pasangan yang ditempatkan sebagai unggulan kedua itu kalah dalam pertarungan tiga gim 18-21, 21-18, 13-21.Terus berada di bawah tekanan lawan di gim pertama, Ahsan/Hendra mampu membalikkan keadaan di gim kedua. Namun di gim ketiga, Ahsan/Hendra kembali berada dalam posisi tertekan. Baca juga: Bertarung Tiga Gim, Jonatan ke Perempatfinal French Open""Pertama dari permainan memang kami tertekan pola mereka. Tenaga pun mungkin berkurang juga,"" kata Ahsan kepada badmintonindonesia.org.""Kami no lobnya sudah kalah dulu, kepegang dulu. Kami angkat bola juga defensnya gampang tembus,""ujar Hendra menambahkan.Masih dari ganda putra, Wahyu Nayaka Arya Pangkaryanira/Ade Yusuf Santoso juga kandas. Wahyu/Ade kalah dalam pertarungan ketat tiga gim melawan Han Cheng Kai/Zhou Hao Dong dengan skor 18-21, 22-20, 20-22.Dari nomor ganda putri, Greysia Polii/Apriyani Rahayu juga tersingkir. Pasangan yang ditempatkan sebagai unggulan keenam itu kalah dari Liu Xuan Xuan/Xia Yu Ting dua gim langsung 19-21, 12-21.Di sektor tunggal putra, Shesar Hiren Rhustavito melanjutkan langkahnya ke babak perempatfinal. Shesar mengalahkan Subhankar Dey 21-6, 21-13.Shesar butuh waktu 30 menit untuk mengatasi perlawanan wakil India itu. Dia selanjutnya akan menghadapi pemenang dari laga antara Chen Long dan Lin Dan. Simak Video ""Hendra/Ahsan Juara Dunia Bulutangkis, Wiranto: Tua-tua Keladi"" [Gambas:Video 20detik] (nds/raw) french open french open 2019 mohammad ahsan hendra setiawan",https://sport.detik.com/raket/d-4759084/ahsanhendra-dan-greysiaapriyani-terhenti-di-babak-kedua-french-open
"Yuk, Sisihkan Uang Jajan! Indonesia Gelar MotoGP dan Piala Dunia U-20 di 2021 lho",detik.com,12:17,25 Okt 2019,detikSport,Sport Lain,"Jakarta - Indonesia dijadwalkan menggelar dua ajang besar pada 2021, MotoGP dan Piala Dunia U-20. Makanya, sisipkan uang agar bisa menjadi saksi sejarah. Kepastian Indonesia menjadi tuan rumah Piala Dunia U-20 itu diumumkan Kamis (24/10/2019). Indonesia memiliki waktu sekitar dua tahun untuk berbenah. Begitu pula suporter, memiliki waktu yang sama untuk mendukung langsung dan menjadi saksi sejarah Timnas Indonesia U-20 dan gelaran sejarah tersebut. Sebab, untuk kali pertama Indonesia menjadi tuan rumah Piala Dunia U-20 itu. Baca juga: Kenapa Tiket MotoGP Indonesia Dijual Sejak November 2019?Sejauh ini, sepuluh stadion yang tersebar di enam provinsi disiapkan untuk menjadi venue. Yakni, di Palembang, DKI Jakarta, Jawa Barat, Yogyakarta, Jawa Tengah, dan Bali. Selain biaya tiket, suporter wajib menyiapkan dana untuk transportasi. Berapa besar?Sebagai gambaran, PSSI merilis harga tiket Timnas Indonesia senior melawan Malaysia pada Kualifikasi Piala Dunia 2022 yang dilangsungkan pada 3 September dalam lima kategori. Kategori 3 menjadi yang termurah dengan banderol Rp 125 ribu, kemudian Kategori 2 dihargai Rp 175 ribu. Sementara, Kategori 1 dijual dengan biaya Rp 350 ribu. Untuk tiket VIP Timur dijual dengan harga Rp 750 ribu, VIP Barat menjadi yang termahal dengan harga Rp 1 juta. Harga tiket tersebut sudah termasuk asuransi dan merchandise yang disediakan oleh PSSI.Selain itu, Indonesia bakal menjadi tuan rumah salah satu seri MotoGP di tahun tersebut. MotoGP Indonesia akan dilangsungkan di Mandalika Lombok, Nusa Tenggara Barat, dengan menggunakan sirkuit jalan raya. Malah, rencananya, tiket MotoGP di Mandalika itu dijual per akhir November 2019 hingga Agustus 2020. Pembelian tiket masih bersifat pre-booking, dengan alokasi 20 ribu tiket dijual. Tapi, belum dijelaskan secara detail harga tiket nonton MotoGP itu. Berkaca pada harga tiket MotoGP Malaysia, harga terendah dipasang pada angka Rp 214 ribu dan yang paling mahal Rp 1,3 juta. Sementara itu, tiket MotoGP Thailand berkisar dari Rp 1 juta hingga Rp 2,1 jutaan.Baca juga: Indonesia Tuan Rumah Piala Dunia U-20 2021, Warganet: Kapan Tiket Mulai Dijual? Simak Video ""Karier Valentino Rossi di Penghujung Senja"" [Gambas:Video 20detik] (fem/cas) motogp 2019 piala dunia u-20 2021 indonesia tuan rumah motogp indonesia tuan rumah piala dunia",https://sport.detik.com/sport-lain/d-4759405/yuk-sisihkan-uang-jajan-indonesia-gelar-motogp-dan-piala-dunia-u-20-di-2021-lho
