title,source,date,time,category,sub-category,content,url
"Diangkat Jadi Kardinal, Ini Profil Ignatius Suharyo Hardjoatmodjo",Kompas.com,01/09/2019,20:33 WIB,Tren,-," - Uskup Agung Jakarta Monsignor  , diangkat menjadi  , oleh  ,, Minggu (1/9/2019).,Mgr Suharyo ditetapkan bersama 12 calon lainnya.,Para kardinal baru ini diumumkan ketika Doa Malaikat Tuhan (Angelus) yang digelar pukul 12.00 siang waktu setempat.,Seperti apa profil Mgr Ignatius Suharyo?,Mgr Suharyo lahir di Sedayu, Bantul, Yogyakarta, pada 9 Juli 1950.,Putra pasangan Florentinus Amir Hardjodisastra dan Theodora Murni Hardjodisastra ini awalnya tidak berkeinginan menjadi pastor.,Sementara, sang kakak, almarhum RP Suitbertus Ari Sunardi OCSO, masuk seminari hingga akhirnya menjadi pastor pertapa di Pertapaan Trappist Rawaseneng, Jawa Tengah.,Ignatius Suharyo sempat bersikukuh tidak mau menjadi pastor.,, 3 Februari 2016, menuliskan, Suharyo kecil justru bercita-cita menjadi polisi sebelum ada seorang pastor yang kemudian mengubah keinginannya.,Pastor tersebut menghampiri Suharyo dan menawarkan apakah dia mau menjadi pastor atau tidak.",https://www.kompas.com/tren/read/2019/09/01/203314565/diangkat-jadi-kardinal-ini-profil-ignatius-suharyo-hardjoatmodjo
"Berkenalan di Media Sosial, TE Tak Tahu Calon Pengantin Pria Ternyata Wanita",Kompas.com,01/09/2019,20:27 WIB,News,Regional,"- Kasat Reskrim Polres OKU AKP Alex Andrian mengatakan, TE (15) mengenal NI (25) melalui media sosial. Setelah merasa cocok, keduanya memutuskan untuk menikah.,""Antara korban sempat bertemu dengan NI beberapa kali, tapi TE tidak menaruh curiga. Sehingga korban mau dilamar oleh NI. Korban tak mengetahui kalau NI adalah perempuan,"" ujarnya, Minggu (1/9/2019).,Namun, saat NI datang ke rumah TE untuk melamar, keluarga TE curiga karena suara NI mirip suara wanita.,Keluarga TE kemudian meminta NI diperiksa ke bidan.,Hasilnya, NI ternyata seorang wanita yang menyamar menjadi pria. Keluarga TE kemudian membatalkan lamaran itu. ,NI sempat diamakan polisi karena khawatir dengan warga kampung yang emosi.",https://regional.kompas.com/read/2019/09/01/20270921/berkenalan-di-media-sosial-te-tak-tahu-calon-pengantin-pria-ternyata-wanita
GraDana Rilis Produk Pembiayaan Rumah Seken,Kompas.com,01/09/2019,21:00 WIB,Properti,Hunian,"Era ekonomi berbagi atau ,berbasis teknologi, menjadi solusi bagi masalah yang dihadapi masyarakat. Salah satunya adalah membantu bisnis dan industri properti.,Gradana sebagai platform , khusus properti, memberikan solusi praktis dengan meluncurkan GraStrata.,Jika sebelumnya perusahaan rintisan digital yang didirikan oleh William Susilo Yunior dan Angela Oetama ini fokus pada pembiayaan uang muka untuk pembelian properti baru, maka fitur GraStrata ini lebih mengarah pada konsumen yang mencari  , atau ,.,Menurut Angela, GraStrata ditujukan untuk membiayai rumah kedua yang peminatnya juga tidak kalah banyak dengan rumah baru. Bahkan lebih dari 60 persen pasar KPR di tanah air didominasi oleh pembiayaan ,""Kelebihan  , itu dari sisi harga cenderung lebih murah dibanding rumah baru walau luas dan kondisinya sama. Selain itu, lingkungan sudah terbentuk dan bisa langsung dihuni,"" kata Angela.,Gradana, tambah Angela, akan memberikan pembiayaan sesuai nilai pengajuan apabila memenuhi verifikasi , dan penilaian termasuk komponen uang muka bagi calon pembeli rumah kedua.,Harga rumah kedua ini bisa dicicil serta bebas penalti apabila suatu hari pembeli berencana mengalihkan pembiayaannya ke Bank.,""Apabila porsi DP sudah lunas, pembeli tidak dikenakan penalti kalau mau melakukan ,,"" imbuh Angela.,Sementara itu, William Susilo Yunior mengklaim fasilitas GraStrata yang diluncurkan pada Agustus 2019 ini dapat membantu pembiayaan DP yang dapat dicicil sekaligus KPR hingga 15 tahun untuk rumah-rumah kedua yang sudah pecah sertifikat dan 100 persen terbangun.,""Dengan adanya GraStrata, pembeli pun bisa memanfaatkan fitur ini untuk pembelian rumah kedua sesuai pilihan di wilayah Jabodetabek, Bandung, Medan dan Palembang,"" imbuh William.,Menurut William, GraStrata bersifat ,, sehingga pilihan bagi pembeli pun menjadi luas dan tidak terbatas pada inventori rekanan Gradana.,Dengan GraStrata pembeli tidak hanya dapat menikmati cicilan KPR jangka panjang, melainkan DP yang dapat dicicil dengan bunga yang sifatnya tetap., , ",https://properti.kompas.com/read/2019/09/01/210000621/gradana-rilis-produk-pembiayaan-rumah-seken
Siswa SMP Tewas Tertusuk Pisau di Halaman Rumahnya,Kompas.com,01/09/2019,20:32 WIB,News,Regional," , – Seorang siswa sekolah menengah pertama,  , pisau di depan rumahnya, Palangkaraya, Kalimantan Tengah, Sabtu (31/8/2019).,Pihak keluarga sempat menutupi kasus ini. Namun, polisi tetap membawa korban untuk dilakukan  ,, serta meminta keterangan ayah korban. , Kapolres Palangkaraya AKBP Timbul RK Siregar mengatakan, awalnya seorang warga menyampaikan informasi mengenai Eko Saputro (15) tewas tertusuk pisau di depan rumahnya, saat kedua orangtuanya berada di tempat yang sama., ""Kami langsung meluncur ke lokasi, berusaha mencari informasi terkait dengan tewasnya korban,"" kata Timbul, saat berada di kamar jenazah Rumah Sakit Doris Sylvanus, Palangkaraya. Sabtu., Namun, saat tiba di lokasi, polisi tidak menemukan adanya tanda kekerasan, atau bekas bercak darah seperti informasikan yang diterima. Meski begitu polisi tetap mencari informasi warga sekitar lokasi, hingga ke Rumah Sakit Kelampangan., Merasa ada keanehan pada kematian korban, jajaran kepolisian Polres Palangkaraya langsung meminta pihak keluarga untuk membawa korban ke kamar jenazah Rumah Sakit Doris Sylvanus, Palangkaraya, agar bisa dilakukan visum dan autopsi., Namun, upaya Polisi untuk membawa korban untuk divisum sempat ditolak oleh pihak keluarga. Karena Berbagai upaya penjelasan demi kepentingan proses hukum, akhirnya pihak keluarga mengizinkan korban untuk divisum dan autopsi.,""Berdasarkan hasil visum, ditemukan ada luka robek pada bagian dada sebelah kiri korban, diduga berasal dari tusukan benda tajam,"" kata Timbul., Menurut keterangan sementara yang berhasil diperoleh oleh Kompas.com dari orangtua korban, Mardi (36), dijelaskan bahwa kronologi bermula ketika ibu korban menyuruh korban ke warung untuk membeli wadai (jajanan) pada Sabtu (31/8/2019).,Kemudian korban pun pergi ke warung. Namun, korban kembali tanpa membeli apapun, lalu ia kembali ke warung untuk membeli roti dan susu kotak.",https://regional.kompas.com/read/2019/09/01/20322201/siswa-smp-tewas-tertusuk-pisau-di-halaman-rumahnya
"Sempat Mengeluh Masuk Angin, Seorang Pria Ditemukan Tewas di Rumahnya",Kompas.com,01/09/2019,20:44 WIB,News,Megapolitan," - Seorang pria ditemukan meninggal dunia di rumahnya, Jalan Pertanian Selatan, RT 01, RW 03, Kelurahan Klender, Kecamatan Duren Sawit, Jakarta Timur, Minggu (1/9/2019).,Kanit Reskrim Polsek Duren Sawit Iptu Fadholi mengatakan, korban  ,oleh adiknya yang bernama Agustinus sekitar pukul 17.00 WIB.,Fadholi menjelaskan, awalnya korban dan adiknya itu berada di rumah korban untuk makan siang bersama.,Lalu Agustinus izin kepada korban untuk pulang ke rumahnya di daerah Klender untuk antarkan anaknya pergi ke Karawang.,""Sebelum saksi pergi korban sempat mengeluh masuk angin, perut kembung,"" kata Fadholi saat dikonfirmasi wartawan, Minggu.,Kemudian Agustinus beserta anaknya kembali ke rumah korban untuk mengambil mobil miliknya yang diparkir di sana.,Ketika Agustinus hendak pamit ke korban, dia melihat korban sudah tergeletak tak sadarkan diri dan setelah diperiksa ternyata sudah meninggal dunia.,""Saksi melihat korban tergeletak dengan posisi telungkup. Saat itu saksi langsung menghampiri korban dan melihat dan mengecek keadaan korban sudah tidak sadarkan diri dan diperkirakan oleh saksi korban sudah meninggal dunia,"" ujar Fadholi.,Agustinus langsung melaporkan hal tersebut ke Polsek Duren Sawit. Polisi yang tiba di TKP pun langsung mengidentifikasi korban sekaligus olah TKP.,""Pada tubuh korban tidak ditemukan tanda-tanda kekerasan baik benda tumpul maupun tajam. Dan korban diduga meninggal karena sakit. Menurut keterangan keluarganya adik korban, bahwa korban mempunyai riwayat sakit maag akut. Selain itu punya riwayat sakit  ,,"" ujar Fadholi,Korban pun langsung dibawa ke Rumah Sakit Cipto Mangunkusumo guna jalani pemeriksaan.",https://megapolitan.kompas.com/read/2019/09/01/20441931/sempat-mengeluh-masuk-angin-seorang-pria-ditemukan-tewas-di-rumahnya
Harapan Publik terhadap Capim KPK Ada di Tangan Jokowi...,Kompas.com,01/09/2019,20:16 WIB,News,Nasional," - Peneliti Forum Masyarakat Peduli Parlemen Indonesia (Formappi) Lucius Karus menyebutkan bahwa harapan publik terhadap calon pimpinan Komisi Pemberantasan Korupsi ( ,) periode 2019-2023 ada di tangan Presiden Joko Widodo (Jokowi).,Pasalnya, 20 nama  , yang telah menjalani serangkaian tes dari panitia seleksi (pansel) akan dipilih lagi sebanyak 10 orang oleh Panitia Seleksi  ,.,Rencananya, 10 orang terpilih itu akan disampaikan oleh  , kepada Jokowi pada 2 September 2019.,""Masih ada ruang mempertimbangkan nama-nama itu untuk masuk ke DPR. Karena hanya sampai di Jokowi harapan publik optimistis. Jika sudah maju ke DPR, semua serba pragmatis,"" ujar Lucius dalam diskusi Formappi di kawasan Matraman, Jakarta Timur, Minggu (1/9/2019).,Ke-10 orang capim KPK yang diserahkan kepada Jokowi itu nantinya akan menjalani , di DPR.,Dari hasil ,, hanya akan ada lima orang saja yang terpilih sebagai pimpinan atau komisioner KPK periode 2019-2023.,""Kunci terakhir dari proses rekutmen capim ada di Presiden Jokowi. Beliau yang menunjuk Pansel melakukan seleksi itu dan bertanggung jawab atas hasil seleksi. Ini bisa digunakan, diproses, atau tidak,"" ujar dia.,Menurut Lucius, beragam penilaian publik terhadap 20 orang nama capim KPK yang dihasilkan pansel ini, jika tidak direspons Pansel Capim KPK, maka tugas Jokowi-lah yang memastikan suara publik terakomodasi.,Salah satu suara publik yang dimaksud adalah yang disampaikan oleh Koalisi Masyarakat Sipil. Mereka menilai pansel tidak selektif karena ada beberapa capim yang memiliki rekam jejak buruk masih lolos seleksi.,""Jika Jokowi masih konsisten dengan apa yang jadi penilaiannya, yakni (capim) yang cukup berintegritas, maka dia harus memastikan nama-nama yang akhirnya dibawa ke DPR bukan nama-nama yang jadi pusat kritikan publik, khususnya dari Polri dan Kejaksaan,"" kata dia.,Terlebih, kata dia, alasan berdirinya KPK juga dikarenakan kedua lembaga tersebut dinilai tak mumpuni dalam melakukan pemberantasan korupsi.",https://nasional.kompas.com/read/2019/09/01/20165031/harapan-publik-terhadap-capim-kpk-ada-di-tangan-jokowi
"Dicoret Persija, Bruno Matos Tak Diizinkan Gabung Klub Rival",Kompas.com,01/09/2019,20:30 WIB,Bola,Liga Indonesia," - Sudah jatuh tertimpa tangga, mungkin pepatah itu relevan dengan nasib  , setelah dicoret dari  ,.,Pemain asal Brasil itu tidak boleh bergabung klub sembarang rival Persija pasca-dilepas klub berjuluk Macan Kemayoran itu, khususnya Persib Bandung dan Persebaya Surabaya.,Meski sudah terbuang dari skuad inti Macan Kemayoran, Matos masih dianggap terikat sebagai pemain Persija Jakarta.,Persija Jakarta baru benar-benar melepas Bruno Matos ataupun putus kontrak bila sang pemain memilih kembali ke Brasil.,""Beberapa hari sebelum kami memutuskan untuk mendatangkan dua pemain baru, kami sudah sepakat untuk tidak lanjut lagi dengan Bruno Matos dan Steven Paulle,"" kata Ferry Paulus seperti yang dikutip BolaSport.com.,""Kemudian, Bruno Matos sebenarnya mau pulang ke Brasil. Kalau dia pulang ke Brasil, pasti kami setujui. Lalu ada opsi juga untuk menawarkan dia bermain bersama klub-klub Indonesia, tetapi dia tetap memilih keluar dan kembali ke Brasil,"" katanya.,Akan tetapi, bila tetap ingin berkarier di Indonesia, pemain berusia 29 tahun itu tidak bisa membela Persib Bandung ataupun Persebaya Surabaya.,""Kalau dia mau bermain (di Indonesia), tentunya kami akan memilih klub mana yang kami tunjuk untuk Bruno Matos. Kenapa, karena dia pemain kami,"" ujar Ferry lagi.,Memang, peluang Bruno Matos ke Persib Bandung sudah tertutup karena kuota pemain asing Maung Bandung sudah penuh.,Akan tetapi, Bruno Matos berpeluang membela Persebaya Surabaya untuk menggantikan Damian Lizio yang kabarnya akan didepak.",https://bola.kompas.com/read/2019/09/01/20300048/dicoret-persija-bruno-matos-tak-diizinkan-gabung-klub-rival
Bambang Nurdiansyah Konfirmasi Pemain Anyar PSIS Semarang,Kompas.com,01/09/2019,20:15 WIB,Bola,Liga Indonesia," - Bambang Nurdiansyah mengonfirmasi akan ada pemain baru yang akan menemani  , mengarungi putaran kedua  , 2019.,Ia menyebut si pemain bakal melengkapi kepingan puzzle yang dibutuhkan untuk meningkatkan performa Laskar Mahesa Jenar, julukan PSIS.,“Untuk pemain baru ada, sekarang masih dalam proses,” ungkap pelatih yang karib dipanggil Banur tersebut.,PSIS Semarang nampaknya bakal memanfaat jendela bursa transfer paruh musik ini untuk melakukan perombakan besar-besaran.,Apalagi, naiknya Banur sebagai pelatih tentu akan membuat perubahan mencolok dalam skema permainan Laskar Mahesa Jenar.,Banur mengakui PSIS Semarang sudah mulai bergeliat untuk mempersiapkan diri menghadapi putaran kedua nanti. Salah satunya dengan mendatangkan pemain baru.,Belum diketahui secara pasti apakah pemain tersebut berstatus pemain lokal atau pemain asing. Namun, ia membocorkan si pemain belum bisa diturunkan pada sisa laga putaran pertama.,“Untuk putaran pertama lawan Persija sepertinya belum bisa dimainkan,” ucap Banur.,Kendati demikian, ia memastikan pada putaran kedua nanti PSIS Semarang bakal mengalami transformasi.,Ia sesumbar PSIS versi Banur akan siap memberikan pembeda pada laga pembuka putaran kedua melawan Persebaya Surabaya.,“Mungkin putaran kedua sudah lengkap semua dan sesuai dengan kebutuhan pemain saya,” ujarnya.",https://bola.kompas.com/read/2019/09/01/20150028/bambang-nurdiansyah-konfirmasi-pemain-anyar-psis-semarang
"PS Tira Persikabo Vs Borneo FC, Gol Injury Time Buyarkan Kemenangan Laskar Padjajaran",Kompas.com,01/09/2019,20:29 WIB,Bola,Liga Indonesia," -  , harus puas berbagi angka dengan  , pada lanjutan pekan ke-17  , 2019.,Bertanding di Stadion Pakansari, Bogor, Minggu (1/9/2019), laga PS Tira Persikabo vs Borneo FC berakhir dengan skor 2-2.,Tambahan satu poin ini membuat PS Tira Persikabo masih tertinggal cukup jauh dari rivalnya dalam perburuan gelar juara Liga 1 2019, Bali United.,Tim berjulukan Laskar Padjajaran ini mengumpulkan total 33 poin dari 17 laga. Mereka tertinggal tujuh angka dari Bali United yang masih menyimpan satu pertandingan.,Bertindak sebagai tuan rumah, PS Tira Persikabo langsung tampil menyerang.,Laga baru berjalan satu menit, pasukan Rahmad Darmawan itu menciptakan peluang lewat Loiuse Parfait, tetapi masih sepakannya masih bisa dihalau.,Tampil menyerang, PS Tira justru kecolongan pada menit ke-14.,Berawal dari serangan balik, penyerang Borneo FC, Matias Conti, melepaskan tembakan mendatar yang masih bisa ditepis kiper Teguh Amirudin.,Namun, bola liar tersebut mampu dimanfaatkan Muhammad Siran Amrullah untuk menggetarkan jala PS Tira Persikabo lewat sepakannya.",https://bola.kompas.com/read/2019/09/01/20290358/ps-tira-persikabo-vs-borneo-fc-gol-injury-time-buyarkan-kemenangan-laskar
Kenali Tipe Telapak Kaki Sebelum Memilih Sepatu,Kompas.com,01/09/2019,23:36 WIB,Lifestyle,Look Good," - Meski terlihat sepele, menjaga kesehatan kaki sangat penting. Pasalnya, kaki adalah salah satu anggota vital tubuh yang berperan menopang seluruh berat badan.,Sebagai merek sepatu kesehatan asal Hongkong, Dr. Kong hadir dengan koleksi sepatu yang mendukung kesehatan telapak kaki.,Salah satu kelebihan sepatu Dr. Kong adalah konsep 3D, di mana Dr. Kong menyediakan insole sepatu yang sesuai dengan bentuk kaki pemakainya.,Pasalnya, stuktur kaki manusia dewasa memiliki lengkungan di bawah telapak (,) yang berfungsi sebagai peredam (,) pada saat berjalan, sehingga memengaruhi kondisi kaki.,Ada tiga bentuk telapak kaki, yaitu , dengan lengkungan yang normal sehingga kaki dapat menyebarkan tekanan dengan baik ke seluruh bagian kaki saat melangkah.,Selain itu, ada , tanpa lengkungan di telapak kaki (datar) yang membuat kaki cepat lelah saat berjalan, serta , dengan lengkungan kaki cukup tinggi yang menyebabkan kaki mudah sakit, karena rendahnya daya redam.,Menurut Senior Merchandising Manager Dr. Kong, Yulia Permata, memakai sepatu Dr. Kong bukan untuk penyembuhan, melainkan untuk membantu kaki terasa lebih nyaman saat berjalan.,“Sepatu Dr. Kong ini seperti memakaia kaca mata. Kalau kita pakai kaca mata, yang tadinya buram kan jadi bisa melihat jelas dengan kaca mata. Sehingga terasa lebih nyaman. Dr. Kong juga demikian, orang yang telapak kakinya bermasalah bisa jalan lebih nyaman dengan sepatu ini,” kata Yulia di toko independent Dr. Kong, Lippo Mall Kemang, Jakarta beberapa waktu lalu.",https://lifestyle.kompas.com/read/2019/09/01/233620720/kenali-tipe-telapak-kaki-sebelum-memilih-sepatu
