title,source,date,time,category,sub-category,content,url
Menengok Rusunami DP Rp 0 Pondok Kelapa yang Siap Huni,Kompas.com,02/09/2019,18:10 WIB,News,Megapolitan," - Rumah susun sederhana milik ( ,) dengan , (DP) Rp 0 di  ,, Jakarta Timur sudah dapat dihuni.,Kepala Unit Fasilitasi Pemilikan Rumah Sejahtera DKI Jakarta Dzikran Kurniawan mengatakan, sejak serah terima kunci unit rusunami pada Sabtu (31/8/2019) kepada penghuni, sudah ada 50 penghuni yang telah akad kredit dan bisa menghuni langsung rusunami.,""Per Sabtu, per Jumat itu ada 50 orang yang sudah akad. 50 orang itu sudah dapat kuncinya, tunggu mereka mau pindah kapan itu kembali ke mereka. Enggak boleh lama-lama juga,"" ujar Dzikran saat dihubungi Kompas.com, Senin (2/9/2019).,Kompas.com berkesempatan untuk mengelilingi area rusunami tersebut. Di bagian luar, tampak bangunan rusun sudah bagus dan rapi dengan balutan cat putih dan coklat.,Lahan parkir untuk mobil pun sudah rapi dengan aspal hitam yang dicat putih sebagai marka pembatas parkir. Sejumlah tanaman nan hijau juga tertanam di sekitar area rusunami.,Di bagian , utama rusun juga sudah nampak tertata dan tak ada aktifitas pembangunan lagi. Di halaman rusun terdapat tiang dengan benda merah putih yang berkibar.,Di bagian samping dekat halaman rusunami terdapat parkir mobil khusus penumpang disabilitas. Trek jalan untuk disabilitas juga tersedia untuk akses masuk rusunami.,Selain itu, di halaman rusun juga ada taman bermain anak lengkap dengan perosotan dan ayunan. Di dekat taman bermain terdapat bangunan yang akan digunakan untuk sekolah.,""Katanya buat sekolah enggak tahu PAUD atau TK saya enggak ngerti teknisnya,"" kata Wahyu salah seorang petugas PD Sarana Jaya di lokasi., , juga mushola untuk ibadah umat muslim. Di dalam mushola sudah lengkap dengan pengeras suara, karpet, dan pendingin ruangan. Di samping mushola, terdapat balai warga yang akan menjadi tempat berkumpul penghuni rusunami.",https://megapolitan.kompas.com/read/2019/09/02/18101191/menengok-rusunami-dp-rp-0-pondok-kelapa-yang-siap-huni
"Dunia Otomotif Nasional Berduka, Mantan Ketua Umum AISI Meninggal",Kompas.com,03/09/2019,18:51 WIB,Otomotif,News," - Kabar duka kembali menyelimuti dunia otomotif nasional. Gunadi Shinduwinata telah berpulang sore ini, Selasa (3/9/2019), di RS Mitra Kelapa Gading.,Mantan Ketua Umum  , (Asosiasi Industri Sepedamotor Indonesia) ini meninggal dunia karena sakit, tepatnya pukul 16.38.,Selain pernah menjabat sebagai Ketua Umum AISI, beliau juga pernah memegang jabatan sebagai Presiden Direktur PT  , Group. Kiprahnya di dunia otomotif sendiri sudah dimulai sejak era '80-an.,Semasa hidupnya, beliau juga pernah memimpin sembilan perusahaan berbeda.",https://otomotif.kompas.com/read/2019/09/03/185137315/dunia-otomotif-nasional-berduka-mantan-ketua-umum-aisi-meninggal
"Kalahkan Atlet Malaysia, Lifter Kaltim Juarai Kelas 55 Kg Junior Putri",Kompas.com,02/09/2019,18:09 WIB,Bola,Olahraga,"Atlet  , asal Kalimantan Timur, Nelly, sukses menjuarai kelas 55 kg junior putri setelah bersaing sengit dengan wakil Malaysia, Elly Cascandra, di The 2nd Indonesia International Weightlifting Championships 2019.,Nelly berhasil meraih dua keping medali emas, yakni untuk angkatan clean and jerk serta total angkatan, setelah sempat kalah dari Elly pada angkatan snatch dalam kejuaraan yang digelar di GOR Tri Lomba Juang, Semarang, Senin (2/9/2019).,Atlet berusia 17 tahun itu bersaing ketat dengan Elly di angkatan snatch, tapi akhirnya harus rela menempati peringkat kedua.,Beban terbaik Nelly di angkatan snatch adalah 67 kg yang dia torehkan pada percobaan pertama.,Di percobaan kedua dan ketiga, Nelly sebenarnya berusaha menaikkan beban menjadi 72 kg dan 74 kg. Namun, upaya Nelly gagal di angkatan kedua dan ketiga.,Sementara itu, Elly meraih beban terbaik 75 kg pada percobaan ketiga angkatan snatch. Atlet Malaysia itu pun akhirnya berhak meraih medali emas untuk angkatan snatch.,Akan tetapi, Elly gagal saat mencoba mengangkat beban 90 kg pada tiga kali percobaan angkatan clean and jerk sehingga membuat Nelly menang mudah.,Di percobaan pertama clean and jerk, Nelly mengangkat beban 85 kg. Dia lalu menaikkan beban menjadi 95 kg di angkatan kedua dan 100 kg di angkatan ketiga.,Akan tetapi, atlet yang duduk di kelas 3 Sekolah Khusus Olahraga (SKO) Kaltim itu gagal pada angkatan ketiga clean and jerk sehingga beban terbaiknya adalah 95 kg.,Total angkatan yang berhasil dibukukan Nelly adalah 162 kg. Dia menempati peringkat teratas untuk clean and jerk sekaligus total angkatan.,Posisi kedua untuk total angkatan ditempati oleh atlet asal Medan, Syafira Dwi Puspita, yang mencatatkan beban 139 kg.",https://bola.kompas.com/read/2019/09/02/18093878/kalahkan-atlet-malaysia-lifter-kaltim-juarai-kelas-55-kg-junior-putri
Wiranto: Kita Sudah Menutup Pintu untuk Dialog Referendum,Kompas.com,03/09/2019,18:51 WIB,News,Nasional," - Pemerintah membuka kesempatan untuk berdialog dengan masyarakat  , dan Papua Barat.,Namun, Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam)  , menegaskan, tak akan pernah ada dialog untuk membahas soal  ,.,""Dialog itu penting, dialog itu memang dibutuhkan, tapi dialog yang konstruktif. Kita sudah menutup pintu untuk dialog referendum, enggak ada. Dialog untuk merdeka, jangan,"" ujar Wiranto saat konferensi pers di kantornya, Jakarta Pusat, Selasa (3/9/2019).,Wiranto mengatakan bahwa pemerintah telah hadir dalam pembangunan Papua, baik infrastruktur, pendidikan, kesehatan, dan pembangunan manusia.,Dalam hal pembangunan manusia, ia menyebutkan bahwa terjadi peningkatan untuk wilayah Papua dan Papua Barat.,Di Papua, indeks pembangunan manusia pada tahun 2016 sebesar 58,05 persen, kemudian meningkat menjadi 60,06 persen di tahun 2018.,Sementara itu, indeks pembangunan manusia di wilayah Papua Barat juga mengalami peningkatan. Di tahun 2016, menurut Wiranto, indeks pembangunan manusia di daerah tersebut sebesar 62,21 poin, dan meningkat menjadi 63,74 poin pada 2018.,Jika masyarakat merasa ada yang perlu diperbaiki dalam kehidupan di Papua, Wiranto meminta hal itu untuk disampaikan. ,""Pemerintah sudah banyak sekali memberikan satu dukungan untuk akselerasi di sana. Kalau kurang, apa yang kurang, sampaikan, tapi bukan bicara referendum,"" ungkapnya.,Papua saat ini menjadi isu setelah masyarakat di sejumlah daerah di provinsi paling timur di Indonesia itu menggelar aksi unjukrasa yang sebagian berakhir ricuh. Unjuk rasa digelar setelah adanya insiden dugaan rasisme di Surabaya. ",https://nasional.kompas.com/read/2019/09/03/18513711/wiranto-kita-sudah-menutup-pintu-untuk-dialog-referendum
Icardi Bangga Bisa Setim dengan Neymar di PSG,Kompas.com,03/09/2019,18:50 WIB,Bola,Liga Italia," - Setelah resmi dan diperkenalkan oleh Paris Saint-Germain sebagai pemainnya,  , mengungkapkan rasa senangnya bisa bergabung.,Terlebih lagi, berlabuhnya Icardi di  , menjadi titik temu dari rumitnya kepindahan sang bomber asal Argentina itu dari Inter Milan.,Seperti diketahui, Icardi berseteru dengan manajemen Inter Milan sekaligus dengan pelatihnya, Antonio Conte.,Karena itu, bersama PSG, raut wajahnya kembali bersinar.,""Dalam karier besar saya, sangat luar biasa bisa bergabung dengan klub top seperti Paris Saint-Germain. Saya harap bisa bersinar di sini,"" kata Icardi dalam video di laman resmi PSG.,Tak lupa, bergabungnya dengan klub raksasa di Perancis membuatnya bisa bermain dengan para bintang sepak bola.,""Bisa bermain dengan pemain bertalenta itu sangat mengesankan,"" tuturnya.,Bahkan, rekan senegara Angel di Maria ini mengaku bangga bisa bermain dengan Neymar.,""Saya pernah bertemu Neymar Jr. Saya bangga menjadi rekan setimnya,"" ucap Icardi.,""Saya adalah seorang striker. Saya suka mencetak banyak gol. Akan bermain hebat dengan para penyerang seperti mereka di skuad ini,"" katanya.,Suami  , ini didatangkan oleh PSG menjelang ditutupnya bursa transfer musim panas.,PSG harus merogoh kocek 70 juta euro atau Rp 1,08 triliun untuk mendapatkan jasa penyerang berusia 26 tahun ini.",https://bola.kompas.com/read/2019/09/03/18500028/icardi-bangga-bisa-setim-dengan-neymar-di-psg
"Wajahnya Alami Alergi Krim Anestesi, Jessica Iskandar Kapok  ",Kompas.com,03/09/2019,18:46 WIB,Entertainment,Seleb," - Pembawa acara  , merasa kapok karena mengali alergi krim  , saat melakukan perawatan kecantikan Ulthera.,Alih-alih terlihat awet muda, Jessica Iskandar justru mengalami ruam merah pada wajahnya.,""Iya kapok pasti,"" ujar Jessica saat ditemui di kawasan Darmawangsa, Jakarta Selatan, Selasa (3/9/2019).,Perempuan yang akrab disapa  , itu tak menyangka ia mengalami alergi obat anestesi., ""Iya setahu aku sih aku enggak ada alergi. Tapi ternyata kemarin alergi krim anestesi. Jadi ya tidak disangka-sangka ya tapi apapun itu aku sudah belajar kalau sekarang harus dites dulu,"" ucapnya.,Jessica pun mengungkapkan proses penyembuhan yang dia alami dengan obat-obatan.,""Iya mereka tanggung jawab kok. , salep, jadi aku enggak boleh kena matahari, enggak boleh kena make up, terus harus pakai salep,"" tutur Jessica.,""Terus salepnya dipakainya tebal, terus ada obat yang diminum ada 7 pil setiap hari selama sampai sekarang masih minum,"" lanjutnya.,Setelah kejadian itu, wanita yang akrab disapa Jedar ini pun lebih berhato-hati dalam melakukan perawatan kecantikan.,""Jadi saran aku ya berhati-hati siapapun itu yang mau melakukan perawatan apapun, apalagi ada krim yang yang dipakai ke wajah,"" kata Jessica.,""Itu coba dipakai dulu ke leher sedikit atau di lipatan tangan, biar kalau alergi kita sudah tahu supaya tidak terjadi seperti aku,"" tambahnya.",https://entertainment.kompas.com/read/2019/09/03/184653110/wajahnya-alami-alergi-krim-anestesi-jessica-iskandar-kapok
Mendagri: Silakan kalau Jawa Barat Mau Pindah Ibu Kota,Kompas.com,03/09/2019,18:48 WIB,News,Nasional," - Menteri Dalam Negeri Tjahjo Kumolo mempersilakan Pemerintah Provinsi Jawa Barat yang hendak memindahkan ibu kotanya.,""Silakan, soal gubernur, bupati, wali kota punya ide, punya gagasan, kan boleh-boleh saja. Ini kan negara yang demokratis. Kenapa Jawa Barat mengusulkan pindah?,"" ujar Tjahjo di Kompleks Istana Kepresidenan, Jakarta, Selasa (3/9/2019).,""Mulai zaman Pak Aher dulu sebelum Pak  , sudah pernah bicara dengan saya. Silakan persiapkan dengan baik,"" sambungnya.,Hanya, Tjahjo mengingatkan agar Pemerintah Provinsi Jawa Barat menyiapkan dengan baik rencana pemindahan ibu kotanya.,Ia meminta Gubernur Jawa Barat Ridwan Kamil menyiapkan lahan dan mendata aset yang akan dipindahkan.,""Silakan persiapkan dengan baik bagaimana lahannya, bagaimana aset-asetnya, itu harus diinventarisasi dengan baik. Diusulkan dalam rapat dengan DPRD dan sebagainya. Ini baru diusulkan. Sah-sah saja. Namanya usul,"" lanjut Tjahjo.,Sebelumnya,Ridwan Kamil bersama DPRD Jabar telah sepakat untuk mengkaji wacana pemindahan pusat pemerintahan dan ibu kota Provinsi Jawa Barat.,Ridwan Kamil mengatakan, wacana itu muncul sewaktu ia menggelar rapat pembahasan Rencana Tata Ruang Wilayah (RTRW) Jabar bersama Pansus VII awal pekan lalu.,Dia menjelaskan Perda RTRW itu memerintahkan Pemerintah Provinsi Jawa Barat untuk melakukan kajian.,Kajiannya mencakup jalur transportasi, pembangunan wilayah-wilayah industri baru.,""Termasuk kajian pemindahan pusat pemerintahan, bukan ibu kota. Nanti nunggu kajian, apakah kajian bilangnya tetap atau pindah, kita belum tahu. Karena kajiannya belum dilakukan,"" kata dia.",https://nasional.kompas.com/read/2019/09/03/18480431/mendagri-silakan-kalau-jawa-barat-mau-pindah-ibu-kota
"Jangan Sembarangan Bikin Polisi Tidur, Ini Aturannya...",Kompas.com,05/09/2019,19:00 WIB,Tren,-," -  , atau , seringkali kita temui di jalan, terutama di perumahan, sebagai salah satu sarana agar pengemudi kendaraan tak melaju dengan kecepatan tinggi.,Tetapi, tahukah Anda, membangun  , tak bisa sembarangan. Ada aturannya.,Apa aturan membangun polisi tidur?,Kepala Humas Direktorat Jenderal Perhubungan Darat Kementerian Perhubungan Pitra Setiawan mengatakan, aturan mengenai ,termuat dalam , tentang Alat Pengendali dan Pengaman Pengguna Jalan.,""Regulasi teknis ini sebagai panduan kalau ada yang mau membuat ,atau polisi tidur. Aturan itu sudah dilakukan kajian,"" kata Pitra saat dihubungi ,, Kamis (5/9/2019) sore.,""Intinya , untuk memperlambat kendaraan bukan menghentikan kendaraan. Itu mengikat ke seluruh jalan,"" lanjut dia.,Peraturan ini menyebutkan, alat pengendali pengguna jalan terdiri dari alat pembatas kecepatan serta alat pembatas tinggi dan lebar.,Alat pembatas kecepatan digunakan untuk memperlambat kecepatan kendaraan, dengan peninggian sebagian badan jalan dengan lebar dan kelandaian tertentu.,Posisi alat pembatas kecepatan ini dibuat dengan posisi melintang terhadap badan jalan.,Alat pembatas kecepatan dibedakan menjadi tiga, yaitu ,, ,, dan ,.,Ketiganya mempunyai ketentuan berbeda, disesuaikan dengan lokasi pembangunan polisi tidur hingga batas kecepatan yang diperbolehkan.",https://www.kompas.com/tren/read/2019/09/05/190000865/jangan-sembarangan-bikin-polisi-tidur-ini-aturannya-
"Sempat Roboh Ditabrak, Portal Penghalau Truk Berat di Exit Tol Dipasang Lagi",Kompas.com,03/09/2019,18:43 WIB,News,Megapolitan," - Pemerintah Kota Bekasi kembali memasang  , di pintu keluar tol guna menghalau truk-truk bertonase besar masuk ke Jalan KH Noer Ali atau yang lazim disebut Jalan  ,, Bekasi.,Pemasangan ini merupakan kali kedua, setelah sebuah truk bertonase besar menabrak portal itu hingga roboh tak sampai satu hari sejak pemasangan perdana pada 9 Agustus 2019 silam.,""Tidak ada bedanya. Masih pakai bahan yang sama, posisinya juga enggak berubah. Baru dipasang tadi jam 09.00,"" ujar Kepala Seksi Lalu Lintas Dinas Perhubungan Kota Bekasi, Bambang Putra saat dihubungi Kompas.com, Selasa (3/9/2019) sore.,Bambang mengatakan, pemasangan kali kedua ini sebagai bentuk sosialisasi terakhir bagi para sopir truk.  , ini tidak akan menyebabkan kerusakan kendaraan apabila ditabrak.,Namun, jika masih ditabrak lagi, Dishub Kota Bekasi bakal memasang portal dengan bahan besi berspefikasi lebih tebal meskipun berpotensi menyebabkan kecelakaan.,""Ini sudah kita kasih penerangan, supaya lebih kelihatan dari jauh. Kalau masih dihajar juga, kita baru pakai besi ,,"" kata Bambang.,Bambang menyebut, selama ini truk bertonase besar sering melintas di jalan arteri untuk menghindari kemacetan di simpang susun Cikunir menuju ruas Tol Jakarta-Cikampek.,Pasalnya, di sana sedang dilakukan pembangunan proyek nasional, yakni LRT Jabodebek, kereta cepat Jakarta-Bandung, dan tol layang Jakarta-Cikampek., ,Pada malam hingga dini hari, jumlah truk bertonase besar yang melintas di Kalimalang semakin gemuk.,""Posisinya mereka masih nyolong-nyolong di atas pukul 21.00. Petugas kan standby sampai 21.00. Kalau pagi sampe jam 21.00, mereka mayoritas yang nyolong paling 3, yang nekat karena stres macet di tol. Malam hari, jelas lebih banyak,"" jelas Bambang.,Ditambah lagi, truk-truk ini menyebabkan rusaknya satu titik di Jalan KH Noer Ali, tepatnya di depan RS Budi Lestari. Di bawah titik itu, terdapat pipa air bersih milik PDAM Tirta Bhagasasi. Lantaran dilindas truk berat, pipa itu rusak terus dan menyebabkan genangan di sekitar jalan yang jadi berlubang.",https://megapolitan.kompas.com/read/2019/09/03/18432741/sempat-roboh-ditabrak-portal-penghalau-truk-berat-di-exit-tol-dipasang
LIPI Temukan Lele Spesies Baru di Sungai Mahakam,Kompas.com,02/09/2019,18:14 WIB,News,Regional," - Lembaga Ilmu Pengetahuan Indonesia (LIPI) menemukan spesies baru ikan air tawar Leiocassis rudicula di Hulu Sungai Mahakam, Kalimantan Timur. ,Tepatnya di Sungai Petung Kanan Kecamatan Tabang Kutai Kartanegara., Leiocassis rudicula ini merupakan jenis ikan jenis  ,-lelean anggota ketujuh genus Leiocassis dari family Bagridae., Dengan ciri seluruh bagian tubuh berwarna kuning kecoklatan, berukuran 43.8-118 mm, bagian kepala dan badan terkompresi, bagian punggung hampir merata, dan adanya cekungan di atas mata. , , Dalam bahasa Latin biasa disebut rudicula berarti sendok kayu karena bentuk kepala ikan yang berbentuk cekungan seperti sendok. , Salah satu ikan keluarga catfish ini belum bisa disimpulkan secara spesifik nama lokal. Hanya diketahui mirip ikan Baung. , Ilham Vemandra Utama, staff peneliti Laboratorium Ikan, Museum Zoologicum Bogoriense (MZB), LIPI menyatakan penemuan lele jenis ini berkerabat dengan Ikan Baung., Habitatnya hidup di sungai berarus deras dan jernih dengan substrat pasir atau kerikil., Hanya, dalam belum ditemukan nama lokal.,""Jadi agak riskan jika disebut lele jenis baru. Tapi ikan temuan ini dengan Baung sama-sama masuk ordo Siluriformes atau catfish,"" katanya. , Penemuan dilakukan oleh mendiang Renny Kurnia Hadiaty, peneliti Pusat Penelitian Biologi LIPI, dan Ng Heok Hee dari Lee Kong Chian Natural History Museum, Singapura.",https://regional.kompas.com/read/2019/09/02/18142321/lipi-temukan-lele-spesies-baru-di-sungai-mahakam
