title,source,date,time,category,sub-category,content,url
,fimela.com,15 Sep 2019,07:00 WIB,,-,,https://www.fimela.com/news-entertainment/read/4061822/pesan-bj-habibie-yang-selalu-diingat-reza-rahadian
,fimela.com,15 Sep 2019,11:00 WIB,,-,,https://www.fimela.com/news-entertainment/read/4061852/maliq-amp-d-essentials-rayakan-17-tahun-berkarya-dengan-rilis-dvd-terbaru
Dewa19 sampai Chungha Siap Hibur Smartfren WOW Concert,fimela.com,15 Sep 2019,14:24 WIB,News & Entertainment,-," Sederet artis beken seperti Dewa19, Rossa, Once Mekel, Niki, hingga artis K-Pop Chungha dan Ateez akan tampil di konser bertajuk Smartfren WOW Concert. Rencananya konser ini akan digelar pada 20 September 2019 di Istora Senayan, Jakarta Pusat.,Terhadap konser yang akan menyuguhkan penampil lintas genre dan generasi ini, masyarakat demikian tinggi minatnya. Seperti pada Sabtu, 14 September 2019 banyak orang yang antusias mencoba mendapatkan tiket konser Smartfren WOW Concert tersebut.,""Kita sebenarnya lagi dalam program promo Smartfren WOW Concert. Memang kebetulan kita ada satu booth di Senayan City. Jadi hari ini kita hanya ngecek traffic-nya ternyata rame banget,"" ujar VP Integrated Marketing Communications Smartfren Iqbal Asseweth di Senayan City, Jakarta Pusat, baru-baru ini.,Penjualan Smartfren WOW Concert ini memang tidak dilakukan dengan cara biasa, namun bisa dibilang unik. Peminat acara ini bisa mendapatkan tiket Smartfren WOW Concert dengan membeli produk Smartfren.,Dengan pembelian produk Smartfren seharga Rp 500 ribu, penggemar sudah bisa mendapatkan tiket konser untuk kelas tribun. Sementara kategori Festival, bisa didapat dengan membeli produk Smartfren seharga Rp 700 ribu.,Menurut Iqbal, langkah ini diambil karena Smartfren ingin memberikan pengalaman langsung kepada para pembeli tiket WOW Concert untuk merasakan kecepatan jaringan provider telekomunikasi ini.,""Sebenarnya kita bukan mau menjual tiket. Kita maunya pelanggan atau orang yang mau nonton Chungha atau Ateez mereka juga merasakan experience langsung dengan koneksi, dengan network yang Smartfren punya. Karena ini adalah bentuk terima kasih kita kepada pelanggan,"" ujar Brand & Communication Manager, Narendra Priyottama.,Bagi para penggemar yang ingin menonton para idolanya, produk dan tiket Smartfren WOW Concert tidak hanya bisa dibeli di booth Smartfren di Senayan City. Pembelian produk dan tiket juga dapat dibeli di Smartfren Gallery.,""Sebenarnya undangan (tiket) yang untuk konsernya itu juga bisa didapatkan di Smartfren Gallery juga. Jadi di semua tempat yang menjual produk Smarfren yang resmi, langsung begitu beli minimal Rp 500 ribu dapatkan undangan untuk ke event-nya (WOW Concert),"" papar Iqbal Asseweth.",https://www.fimela.com/news-entertainment/read/4063209/dewa19-sampai-chungha-siap-hibur-smartfren-wow-concert
Alasan Niki Zefanya Jadi Line Up di Smartfren WOW Concert,fimela.com,15 Sep 2019,14:30 WIB,News & Entertainment,-," Sebuah konser akbar bertajuk Smartfren WOW Concert bakal digelar di Istora Senayan, Jakarta Pusat pada 20 September 2019 mendatang. Sebagai penyelenggara, Smartfren tak mau main-main dalam hal line up atau para penampil di konsernya kelak.,Salah satu nama artis yang tampil dalam konser ini adalah Niki Zefanya, penyanyi asal Indonesia yang berkarier di Amerika Serikat. Ada beberapa alasan tentunya. Selain karena sedang naik daun, ada alasan lain mengapa Niki Zefanya diundang tampil di Smartfren WOW Concert.,""Karena kita melihat Niki adalah salah satu persona yang benar-benar mengejar mimpinya,"" kata Brand & Communication Manager Narendra Priyottama saat ditemui di Senayan City, Jakarta Pusat, Sabtu (14/9/2019).,Tekad Niki ini, dinilai sesuai dengan tujuan Smartfren WOW Concert. Nikia dianggap telah menjadi seorang yang pas mengkampanyekan bagaimana mengejar mimpi sampai ke puncak tertinggi.,""Ia bisa mengejar mimpi sampai dia terkenal bukan hanya di Indonesia, tapi ranah internasional. Kita yakin Niki bisa lebih mengharumkan nama Indonesia sih. Karena kita punya satu pesan di Smartfren WOW ini, setiap orang punya mimpi, setiap orang bisa mengejar mimpi mereka,"" ujar Narendra.,Smartfren juga mengundang penyanyi asal Korea Selatan, yaitu Chungha dan Ateez. Smartfren memilih Chungha dan Ateez karena keduanya belum pernah tampil di Indonesia namun memiliki basis massa penggemar yang tak sedikit.,""K-Pop saat ini sedang merajai musik Indonesia, khususnya anak-anak muda. Makanya kita enggak mau untuk enggak mengambil kesempatan ini. Selain itu, Chungha dan Ateez belum pernah sama sekali datang ke Indonesia,"" kata Narendra.,Tinggal menghitung hari, Smartfren WOW Concert akan digelar. Sampai saat ini, persiapan yang dilakukan sudah mencapai 90 persen.,""Persiapannya sendiri sebenarnya cukup lama, dari awal tahun 2019. Karena kita memberikan sesuatu yang enggak biasa banget buat pelanggan Smartfren, kita ingin berikan sesuatu yang wow. Makanya kita benar-benar persiapkan secara matang,"" tutur Narendra.",https://www.fimela.com/news-entertainment/read/4063217/alasan-niki-zefanya-jadi-line-up-di-smartfren-wow-concert
Nicky Tirta: Aku Sekarang Dekat Sama Ibu-ibu,fimela.com,15 Sep 2019,12:00 WIB,News & Entertainment,-," Setahun hidup menduda, , mengaku belum mau mencari pasangan hidup hingga kini. Kendati demikian, Nicky Tirta tak menapik tengah dekat dengan beberapa orang.,Ditemui di kawasan Kuningan, Jakarta Selatan, Nicky Tirta mengaku tengah dekat dengan banyak ibu-ibu. Eits, bukan untuk menjadi pasangan hidup, melainkan hanya ingin berbagi tips masakan saja.,""Aku sekarang lagi deket sama ibu-ibu malah. Tapi yah gitu, kayak untuk nanya resep, teknik masak aja ya, itu benarkan kok,"" jelas Nicky Tirta, Selasa (10/9/2019).,Lebih lanjut, Nicky Tirta mengaku senang pasalnya terkadang jika ia share mengenai resep makanan di media sosial, banyak dari penggemarnya tak hanya ikut-ikutan masak saja, namun jadi inspirasi untuk membuat usaha makanan.,""Bahkan ada yang terinspirasi dari makanan yang aku buat dan dia akhirnya jadi buat usaha atau untuk salah satu menu restoran,"" tutur , yang merupakan kelahiran Jakarta, 27 April 1983 itu.,Meski banyak yang mengikuti resep masakannya, namun Nicky Tirta mengaku tak merasa tersaingi untuk urusan bisnis. Pasalnya, ia yakin rezeki setiap orang-orang akan ada jalannya,""Enggak ya. Aku sih share ya share aja. Aku yakin bahwa rezeki enggak kemana. Aku bersyukur banget ketika aku sering berbagi resep buat orang-orang yang lagi bertanya-tanya mau masak apa ya, mereka justru lebih trust ama aku dan rezeki aku makin lancar, puji tuhan,"" jelas Nicky Tirta.",https://www.fimela.com/news-entertainment/read/4061210/nicky-tirta-aku-sekarang-dekat-sama-ibu-ibu
,fimela.com,15 Sep 2019,16:00 WIB,,-,,https://www.fimela.com/news-entertainment/read/4061956/setiap-potong-rambut-dian-sastrowardoyo-dua-hari-tak-ditegur-suami
Gisella Anastasia Klarifikasi Mengenai Video di Klab Malam,fimela.com,15 Sep 2019,15:00 WIB,News & Entertainment,-," , sempat menghebohkan publik karena video dirinya yang sedang asik berjoget di Kelab malam bersama laki-laki tersebar di media sosial.,Mendengar kabar tersebut, Gisella Anastasia pun merasa risih, akhirnya ia pun memberikan klarfikasi nya. Ibu satu anak itu juga menyebut dalam video itu, ia tidak berada di kelab malam.,""Iya itu video sebenarnya kan dibilang kan Gisel joget di kelab malam. Kalau di kelab masa aku muka minyak minyakan gitu kaga dandan kaga apa. Aku mah udah jarang banget kayak gitu kecuali temen ulang tahun atau apa,"" jelas Gisel saat ditemui di kawasan Cikini, Jakarta Pusat, Rabu (11/9/2019).,Lebih lanjut, perempuan 28 tahun itu mengatakan bahwa dirinya tengah berada di acara konser salah satu band tanah air. Disana dirinya bersama teman-teman dan kekasihnya, Wijaya Saputra atau lebih sering disebut Wijin.,""Kemarin itu memang tempat live band. Bandnya band Indonesia, cakep banget kan lagu-lagunya, nyanyi kan kita. Enjoy sama temen-temen banyak sekali ada itu yang ngerekam temen Wijin dan temen Aurel juga temen keluarga bunda juga,"" ungkap ,.,Diakui mantan istri Gading Marten itu, dirinya hanya sebatas mencari kesenangan saja, karena terlalu lelah menjalani aktivitas sehari-hari.,""Dari pas dateng ya kita have fun meluangkan waktu untuk sedikit bersenang-senang diantara setelah kesibukkan kita yang lagi capek banget. Melepas lelah di saat yang memang udah malem dan biasa aja. Dan itu jogetnya sama sahabat aku yang memang kita nyaman,"" jelasnya.",https://www.fimela.com/news-entertainment/read/4061206/gisella-anastasia-klarifikasi-mengenai-video-di-klab-malam
,fimela.com,14 Sep 2019,11:00 WIB,,-,,https://www.fimela.com/news-entertainment/read/4059961/demi-tampil-cantik-marsha-aruan-belajar-makeup-dari-video
"Cerita Lola Amaria Besut Film tentang Olahraga 6,9 Detik",fimela.com,19 Sep 2019,10:45 WIB,News & Entertainment,-," Sebagai seorang pelaku industri perfilman, , tak hanya bertindak di depan layar saja. Belakangan dirinya semakin menasbihkan diri untuk berkiprah di belakang layar. Terbaru adalah sebuah film berjudul 6,9 Detik.,Melalui rumah produksi Lola Amaria Production bekerjasama dengan Federasi Panjat Tebing Indonesia (FPTI), Lola Amaria bertindak sebagai sutradara. Ia mengangkat sebuah perjuangan anak daerah dalam olahraga panjat tebing.,Sosok yang diangkat Lola adalah atlet panjat tebing nasional yang telah mengharumkan nama bangsa, Aries Susanti Rahayu (24). Sebagaimana diketahui, ia berhasil meraih 2 medali emas di Asian Games 2018 Jakarta-Palembang.,""Saya tertarik untuk menceritakan perjuangan Aries Susanti Rahayu ke layar lebar. Dia atlet perempuan yang berhasil mendapatkan medali emas di Asian Games 2018,"" ujar Lola Amaria di Epicentrum, Kuningan, Jakarta Selatan, Rabu (19/09/2019).,Film yang akan tayang di bioskop pada Kamis, 19 September 2019 ini juga diramaikan oleh peran Aries Susanti (Atlet Panjat Tebing), Aryo Wahab, Mariam Supraba, dan juga Ranga Djoened.,Film ini menurut Lola demikian inspiratif karena tak hanya menceritakan perjuangan Aries Susanti Rahayu dalam membela Nusantara, namun juga bagaimana ia terlibat dalam konflik dengan keluarganya.,Terutama konflik Aries Susanti Rahayu dengan ibunya dan tugasnya sebagai ibu untuk anak-anaknya, menjadi drama yang manis. Cerita ini diramu dan dikemas sedemikian menariknya oleh Lola Amaria yang juga bertindak sebagai produser.,""Ada kisah perjuangan dan heroik dari Aries Susanti Rahayu ini, perjalanan hidupnya juga menarik. Kami ingin membuat kisah inspirasi. Semiskin apapun kalau bekerja keras pasti ada hasilnya,"" tutur Lola.,Selain sebagai kisah wujud nyata sebuah perjuangan yang akan selalu berbuah manis dalam kehidupan, film ini juga memiliki tujuan untuk memasyarakatkan olahraga panjat tebing itu sendiri.,""Selain ada kisah perjuangan, film ini juga ingin memperkenalkan olahraga panjat tebing kepada masyarakat. Visi kami dengan FPTI yaitu ingin mempopulerkan olahraga panjat tebing,"" tandas Lola Amaria.",https://www.fimela.com/news-entertainment/read/4065784/cerita-lola-amaria-besut-film-tentang-olahraga-69-detik
"Hasil Tes Positif Terkena Lupus dan Rheumatoid Arthritis, Kim Kardashian Periksa Ulang",fimela.com,14 Sep 2019,15:00 WIB,News & Entertainment,-," , terlihat sangat emosional di acara realita keluarganya “Keeping Up With The Kardashian” yang tayang pada Senin, 9 September 2019. Episode season 17 itu membahas tentang kesehatan Kim. Ibu dari 3 anak itu menceritakan gejala-gejala penyakit yang ia alami.,“Belakangan ini aku merasa sangat lelah, sangat mual, dan tanganku membengkak,” ujar Kim Kardashian. “Aku merasa sangat amat kacau. Kedua tanganku mati rasa,"" lanjutnya.,Kim melakukan pengecekan tes kehamilan, dan tes tersebut menghasilkan negatif. Kim memutuskan untuk menemui seorang dokter untuk melakukan pengecekan. Kim juga mengatakan bahwa tidak menutup kemungkinan bahwa rasa sakit yang ia rasakan merupakan efek dari sindrom lorong karpal yang ia miliki.,“Belakangan ini, pergelangan tanganku mulai terasa sakit lagi, tapi ini jelas merupakan rasa sakit yang berbeda,” ucapnya.,“Aku merasakan rasa sakit ini di tulangku. Ini cukup membuatku khawatir. Aku harus mencari tahu mengenai hal ini,"" ungkap ,.,Di akhir episode acara realita keluarganya, Kim mendapatkan kabar dari dokternya bahwa hasil tes darahnya menunjukan bahwa Kim positif terkena lupus dan RA.,Kim tidak mempercayainya dan berpikir bahwa hasil tes tersebut bisa saja salah. Kim lalu memutuskan untuk membuat pertemuan kembali dengan sang dokter untuk melakukan tes ulang, sehingga mendapatkan hasil ultrasound tangan dan persendiannya untuk mengetahui apa yang sebenarnya terjadi. Namun, belum ada hasil apapun dari tes ultrasound yang dilakukan Kim Kardashian.",https://www.fimela.com/news-entertainment/read/4059923/hasil-tes-positif-terkena-lupus-dan-rheumatoid-arthritis-kim-kardashian-periksa-ulang
