title,source,date,time,category,sub-category,content,url
Paus Fransiskus Tunjuk Ignatius Suharyo Jadi Kardinal Baru,liputan6.com,2019-09-01,23:06,News,Peristiwa," Paus Fransiskus mengumumkan Uskup Keuskupan Agung Jakarta Mgr , sebagai Kardinal. Suharyo menjadi satu dari 13 kardinal baru di Vatikan. ,Sekretaris Keuskupan Agung Jakarta Romo V Adi Prasojo mengaku bersyukur atas penunjukan tersebut. Mgr , juga merupakan Ketua Konferensi Waligereja Indonesia (KWI) dan Uskup TNI/Polri.,""Puji syukur kepada Tuhan atas kepercayaan dan cinta kasih Paus Fransiskus bagi Gereja Katolik Indonesia dengan pengangkatan Mgr. Ignatius Suharyo menjadi Kardinal,"" kata dalam keterangan pers yang diterima, Minggu (1/9/2019).,Setelah resmi diumumkan, Ignatius Suharyo beserta 12 kardinal lainnya akan dilantik dalam Consistorium atau Sidang Para Kardinal pada 5 Oktober 2019 di Vatikan., ,Uskup Ignatius Suharyo menjadi kardinal ketiga yang pernah dimiliki Indonesia setelah Justinus Darmojuwono dan Julius Darmaatmadja.,Mgr Ignatius Suharyo lahir di Sedayu, Bantul, Yogyakarta pada 9 Julo 1950. Mgr Ignatius menjadi Uskup Agung Jakarta sejak 29 Juni 2010, yang menggantikan Kardinal Julius Darmaatmadja.,Sebelum menjadi Uskup Agung Jakarta, Mgr Ignatius Suharyo menduduki posisi sebagai Uskup Agung Koajutor Jakarta. Dia juga pernah menjabat sebagai Uskup Agung Semarang.",https://www.liputan6.com/news/read/4052338/paus-fransiskus-tunjuk-ignatius-suharyo-jadi-kardinal-baru
EMLI Indonesia: Papua Merupakan Bagian NKRI,liputan6.com,2019-09-01,18:04,News,Peristiwa," Eksponen Muda Lintas Iman Indonesia (EMLI Indonesia) mengingatkan bahwa ,merupakan bagian dari bangsa Indonesia. Hal ini menyikapi yang terjadi belakangan terakhir di Bumi Cenderawasih itu.,Sekretaris EMLI Indonesia, Viktus Murin menjelaskan, Papua sejatinya merupakan bagian integral dari negara Proklamasi 17 Agustus 1945. Dalam perspektif hukum internasional, sesuai dengan asas ,.,""Papua yang merupakan bagian dari Netherlands Indies ikut dimerdekakan pada 17 Agustus 1945. Dengan demikian, sejak Bung Karno dan Bung Hatta memproklamirkan kemerdekaan Indonesia, ,sudah menjadi bagian NKRI,"" ucap Viktus di Gado-gado Boplo, Menteng, Jakarta, Minggu (1/9/2019).,Dia mengingatkan, Penentuan Pendapat Rakyat (PEPERA) pada 2 Agustus 1969 yang hasilnya telah disahkan Perserikatan Bangsa-Bangsa dalam Resolusi 2504 (XXIV) Majelis Umum, merupakan penegasan kembali sikap rakyat Papua mengenai penentuan nasib sendiri, untuk memastikan status daerah bagian barat Pulau Papua menjadi Indonesia, dan bukan milik Belanda.,Viktus menyebut PEPERA harus dimaknai sebagai solusi konflik bilateral Indonesia-Belanda yang difasilitasi PBB. Karena basis hukumnya adalah perjanjian bilateral New York Agreement 1962, bukan Bab XI (self-determination) Piagam PBB. Hal ini berbeda dengan Timor Timur yang berbasis Bab XI.,""Sekalipun telah diupayakan oleh Belanda, Papua tidak pernah masuk dalam list NSGT (NonSelf Government Territory). Dengan atau tanpa PEPERA, ,telah menjadi bagian integral NKRI sejak 17 Agustus 1945,"" jelas Viktus., ,Sementara itu, Koordinator EMLI Indonesia, Adhyaksa Dault mengingatkan bahwa PEPERA ini bukan sembarangan.,""PEPERA ini bukan sembarangan. Ini dibuat Founding Fathers kita,"" tukasnya.",https://www.liputan6.com/news/read/4052234/emli-indonesia-papua-merupakan-bagian-nkri
"Kasus Istri Bunuh dan Bakar Suami, Eks ART Aulia Kesuma Masih Berstatus Saksi",liputan6.com,2019-09-01,17:58,News,Peristiwa," Mantan asisten rumah tangga dari Aulia Kesuma (45) tersangka kasus ,, masih berstatus saksi. Penyidik Polda Metro Jaya belum menyematkan status tersangka meski dia membantu Aulia dalam kasus itu.,""Sementara masih saksi,"" kata Kepala Bidang Humas Polda Metro Jaya Komisaris Besar Polisi Argo Yuwono di Jakarta, seperti dilansir ,, Minggu (1/9/2019).,Namun, Argo mengungkapkan, polisi telah memintai keterangan pasangan suami istri mantan asisten rumah tangga Aulia terkait kasus ,.,Sebelumnya, Aulia Kesuma mengaku sempat meminta bantuan kepada mantan asisten rumah tangganya mencarikan eksekutor untuk membunuh suaminya Aulia Kesuma, Edi Candra Purnama alias Pupung Sadili (54) dan anak tirinya, M Adi Pradana alias Dana (23).,Mantan asisten rumah tangga Aulia itu diduga mencarikan empat eksekutor yang berasal dari Lampung untuk membunuh Pupung dan Dana dalam kasus , itu., ,Sebelumnya, polisi memburu suami-istri asal Lampung yang diduga turut merencanakan pembunuhan Edi Chandra Purnama alias Pupung Sadili (54) dan M Adi Pradana alias Dana (23).,Jasad Edi dan Dana ditemukan hangus terbakar dalam mobil yang terparkir di Kampung Bondol, Kabupaten Sukabumi, Jawa Barat, pada Minggu, 25 Agustus 2019.,Kabid Humas Polda Metro Jaya Kombes Argo Yuwono menjelaskan, keterlibatan pasangan suami-istri itu. Mereka diduga ikut membantu Aulia Kusuma alias AK mencari pembunuhbayaran.,""Salah satu yang diburu adalah mantan Asisten Rumah Tangga (ART) dari AK. Suaminya si ART menghubungi eksekutor dari Lampung untuk datang ke Jakarta,"" kata Argo di Mercure Convention Centre Ancol, Rabu (28/8/2019).,Argo membeberkan aksi pembunuhan itu sudah direncanakan dengan matang oleh para pelaku di salah satu apartemen di kawasan Kalibata, Jakarta Selatan.,""Jadi tersangka AK, Kelvin, dan R orang yang masih DPO merencanakan untuk mengahabisi korban Pupung dan Dana,"" ucap dia.",https://www.liputan6.com/news/read/4052243/kasus-istri-bunuh-dan-bakar-suami-eks-art-aulia-kesuma-masih-berstatus-saksi
3 Hal Mengejutkan Terkait Pengendara Motor yang Ditendang Polisi di Tangerang,liputan6.com,2019-09-01,19:06,News,Peristiwa," Baru-baru ini viral sebuah video seorang polisi lalu lintas menendang seorang pengendara , ketika melintas karena diduga lari dari kejaran tilang. Kejadian diketahui berada di Jalan Raya Serang, Cibadak, Kabupaten Tangerang.,Dalam video terlihat dua polisi sedang memberhentikan pengendara , matic. Tidak lama, seorang pengendara sepeda motor tanpa helm melintas lalu menendangnya hingga terpental ke badan jalan.,""Terkait video yang diposting itu, saya segera menindaklanjuti, apapun alasan yang dilakukan anggota tersebut adalah salah,"" ujar Kapolres Tangerang Komes Sabilul Alif saat dikonfirmasi, Jumat (30/8/2019).,Dia mengatakan, pihaknya tetap mengedepankan asas praduga tidak bersalah dalam kasus tersebut. Untuk mengetahui alasannya, anggota polisi tersebut dipanggil untuk diminta keterangan lebih lanjut.,Sabilul menjelaskan, dari hasil pemeriksaan terungkap, peristiwa itu terjadi pada Jumat 30 Agustus 2019 sekitar jam 7.30 WIB di Pertigaan Cibadak, Kecamatan Cikupa, Kabupaten Tangerang.,Namun ternyata, ada hal-hal yang terduga terkait pengendara sepeda motor yang ditendang polisi tersebut. Berikut 3 fakta yang dirangkum , terkait hal itu:, ,Kapolres Tangerang Kombes Sabilul Alif langsung memeriksa petugas polisi yang videonya viral saat menendang pengendara , yang tidak menggunakan helm. Sabilul menjelaskan, dari hasil pemeriksaan terungkap, peristiwa itu terjadi pada Jumat 30 Agustus 2019 sekitar jam 7.30 WIB di Pertigaan Cibadak, Kecamatan Cikupa, Kabupaten Tangerang.,Awalnya, kata Sabilul, Brigadir NW dan Brigadir MDH sedang melaksanakan pengaturan lalu lintas. Namun saat tengah melakukan tindakan terhadap pengendara motor matic yang tidak menggunakan helm, tiba-tiba melintas pengendara sepeda motor RX King yang tidak menggunakan helm.,Brigadir NW kemudian memberhentikan dan memeriksa pengendara RX King itu yang dikemudikan AP (20). Dari hasil pemeriksaan, ujar Sabilul, diketahui AP tidak memiliki SIM dan motor yang dikendarainya tidak dilengkapi dengan STNK. Selain itu, lanjut Sabilul, motor RX King itu tidak dilengkapi dengan kaca spion.,""Kepada petugas, AP mengaku motor RX King itu dibelinya secara online,"" ujar Sabilul., ,Kapolres Tangerang Kombes Sabilul Alif langsung memeriksa petugas polisi yang videonya viral saat menendang pengendara , yangb tidak menggunakan helm. Sabilul menjelaskan, dari hasil pemeriksaan terungkap, peristiwa itu terjadi pada Jumat 30 Agustus 2019 sekitar jam 7.30 WIB di Pertigaan Cibadak, Kecamatan Cikupa, Kabupaten Tangerang.,Awalnya, kata Sabilul, Brigadir NW dan Brigadir MDH sedang melaksanakan pengaturan lalu lintas. Namun saat tengah melakukan tindakan terhadap pengendara motor matic yang tidak menggunakan helm, tiba-tiba melintas pengendara sepeda motor RX King yang tidak menggunakan helm.,Brigadir NW kemudian memberhentikan dan memeriksa pengendara RX King itu yang dikemudikan AP (20). Dari hasil pemeriksaan, ujar Sabilul, diketahui AP tidak memiliki SIM dan motor yang dikendarainya tidak dilengkapi dengan STNK. Selain itu, lanjut Sabilul, motor RX King itu tidak dilengkapi dengan kaca spion.,Sabilul menuturkan, Brigadir NW yang masih memproses pengendara RX King kemudian mendengar perdebatan antara Brigadir MDH dengan pengendara Honda Beat yang masih bersikukuh menolak ditilang. Brigadir NW kemudian mencoba menengahi perdebatan itu.,Kemudian, kata Sabilul, saat Brigadir NW menengahi perbebatan antara Brigadir MDH dengan pengendara Honda Beat, tiba-tiba AP memacu motor RX King yang ditungganginya dan berusaha melarikan diri. Maka, secara refleks Brigadir NW menendang motor RX King itu.,Dijelaskan Sabilul, motor RX King yang dikendarai AP diduga kuat merupakan hasil kejahatan. ,Kepolisian menduga, AP (20) pria yang viral karena ditendang polisi saat hendak ditilang di Jalan Raya Cibadak, Tangerang, Banten itu diduga menggunakan sepeda motor hasil curian. ,Kini penyidik Satreskrim Polres Kota Tangerang tengah menyelidiki sindikat jual beli kendaraan curian yang dilakukan secara online. Langkah itu merupakan pengembangan dari keterangan AP yang mengaku membeli motor RX King bodong secara online.,""Kami lakukan pendalaman dan dipastikan motor RX King itu bodong diduga kuat hasil kejahatan,"" kata Kapolresta Tangerang Kombes Sabilul Alif, Minggu (1/9/2019).,Saat ini, AP masih diperiksa untuk menelusuri jaringan jual beli sepeda motor curian. AP, lanjut Sabilul, berpotensi menjadi tersangka penadah barang hasil curian.,""Sudah dibentuk tim khusus yang akan menelusuri kasus itu. Masyarakat yang mengetahui informasi terkait hal itu untuk menyampaikan kepada petugas,"" kata Sabilul.,Dia juga mengingatkan masyarakat agar berhati-hati saat akan membeli kendaraan roda empat atau roda dua. Menurutnya, masyarakat harus memastikan kendaraan yang dijual dalam kondisi prima dan dilengkapi surat resmi dan keasliannya.,""Dan seharusnya tidak membeli kendaraan yang tidak dilengkapi surat-surat resmi,"" sarannya.",https://www.liputan6.com/news/read/4052231/3-hal-mengejutkan-terkait-pengendara-motor-yang-ditendang-polisi-di-tangerang
Polisi soal Kasus Istri Bunuh dan Bakar Suami: Keterangan Aulia Kesuma Tidak Konsisten,liputan6.com,2019-09-01,18:28,News,Peristiwa," Penyidik Polda Metro Jaya mengungkapkan keterangan tersangka kasus , serta anak tirinya, Aulia Kesuma atau AK (45), tidak konsisten selama pemeriksaan.,""Kemarin tersangka AK sudah diserahkan ke Polda Metro Jaya tentunya kita akan periksa karena keterangan AK tidak konsisten,"" kata Kepala Bidang Humas Polda Metro Jaya Komisaris Besar Polisi Argo Yuwono di Jakarta, Minggu (1/9/2019).,Oleh karena itu, polisi akan mengonfrontasi keterangan para tersangka , dan anak tiri. Ini untuk mencocokkan seluruh keterangan para tersangka termasuk eksekutor A dan S, serta anak AK.,Selain itu, penyidik akan menggelar prarekonstruksi dan rekonstruksi untuk menyinkronkan keterangan para tersangka dengan adegan yang dilakukan saat beraksi.,""Itu semua peran akan terlihat terbaca di sana,"" ujar Argo.,Saat ini, polisi masih memeriksa beberapa saksi dan pengembangan keterangan dari para tersangka guna mencari gambaran sejak awal perencanaan hingga akhir kasus , dan anak tiri itu.,Mantan asisten rumah tangga dari Aulia Kesuma (45) tersangka kasus istri bunuh dan bakar suami, masih berstatus saksi. Penyidik Polda Metro Jaya belum menyematkan status tersangka meski dia membantu Aulia dalam kasus itu.,""Sementara masih saksi,"" kata Kepala Bidang Humas Polda Metro Jaya Komisaris Besar Polisi Argo Yuwono di Jakarta, seperti dilansir ,, Minggu (1/9/2019).,Namun, Argo mengungkapkan, polisi telah memintai keterangan pasangan suami istri mantan asisten rumah tangga Aulia terkait kasus istri bunuh suami.,Sebelumnya, Aulia Kesuma mengaku sempat meminta bantuan kepada mantan asisten rumah tangganya mencarikan eksekutor untuk membunuh suaminya Aulia Kesuma, Edi Candra Purnama alias Pupung Sadili (54) dan anak tirinya, M Adi Pradana alias Dana (23).,Mantan asisten rumah tangga Aulia itu diduga mencarikan empat eksekutor yang berasal dari Lampung untuk membunuh Pupung dan Dana dalam kasus istri bunuh suami itu., ,Reporter: Dedi Rahmadi,Sumber: Merdeka",https://www.liputan6.com/news/read/4052252/polisi-soal-kasus-istri-bunuh-dan-bakar-suami-keterangan-aulia-kesuma-tidak-konsisten
7.446 Kendaraan Ditilang pada Hari Ketiga Operasi Patuh Jaya 2019,liputan6.com,2019-09-01,16:21,News,Peristiwa," Sebanyak 7.446 kendaraan, baik roda empat maupun roda dua, ditilang karena melanggar berbagai aturan lalu lintas pada hari ketiga ,, 31 Agustus 2019.,""Ada 7.446 perkara pada hari ketiga ,, sedikit bekurang dari 7.518 perkara pada hari kedua Patuh Jaya 2019,"" kata Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP M Nasir, di Jakarta, seperti dilansir Antara, Minggu (1/9/2019).,Kendaraan roda dua masih menjadi penyumbang angka pelanggaran terbanyak dengan 5.720 unit, sedangkan pelanggar terbanyak kedua adalah mobil pribadi yang mencatatkan 1.410 unit.,Pada hari ketiga ini petugas memberikan teguran untuk 2.890 perkara pelanggaran lalu lintas, baik roda dua dan empat., resmi dimulai pada 29 Agustus hingga 11 September 2019. Operasi ini bertujuan untuk meningkatkan kepatuhan masyarakat dalam berlalu lintas di wilayah hukum Polda Metro Jaya., ,Polda Metro Jaya akan menurunkan 2.380 personel kepolisian dari berbagai unsur yang akan didukung oleh unsur TNI, dan Dinas Perhubungan (Dishub) DKI Jakarta.,Operasi ini diharapkan bisa meningkatkan keamanan dan keselamatan dalam berlalu lintas dan menurunkan angka kecelakaan.,Tujuan lainnya adalah membangun budaya tertib berlalu lintas dan meningkatkan kualitas pelayanan publik yang diberikan oleh pihak kepolisian.,Selain itu, Operasi Patuh Jaya diharapkan bisa menekan jumlah angka kematian akibat kecelakaan lalu lintas dan meminimalisir kemacetan lalu lintas.",https://www.liputan6.com/news/read/4052191/7446-kendaraan-ditilang-pada-hari-ketiga-operasi-patuh-jaya-2019
Panduan Ospek dari Kemenristekdikti Agar Tak Ada Lagi Perpeloncoan,liputan6.com,2019-09-01,19:58,News,Peristiwa," Orientasi studi dan pengenalan kampus (,) di Universitas Khairun, Ternate, Maluku Utara membuat geger karena mahasiswa baru dipaksa meminum air campur ludah dan berjalan jongkok. Usai viral, pihak kampus memberikan sanksi terhadap empat mahasiswanya yang terbukti bersalah.,Terkait pelaksanaan ospek, Kementerian Riset, Teknologi dan Pendidikan Tinggi (Kemenristekdikti) sebelumnya telah memberikan paduan kepada setiap universitas.,Panduan tersebut tertera dalam surat Direktur Jenderal Pembelajaran dan Kemahasiswaan Kemenristekdikti Nomor B/636/B.B3/KM.00/2019 tanggal 24 Juli 2019 tentang Panduan Umum Kehidupan Kampus Bagi Mahasiswa Baru (PKKMB) Tahun 2019.,""Perguruan Tinggi tidak diperbolehkan mengembangkan model pengenalan kampus sesuai dengan interpretasi masing-masing, sehingga terjadi penyimpangan antara lain aktivitas perpeloncoan oleh senior, kekerasan fisik dan atau psikis,"" ujar Direktur Jenderal Pembelajaran dan Kemahasiswaan Kemenristekdikti Ismunandar. dikutip dari laman resmi Ristekdikti, Minggu (1/9/2019).,PKKMB atau , memang bukan tanggung jawab mahasiswa senior. Melalui surat tersebut, Ismunandar menyatakan bahwa PKKMB merupakan tanggung jawab pemimpin perguruan tinggi.,""Kegiatan PPKMB merupakan kegiatan yang dilaksanakan oleh perguruan tinggi yang merupakan tanggung jawab pemimpin perguruan tinggi. Tidak dibenarkan bila ada perguruan tinggi yang menyerahkan kegiatan sepenuhnya kepada peserta didik senior tanpa ada proses pembimbingan dan pendampingan yang memadai,"" kata Ismunandar.,Selain pendampingan, pemimpin perguruan tinggi harus melakukan pengawasan untuk memastikan ,berjalan sesuai dengan yang telah ditetapkan.,""Pengawasan dilakukan agar pelaksanaan PKKMB sesuai dengan rencana yang telah ditetapkan. Pengawasan dilakukan oleh panitia yang terdiri dari unsur pemimpin, dosen, tenaga kependidikan dan semua unsur lain yang dianggap perlu,"" ucap dia., ,Keberadaan pedoman ini seharusnya dapat mencegah terjadinya kasus di Universitas Khairun. Bahkan, pedoman tersebut menjelaskan apa saja cara yang dapat dilakukan dalam melaksanakan PKKMB.,Cara tersebut antara lain pembinaan kesadaran bela negara, kehidupan berbangsa dan bernegara, pembinaan gerakan nasional revolusi mental, pengenalan sistem pendidikan tinggi di Indonesia (termasuk etika, tata krama, norma di kampus), dan kesadaran lingkungan hidup dan kesiapsiagaan bencana di perguruan tinggi.,Selain itu, surat tersebut mengimbau PKKMB agar memenuhi tiga asas yaitu keterbukaan, demokratis dan humanis. Asas keterbukaan yaitu dilaksanakan secara terbuka dalam pembiayaan, materi kegiatan, informasi waktu dan tempat penyelenggaraan.,Asas demokratis berarti kegiatan dilakukan berdasarkan kesetaraan dengan menghormati hak dan kewajiban setiap pihak yang terlibat. Asas humanis yaitu PKKMB dilakukan atas dasar kemanusiaan yang adil dan beradab, prinsip persaudaraan, dan anti kekerasan.,Meski begitu, sisi teknis dan pelaksanaan dapat disesuaikan dengan masing-masing perguruan tinggi, namun harus tetap berpedoman dengan panduan tersebut. ""Perguruan Tinggi dapat mendeskripsikan materi lebih teknis dan metode pelaksanaan yang disesuaikan dengan karakteristik, berdasarkan kebutuhan masing-masing dengan tetap berpedoman pada panduan ini,"" ucap Ismunandar.,Dalam kasus ospek di Universitas Khairun, empat mahasiswa senior mendapatkan sanksi. Pelaku inisial AE diskors perkuliahan selama dua semester. FSMA, LM dan NSF diskors selama satu semester.,Pada panduan, Ismunandar menyatakan bahwa sanksi disesuaikan dengan peraturan yang berlaku di tiap perguruan tinggi.,""Semua bentuk pelanggaran terhadap ketentuan-ketentuan di atas (di panduan) dikenakan sanksi, sesuai dengan peraturan yang berlaku di perguruan tinggi masing-masing,"" ujarnya., ,Reporter: Ahdania Kirana,Sumber: Merdeka",https://www.liputan6.com/news/read/4052285/panduan-ospek-dari-kemenristekdikti-agar-tak-ada-lagi-perpeloncoan
Ragam Perayaan Tahun Baru Islam di Indonesia,liputan6.com,2019-09-01,16:31,News,Peristiwa," Perayaan pergantian , 1441 Hijriah dilakuan di sejumlah daerah di Indonesia. Setiap daerah memiliki cara tersendiri dalam merayakan tahun baru tersebut, salah satunya Jakarta.,Pemerintah Provinsi (Pemprov) DKI Jakarta menggelar Jakarta Muharram Festival dan Pawai Obor Elektrik dalam rangka memperingati pergantian Tahun Baru Islam. Kegiatan itu dilaksankan pada Sabtu 31 Agustus 2019 di kawasan Monas, Jalan Sudirman-Thamrin dan Bundaran HI mulai pukul 16.00 WIB.,Sekretaris Daerah (Sekda) DKI Jakarta Saefullah menyatakan acara itu dimeriahkan dengan pawai obor elektrik dan sejumlah acara, mulai dari panggung hiburan hingga festival kuliner halal.,""Ada atraksi tari, lampu religi, selawat nabi, serta artis-artis nasional. Selain itu ada juga tausiah dan doa bersama yang dilakukan dalam momen peringatan tahun baru tersebut,"" kata Saefullah di Jakarta, Kamis 29 Agustus 2019.,Selain Jakarta, ini sejumlah daerah yang merayakan pergantian , dirangkum ,:, ,Pemerintah Provinsi Jambi menggelar tabligh akbar dan festival meriam bambu atau bedil di halaman kantor Gubernur Jambi dalam rangka menyambut tahun baru 1441 Hijriah atau 1 Muharam yang bertepatan tanggal 1 September 2019.,Gubernur Jambi mengajak masyarakat untuk ikut menghadiri serta meramaikan tabligh akbar dan festival bedil dalam rangka 1 Muharam 1441 Hijriah.,""Yang paling menarik dari perayaan menyambut 1 Muharram ini yakni festival bedil yang saat ini mulai ditinggalkan oleh masyarakat. Festival meriam bambu atau bedil ini akan kembali mengingatkan masyarakat akan permainan tempo dulu,"" kata Gubernur Jambi Fachrori Umar melalui Kepala Biro Humas dan Protokol Setda Provinsi Jambi, Johansyah, di Jambi.,Gubernur Jambi, Fachrori juga mengatakan moment pergantian tahun atau menyambut tahun baru Hijriah menjadi kegiatan rutin yang diselenggarakan oleh Pemerintah Provinsi Jambi, , bagi masyarakat Provinsi Bengkulu memiliki arti tersendiri. Perayaan tahunan bertajuk Tabut Muharam digelar selama 10 hari berturut-turut di Bengkulu sejak malam satu suro atau malam 1 hingga 10 Muharam.,Dua rangkaian kegiatan digelar bersamaan. Prosesi sakral yang digelar 17 keluarga pewaris tradisi Tabut yang tergabung dalam Kerukunan Keluarga Tabut (KKT) Bengkulu akan melakukan prosesi budaya dan adat, sementara pemerintah menggelar Festival tahunan Tabut Bengkulu.,Ketua Kerukunan Keluarga Tabut Bencoolen, Ahmad Syiafril Syahbuddin mengatakan, prosesi budaya sakral tahun ini dimulai sejak tanggal 31 Agustus dengan menggelar pengajian dan Zikir di Musala dekat komplek pemakaman Syeh Burhandudin atau Imam Senggolo di TPU Karabela Kota Bengkulu.,""Pengajian kita gelar untuk memohon izin dimudahkan dan dilancarkan sepanjang kegiatan kita tahun ini,"" ungkap Syiafril di Bengkulu, Sabtu 31 Agustus 2019.,Malamnya, sebanyak 17 keluarga pewaris tradisi Tabut akan melakukan prosesi Ambik Tanah. Ada dua rombongan besar yaitu keluarga Tabut Imam yang melakukan prosesi ambik tanah di kawasan Pantai Nala. Satu rombongan lagi yaitu keluarga Tabut Bangsal melakukan ambik tanah di bawah Benteng Marlborough.,Sebelum berangkat menuju lokasi Ambik Tanah, para pewaris tradisi ini akan berpamitan dengan Raja Agung atau Gubernur Bengkulu sebagai pemimpin daerah ini di Balai Raya Semarak Bengkulu., ,Keraton Kasunanan Surakarta Hadiningrat dan Puro Mangkunegaran Solo menggelar kirab pusaka malam 1 Sura, Sabtu (31/8/2019). Kirab pusaka tersebut untuk menyambut tahun baru Jawa 1 Suro Wawu 1953 atau 1 Muharram 1441 Hijriah.,Pengageng Parentah Karaton Surakarta Hadiningrat, Kanjeng Gusti Pangeran Haryo (KGPH) Dipokusumo mengatakan, kirab akan dimulai setelah pukul 23.00 WIB, mengelilingi jalan di sekitar keraton.,Mulai dari Jalan Kapten Mulyadi, Veteran, Yos Sudarso, Slamet Riyadi dan kembali ke keraton. Selain kebo bule atau kerbau keturunan Kyai Slamet juga ikut dikirab sejumlah pusaka lainnya.,""Ada 9 pusaka Dalem (kebo bule) yang akan kita kirab besok, selain beberapa pusaka yang lain,"" ujar Gusti Dipo, sapaan akrab KGPH Dipokusumo., ,Kebanyakan umat Islam Tanah Air menyambut ,, 1 Muharam 1441 dengan pawai obor dan tablig akbar. Lain halnya dengan ribuan jemaah Majelis Tarbiyah, Wanaraja, Garut, Jawa Barat.,Setelah berkeliling pawai 1 Muharam mengitari kawasan perkotaan Garut, para jemaah dan warga sekitar, mendapat kado istimewa berupa pembagian ribuan ekor ayam kampung secara gratis.,""Kami juga menyediakan sekitar enam ribu paket sembako buat warga,"" ujar Pimpinan Majelis Tarbiyah Wanaraja KH Benghan Syarifudin, di sela-sela kegiatan tablig akbar, Jumat (30/8/2019) petang.,Menurut Benghan, pemberian ayam secara gratis, dimaksudkan memotivasi mereka dalam meningkatkan potensi diri agar lebih mandiri., ",https://www.liputan6.com/news/read/4052099/ragam-perayaan-tahun-baru-islam-di-indonesia
Pemerintah Diminta Bentuk Gugus Khusus Tangani Masalah Papua,liputan6.com,2019-09-01,19:29,News,Peristiwa," Eksponen Muda Lintas Iman Indonesia (EMLI Indonesia) menyesalkan terjadinya peristiwa aksi massa yang berujung rusuh di ,. Meski demikian, sikap cepat tanggap aparat keamanan dalam menetapkan 30 tersangka sangat diapresiasi.,""Bersamaan dengan itu, para penegak hukum di ranah pengadilan hendaknya menjatuhkan hukuman berat bagi siapa pun pelaku tindakan provokasi yang membonceng sentimen SARA dan tindakan intoleransi,"" ucap Sekretaris EMLI Indonesia, Viktus Murin di Gado-gado Boplo, Menteng, Jakarta, Minggu (1/9/2019).,Pihaknya juga mengajak seluruh elemen bangsa, khususnya yang berada di wilayah Propinsi ,. Temasuk di dalamnya aparat keamanan (TNI-Polri), agar dapat menahan diri dan selalu mengedepankan pendekatan persuasif dalam mengatasi setiap potensi gejolak sosial yang terjadi.,""Warga masyarakat bumi Cendrawasih Papua sesungguhnya adalah warga Indonesia yang berkarakter Bhineka Tunggal Ika, yang menjunjung tinggi kemajemukan, berjiwa besar dan atau patriotik, serta mengutamakan perdamaian dan persaudaraan sebangsa-setanah air,"" jelas Viktus.,Pihaknya juga mendesak, Pemerintah Pusat dan Daerah agar membentuk sebuah gugus tugas atau task force yang bersifat khusus, dalam rangka penanganan di ,secara komperhensif dan multidimensional. Dirinya menyebut, pimpinan dan keanggotaan dari gugus tugas hendaknya diprioritaskan secara komprehensif dan multidimensional.,""Pimpinan dan keanggotaan dari gugus tugas hendaknya diprioritaskan bagi putera-puteri Papua dari berbagai latar belakang, yang sungguh-sungguh memahami masalah-masalah mendasar di Papua. Gugus tugas ini hendaknya membangun kemitraan intesif dengan para pemimpin umat beragama di Papua melalui lembaga-lembaga keagamaan seperti Sinode Gereja, Keuskupan, dan MUI, serta para tokoh adat, tokoh masyarakat, dan tokoh pemuda di Papua,"" ungkap Viktus., ,Sementara itu, Koordinator EMLI Indonesia, Adhyaksa Dault menjelaskan task force itu bisa mengajak seluruh elemen masyarakat. Sehingga, mereka yang berada lama di sana, bukan sekali datang kemudian meninjau.,""Dibuat , dan mengajak ,. Jadi menjadi perpanjangan tangan,"" pungkasnya.",https://www.liputan6.com/news/read/4052272/pemerintah-diminta-bentuk-gugus-khusus-tangani-masalah-papua
BMKG: 2 Wilayah Indonesia Diguncang Gempa Hari Ini,liputan6.com,2019-09-01,20:34,News,Peristiwa," Dua wilayah Indonesia diguncang , hari ini, Minggu (1/9/2019). Hingga pukul 20.30 WIB, Badan Meteorologi, Klimatologi dan Geofisika (BMKG) menginformasikan lindu pertama terjadi di Ruteng, Kabupaten Manggarai, Nusa Tenggara Timur (NTT).,Sementara, Melonguane, Kabupaten Kepulauan Talaud, Sulawesi Utara digoyang , pada pukul 18.57 WIB.,Hingga kini belum ada informasi terkait potensi tsunami yang ditimbulkan maupun kerusakan bangunan akibat terdampak gempa.,Berikut, hari ini yang mengguncang Indonesia:,Gempa magnitudo 4,1 menggoyang Ruteng pada pukul 10:36:40 WIB. Pusat lindu terjadi di laut.,Koordinat titik gempa dilaporkan BMKG berada di 8,18 Lintang Selatan (LS) dan 120,8 Bujur Timur (BT). Kedalaman mencapai 24 kilometer.,Sedangkan lokasi lindu berada di 60 kilometer timur laut Ruteng.,Sementara, lindu yang mengguncang Kepulauan Talaud, Sulut terjadi pada pukul 18.57.36 WIB. Gempa bermagnitudo 5,1.,Menurut BMKG lokasi gempa terjadi di 150 km timur Laut Melonguane, Sulut dengan kedalaman mencapai 103 kilometer.,Ada pun titik koordinat gempa berada di 5,35 LS dan 126,78 BT.",https://www.liputan6.com/news/read/4052294/bmkg-2-wilayah-indonesia-diguncang-gempa-hari-ini
