title,source,date,time,category,sub-category,content,url
Sheila Majid dan Ruth Sahanaya Kangen-kangenan di Golden Memories Asia Indosiar,liputan6.com,2019-09-10,17:30,ShowBiz,Selebritis," Senin (9/9/2019) malam, ada yang spesial di , Indosiar. Diva Negeri Jiran, Sheila Majid hadir sebagai bintang tamu sekaligus komentator.,Tak ketinggalan, Sheila Majid memamerkan sejumlah hit abadinya seperti “Warna” karya Indra Lesmana dan Johan Nawawi.,Kebanggaan tampil di , diabadikan Sheila Majid di Instagram. Yang membuat Golden Memories Asia terasa kian istimewa, pertemuan Sheila Majid dengan sahabat lawas, Ruth Sahanaya. Dua diva dari dua negara ini pun kangen-kangenan. ,Sheila Majid mengunggah tiga fotonya bersama Ruth Sahanaya. Di foto pertama Sheila Majid menggandeng lengan Ruth Sahanaya seraya menggenggam jemarinya. Foto kedua, memperlihatkan dua diva berdiskusi di meja komentator. , ,Foto ketiga menampilkan Sheila Majid berdiri membelakangi Ruth Sahanaya. Status teks yang digurat pemilik hit “Cinta Jangan Kau Pergi” ini terasa emosional. , seru Sheila Majid seraya membubuhkan tiga emoji hati berwarna merah. , sambung Sheila Majid.,Seperti diketahui, di era 1980-an, Ruth Sahanaya menjadi artis lokal pertama yang direkrut perusahaan rekaman Aquarius Musikindo. Debutnya ditandai dengan album , yang melahirkan dua hit besar yakni “Astaga” dan “Memori.” Di tahun yang sama, Sheila Majid dipayungi Aquarius Musikindo. Ia menelurkan album, , ,Emosi memfiturkan dua tembang legendaris yakni “Sinaran” dan “Antara Anyer Dan Jakarta.” Sejak itu, keduanya berteman hingga kini. Lebih dari tiga dekade bersahabat, Sheila Majid mengaku belajar banyak dari Ruth Sahanaya.,Sheila Majid menggambarkan Ruth Sahanaya dengan tiga kata. , sambung pemilik album , dan ,.,Kangen-kangenan antara Sheila Majid dan Ruth Sahanaya rupanya membuat sejumlah penggemar baper. Bahkan beberapa fans terjebak nostalgia. , pinta seorang warganet. “Selamanya” adalah lagu ciptaan almarhum Chrisye dan Adjie Soetama.",https://www.liputan6.com/showbiz/read/4059165/sheila-majid-dan-ruth-sahanaya-kangen-kangenan-di-golden-memories-asia-indosiar
"Raditya Dika Menderita Autoimun, Anak Alami Gejala yang Sama",liputan6.com,2019-09-10,17:00,ShowBiz,Selebritis," , mengakui dirinya menderita penyakit autoimun. Autoimun sendiri merupakan suatu penyakit di mana sistem kekebalan tubuh menyerang sel-sel sehat., sendiri mengaku sudah lama mengalami gejala-gejala autoimun tersebut. Hal itu disampaikan Raditya Dika saat menjadi bintang tamu dalam acara konten video YouTube yang dipandu Ussy Sulistiawaty dan Andika Pratama.,""Autoimun , itu sebenarnya lebih ke kulit menjadi kering, terus timbul ruam kalau , stres. Terus sendi-sendi itu jadi pegel dan tidak dapat dijelaskan lah kalau lagi stres tiba-tiba kok timbul reaksi kayak gini. , sebenernya udah , ini udah hampir enam tahun ya,"" kata , dalam video yang diunggah pada Senin (9/9/2019).,Rupanya bukan hanya Raditya Dika saja yang mengalami gejala tersebut di keluarganya. Adik bungsunya juga memperlihatkan gejala yang sama. Kini, putrinya, Alinea Ava Nasution, juga mengalaminya. , ,Namun, Raditya Dika belum mengetahui pasti apakah putrinya juga mengidap autoimun seperti dirinya atau tidak. Yang pasti, gejala yang dialami sang buah hati itu tidak berbeda jauh dengannya.,""Nah adik , juga punya permasalahan yang sama, Edgar, yang paling kecil. Anak , sih di belakang kupingnya juga udah mulai kering-kering gitu, tapi enggak tahu kan kita belum bisa diagnosis kan, karena kan mirip-mirip sama , tuh ada kering di belakang kuping lah, terus ada ruam-ruam merah,"" lanjut Raditya Dika.",https://www.liputan6.com/showbiz/read/4059134/raditya-dika-menderita-autoimun-anak-alami-gejala-yang-sama
4 Fakta Sidang Perdana Kasus Narkoba Jefri Nichol,liputan6.com,2019-09-10,18:00,ShowBiz,Blink-Blink," ,baru saja menjalani sidang perdana kasus narkoba yang menjeratnya di Pengadilan Negeri Jakarta Selatan, Senin (9/9/2019).,Dalam sidangnya itu, , menjelaskan kepada majelis hakim alasan mengapa dirinya sampai mengonsumsi ganja.,Orang-orang terkasih hadir untuk memberikan dukungan kepada , seperti ibunya, Junita Eka Putri, dan juga mantan kekasihnya, Shenina Cinnamon.,Namun di balik semua itu, ada beberapa fakta menarik tentang sidang perdana Jefri Nichol. Apa saja sih? Berikut fakta-faktanya. ,Jefri Nichol mengaku cemas saat menjalani sidang perdananya di Pengadilan Negeri Jakarta Selatan. Terlebih, ia harus di bangku pesakitan dan menceritakan tentang alasan menggunakan narkoba.,""Iya (deg degan),"" ungkap dia.,Jaksa Penuntut Umum (JPU) menyatakan Jefri Nichol telah melanggar pasal 111 ayat 1 undang undang nomor 35 tahun 2009 tentang narkotika. Dengan ancaman pidana pasal 127 ayat 1 huruf a undang undang nomor 35 tahun 2009 tentang narkotika.,""Terdakwa telah melanggar undang undang,"" kata Jaksa Penuntut Umum, Jefri Hadi, saat persidangan.,Melalui pengakuannya dalam persidangan, Jefri Nichol mengaku menggunakan ganja karena kesulitan tidur.,""Bahwa pada hari Jumat, 5 Juli 2019, terdakwa sedang bertemu dengan teman-temannya di McDonald's Kemang. Terdakwa bercerita dengan teman-temannya bahwa terdakwa kesulitan tidur,"" kata Jefri dalam sidang.,Jefri Nichol didakwa melanggar pasal 111 ayat 1 undang-undang nomor 35 tahun 2009 tentang narkotika. Dengan ancaman pidana pasal 127 ayat 1 huruf a undang undang nomor 35 tahun 2009 tentang narkotika.,Terkait masalah tersebut, Jefri Nichol tak mengajukan eksepsi atau nota keberatan.,""Kami enggak eksepsi bukan berarti kami terima terkait hal-hal lain. Ya kalau seandainya itu tidak sesuai dengan ketentuan undang-undang, ya pasti kami akan lakukan perlawanan,"" ucap pengacara Jefri Nichol, Aris Marasabesi .",https://www.liputan6.com/showbiz/read/4059230/4-fakta-sidang-perdana-kasus-narkoba-jefri-nichol
"Perlindungan WNI hingga Perdamaian, Menlu Sebut 4 Manfaat Diplomasi Digital",liputan6.com,2019-09-10,14:00,Global,Internasional," Perkembangan pesat teknologi informasi dan komunikasi (TIK) dewasa ini bak pedang bermata dua, di satu sisi membawa manfaat, namun memicu tantangan baru pada sisi lainnya.,Kegagalan beradaptasi pada perkembangan pesat TIK beserta efek 'pedang bermata dua'-nya, bisa menimbulkan konsekuensi serius. Oleh karenanya, persoalan ini turut menjadi perhatian kebijakan luar negeri pemerintah Indonesia: bagaimana mampu memanfaatkan TIK, selagi mengatasi tantangan yang dimunculkannya.,Diplomat, selaku ujung tombak dari kebijakan luar negeri, tidak boleh 'alergi' pada persoalan ini, kata Menteri Luar Negeri RI Retno Marsudi.,Jika tidak, diplomat, bahkan kerja diplomasi-nya untuk Indonesia, akan menjadi tak relevan.,""Itu mengapa, kata diplomasi harus berkelindan dengan kata digital dewasa ini,"" tegas Retno saat membuka secara resmi Regional Conference on Digital Diplomacy (RCDD) bertajuk , di Jakarta, Selasa (10/9/2019).,Perhelatan itu dihadiri oleh perwakilan selevel menteri dan diplomat top dari 10 negara ASEAN dan 6 negara lain, seperti Australia, China, Selandia Baru, India, Korea Selatan, dan Jepang.,""Diplomasi sebagai alat kebijakan luar negeri sedang diubah oleh pengembangan TIK ... menghadirkan banyak peluang yang bisa dimanfaatkan pada satu sisi, tapi juga banyak tantangan di yang lain."",Menlu Retno Marsudi membeberkan 4 tantangan sekaligus manfaat pemanfaatan TIK bagi diplomasi digital, yakni menyebar pesan perdamaian demi melawan ekstremisme hingga terorisme.,Seruan itu datang ketika teknologi sosial media acap kali dimanfaatkan sebagai medium untuk menyebar kebencian, pola pikir ekstremis, hingga menyulut terorisme --sebuah contoh dari efek 'pedang bermata dua' perkembangan pesat TIK.,""Diplomasi digital harus digunakan untuk menyebarkan pesan-pesan perdamaian ... demi melawan kekerasan berbasis kebencian, ekstremisme, hingga terorisme,"" ujar mantan duta besar RI untuk Belanda itu.,""Di sinilah diplomasi diperlukan, untuk memastikan bahwa media sosial dan platform online dapat berkontribusi pada perang melawan ekstremisme dan kekerasan terorisme."",Tidak ada negara yang kebal terhadap megatren ekonomi global seperti meningkatnya ketidaksetaraan, dampak dari Revolusi Industri Keempat, belum lagi ketegangan perdagangan baru-baru ini --seperti perang dagang Amerika Serikat dan China.,Oleh karenanya, Retno menekankan bahwa ""diplomasi dan kerja sama menjadi satu-satunya cara untuk menghadapi tantangan itu."",""Kita harus dapat memastikan bahwa teknologi digital digunakan untuk berubah ekonomi kita, untuk memberdayakan orang-orang kita."",""Diplomasi digital harus dapat menjembatani kolaborasi ekonomi. Dan mendukung lebih banyak keterbukaan dalam perekonomian kita."",Ketiga, Menlu Retno juga menggarisbawahi bahwa diplomasi digital bisa dimanfaatkan sebagai ""alat kuat untuk melindungi warga negara dan kepentingan RI di luar negeri."",Saat ini, Kemlu RI telah memiliki Portal Peduli WNI (,) dan Safe Travel sebagai pengejawantahan diplomasi digital.,Keempat dan terakhir, Menlu juga menekankan bahwa diplomasi digital bisa menjadi alat untuk perkembangan bangsa dan meminimalisir ""kesenjangan digital dan literasi informasi"" di berbagai kalangan.,""Tugas kita sekarang adalah mengurangi atau jika mungkin untuk menghilangkan kesenjangan digital, yangmemisahkan 'yang kaya' dari 'yang miskin' - untuk memastikan tidak ada yang tertinggal."",""Menyediakan akses internet ke semua warga negara melalui infrastruktur, dukungan keuangan, aspek sosial budaya dan kelembagaan telah menjadi dasardari prinsip ini."",""Oleh karenanya, kita harus menemukan kembali diplomasi digital kita untuk meningkatkan kesadaran dan pengembangan,"" tutup Menlu Retno.",https://www.liputan6.com/global/read/4058940/perlindungan-wni-hingga-perdamaian-menlu-sebut-4-manfaat-diplomasi-digital
"Didiagnosis Kembung Biasa, Bocah 3 Tahun Meninggal Akibat Kanker Perut",liputan6.com,2019-09-10,06:00,Health,Health Info," Bocah perempuan usia 3 tahun asal Inggris mengalami nasib tragis. Aoife Flanagan-Gibb mengembuskan napas terakhir pada 7 Juli 2019 akibat , setelah sebelumnya berulangkali mengalami salah diagnosis.,Menurut keterangan keluarganya, Aoife berulangkali didiagnosis mengalami , atau perut kembung, melansir laman New York Post.,""Dia berulangkali masuk dan keluar rumah sakit dengan masalah dan infeksi yang berbeda. Tapi mereka (pihak rumah sakit) selalu mengatakan pada kami bahwa dia hanya mengalami konstipasi yang biasa dialami anak-anak,"" ujar Eilish Flanagan, ibu Aoife.,Eilish mengatakan, dirinya telah nyaris duabelas kali memeriksakan kondisi Aoife untuk mencari tahu apa penyebab sakitnya. Ironisnya, nyawa Aoife melayang beberapa hari setelah dia mendapat diagnosis yang tepat., ,Tepatnya lima hari setelah dokter mendiagnosisnya dengan benar, bocah perempuan asalh Essex itu meninggal dalam pelukan sang ibu di rumah sakit.,""Kejadian itu benar-benar tak terduga. Dia mengalami henti jantung yang luar biasa,"" cerita Eilish. ""Aku memeluknya karena aku tahu ada yang salah dengan dirinya. Dia meninggal dalam pelukanku,"" ucap Eilish.",https://www.liputan6.com/health/read/4057798/didiagnosis-kembung-biasa-bocah-3-tahun-meninggal-akibat-kanker-perut
"Resep Cilok Anti-alot, Mengunyah Tak Lagi Susah",liputan6.com,2019-09-10,06:03,Lifestyle,Culinary," ,, jajanan anak sekolahan yang satu ini tak pernah ketinggalan zaman. Tapi, kadangkala tekstur cilok yang terlalu kenyal menyulitkan untuk ditelan.,Anda tak usah khawatir. Kali ini, Rizkia Utama membagikan resep cilok yang diklaim bisa tetap enak dikonsumsi walau sudah dingin.,Resep tersebut diunggah di Cookpad. Seperti apa? Simak langkah-langkah pembuatan , berikut ini.,2 gelas belimbing Tepung Terigu,2,5 gelas belimbing Tepung Tapioka,1 buah telur ayam,Irisan kucai atau daun bawang sesuai selera,2 gelas air,Minyak goreng secukupnya,Isian opsional (daging sapi, daging ayam, atau telur),3 siung ,Merica, garam, kaldu bubuk secukupnya.,1. Haluskan bawang putih dengan merica, lalu rebus dua gelas air di dalam panci.,2. Masukkan bumbu halus ke dalam air rebusan beserta kaldu dan garam, koreksi rasa (dibuat agak sedikit asin biar nanti setelah dimasukkan tepung rasanya tetap gurih),3. Setelah mendidih, masukkan tepung terigu ke dalam air rebusan. Masak dengan api kecil hingga adonan rata dan jangan sampai gosong.,4. Matikan api dan masukkan adonan terigu dalam sebuah wadah dan biarkan hingga adonan hangat.,5. Kocok telur ayam dan masukkan ke dalam adonan terigu beserta irisan kucai/dan bawang, aduk hingga merata,6. Masukkan sedikit demi sedikit tepung tapioka hingga kalis,7. Bulatkan adonan dan beri isian sesuai selera, bisa dengan ayam, tetelan daging, ataupun telur dadar.,8. Rebus sebentar adonan yang telah dibulatkan dengan memberi sedikit minyak goreng dalam air rebusan agar cilok tidak lengket,9. Setelah direbus, angkat dan tiriskan lalu kukus 20 menit dengan memberi taburan bawang goreng,10. Cilok siap dihidangkan dengan kecap, saus sambal, maupun dengan bumbu kacang",https://www.liputan6.com/lifestyle/read/4058504/resep-cilok-anti-alot-mengunyah-tak-lagi-susah
"Anak pun Bisa Depresi, Kenali Tanda-Tandanya",liputan6.com,2019-09-10,07:00,Health,Mom & Kids," Anak yang masih di tahap tumbuh dan berkembang pun bisa ,. Ini mereka alami karena di dalam proses perkembangannya, anak memiliki suasana hati yang mudah sekali berubah-ubah.,Selain itu, faktor lain seperti keluarga yang tak harmonis, masalah di sekolah, dan perundungan atau ,bisa membuat si Kecil ,. ,Saat anak terus menerus tampak sedih, putus asa, bimbang dan menyendiri, ini bisa menjadi tanda anak mengalami stres bahkan ,., ,Anak yang mengalami depresi bisa rentan terhadap bahaya. Bahaya tersebut mulai dari gangguan kesehatan jantung saat ia tumbuh dewasa kelak, kecanduan minuman beralkohol hingga obat-obatan terlarang serta rokok.,Termasuk mengalami kerusakan otak dan kemampuan berpikir yang menurun, sulit menjalin hubungan atau sosialisasi dengan orang lain hingga anak rentan mengakhiri hidup atau bunuh diri.,Ketika mendapati anak tampak berbeda dan stres, usahakan untuk senantiasa ada untuk anak. Hindari memberi tekanan berlebih padanya karena ini bisa membuatnya semakin depresi., ,Untuk mengatasi depresi pada anak, yang terpenting dilakukan orangtua adalah selalu berusaha ada untuknya.,Sesibuk aktivitas orangtua, pastikan untuk selalu memberi perhatian padanya. Jadilah tempat curhat anak. Jadilah pendukung untuk kebaikan anak.,Bantu anak melewati hari-hari beratnya dengan sabar dan penuh kasih sayang. Melansir dari laman ,, untuk mengatasi depresi pada anak orangtua juga perlu membawa anak ke psikolog atau dokter spesialis kejiwaan. Studi terbaru menemukan jika konseling dan psikoterapi adalah cara terbaik dan tepat untuk mengatasi depresi pada anak.",https://www.liputan6.com/health/read/4058174/anak-pun-bisa-depresi-kenali-tanda-tandanya
"Dengan Bayi Tabung, Lansia 74 Tahun Melahirkan Anak Pertama Kali",liputan6.com,2019-09-10,09:00,Health,Persona," Di usianya yang sudah 74, kebanyakan orang mungkin berpikir bahwa Erramatti Mangayamma harusnya sudah dipanggil nenek. Namun berkat program ,, untuk pertama kalinya dia menjadi orangtua dari bayi kembar.,Wanita asal India ini disebut-sebut sebagai ibu tertua yang pernah melahirkan usai melakukan proses fertilisasi in vitro atau ,. Bayi kembar tersebut dilahirkan secara caesar pada 5 September lalu.,Dilansir dari , pada Senin (9/9/2019), Erramatti dan suaminya Yaramati Sitarama Rajarao (78), selalu gagal memiliki anak meski sudah menikah selama 57 tahun. Tak jarang, kondisi tersebut membuat para tetangganya berpikir negatif.,""Tetangga memanggil saya , (kata hinaan untuk wanita tanpa anak),"" kata Erramatti kepada media setempat.,Dokter yang menangani Erramatti mengatakan bahwa wanita itu sudah menopause sekitar 25 tahun yang lalu. Sehingga, sel telur diambil dari donor dan dibuahi dengan sperma suaminya.,""Ini adalah keajaiban medis,"" kata dokter bernama Sanakkayala Umasankar pada ,Erramatti dibantu 10 dokter dalam menjaga kehamilan serta melewati proses persalinannya. Dia juga mendapatkan pemeriksaan psikologis agar siap secara mental.,""Kami melakukan semua tes medis dan menemukan bahwa secara medis dia layak untuk konsepsi melalui fertilisasi in vitro,"" kata Umansankar.,Walau begitu, kejadian itu mendapatkan sorotan dari dewan medis setempat, khususnya terkait etika medis lokal yang mempertanyakan kepatutan dokter membantu seorang lansia memiliki anak.,""Ini tentu merupakan masalah yang bisa diperdebatkan,"" kata Buchipudi Sambasiva Reddy, ketua dewan medis Andhra Pradesh.",https://www.liputan6.com/health/read/4057856/dengan-bayi-tabung-lansia-74-tahun-melahirkan-anak-pertama-kali
Begini Cara Atasi Depresi pada Anak yang Perlu Orangtua Tahu,liputan6.com,2019-09-10,08:00,Health,Mom & Kids," Anak bisa juga mengalami stres dan tekanan karena keadaan yang terjadi, yang membuat dia rentan terkena ,. Misalnya, karena perceraian orangtua, kematian saudara, kakek atau neneknya, masuk ke lingkungan baru atau mengalami perundungan ,Dunia yang menyenangkan dan ceria identik dengan anak-anak. Mereka selalu ingin bermain apapun kondisinya. Meski demikian bukan berarti anak tak bisa merasakan emosi negatif yang berasal dari sekelilingnya. Yang pada akhirnya membuatnya jadi ,.,Salah satu tanda jelas saat anak stres adalah perubahan sikap dan temperamen. Anak jadi lebih mudah terpancing emosinya dan terlihat gelisah. Saat ditanya, mereka tak bisa menjelaskan sikap buruknya., ,Anak belum bisa mengungkapkan perasaannya. Hal ini karena anak belum bisa mendeskripsikan emosinya dengan baik. Tanda lainnya adalah anak kerap mengeluhkan sakit perut dan sakit kepala. Saat diperiksa dokter tak ada masalah apapun,Biasanya dokter akan menangkap 'sinyal' stres dan membicarakan hal ini dengan orangtua. Anak juga kerap bermimpi buruk, sulit tidur, kehilangan nafsu makan, menarik diri atau tak mau sekolah.,Cobalah lebih peka terhadap perubahan sikap anak. Jika dirasa sangat berbeda, tak ada salahnya untuk mengajak si kecil berkonsultasi dengan psikolog anak untuk mencari tahu penyebab dan mendapat solusi yang tepat.",https://www.liputan6.com/health/read/4058183/begini-cara-atasi-depresi-pada-anak-yang-perlu-orangtua-tahu
Hari Pencegahan Bunuh Diri Sedunia: Kenali dan Pahami Diri Sendiri,liputan6.com,2019-09-10,10:00,Health,Konsultasi Psikologi," Memaknai momen Hari Pencegahan , Sedunia yang jatuh setiap tanggal 10 September, semua orang harus meningkatkan kesadaran. Kesadaran yang dimaksud bagaimana kita mengenal dan memahami diri sendiri.,Dokter spesialis kejiwaan Dian Pitawati menyampaikan, kita harus memahami diri sendiri. Sifat dan sikap seperti apa yang kita miliki tatkala di hadapkan dengan tantangan hidup.,""Di Hari Pencegahan , Sedunia, perlu mengenali diri sendiri. Kita ini orangnya seperti apa. Cukup mampu atau enggak menghadapi tantangan hidup. Apakah kita (tipe orang) cenderung tertutup dan menarik diri. Apakah kita orang yang berjuang atau suka menghindari tantangan,"" jelas Dian melalui siaran, Kementerian Kesehatan RI, Senin (9/9/2019).,""Saat menghadapi masalah kan tipe orang hanya dua, berjuang terus atau menghindar. Kalau enggak kuat berjuang ya berhenti sebentar, nanti lanjut lagi."",Kalau menghindar terus, orang tersebut tidak terampil menghadapi masalah. Faktor penyebab , bisa yang paling sering terjadi dikarenakan depresi, cemas, gangguan mood (perasaan). Hal ini muncul dipengaruhi masalah pekerjaan juga kesulitan ekonomi., ,Ketika seseorang sadar dirinya sedang depresi, terlebih lagi muncul pikiran-pikiran untuk bunuh diri sebaiknya mendatangi tenaga ahli kesehatan. Perlu bantuan untuk menangani permasalahan tersebut.,""Dianjurkan juga ada pendampingan dari orang-orang di sekitarnya, misalnya teman, keluarga, dan kerabat. Memang enggak mudah buat orang lain menerima hal itu (adanya pikiran bunuh diri),"" lanjut Dian yang berpraktik di RSUP Fatmawati Jakarta.,""Kalau kita mendengar seseorang mulai mengenali dirinya sendiri mengarah pada bunuh diri, dia harus dibantu."",Langkah di atas merupakan pencegahan untuk menghindari orang yang bersangkutan terhadap pikiran bunuh diri.",https://www.liputan6.com/health/read/4058209/hari-pencegahan-bunuh-diri-sedunia-kenali-dan-pahami-diri-sendiri
