title,source,date,time,category,sub-category,content,url
"Situasi di Penajam Paser Utara Kembali Normal, Pengungsi Berangsur Pulang ke Rumah",merdeka.com,17 Oktober 2019,20:36,Peristiwa,-," Aktivitas warga Penajam Paser Utara (PPU), Kalimantan Timur, hari ini kembali pulih. Prajurit , dan Polri, terlihat rutin berpatroli. Bahkan, warga yang sempat mengungsi, berangsur kembali ke rumah masing-masing.,""Alhamdulillah, aktivitas kembali normal. Toko-toko sudah buka kembali,"" kata Mansyur, warga Nenang, PPU, saat dikonfirmasi merdeka.com, Kamis (17/10) malam.,Mansyur menerangkan, situasi serupa, juga tergambar pada aktivitas pelabuhan feri dan kapal motor, di Penajam, setelah sempat lumpuh disaat aksi demo massa, Rabu (16/10) kemarin.,""Kapal feri, kapal klotok (perahu motor) sudah beroperasi semua untuk penyeberangan ke Balikpapan, maupun ke Penajam. Karena di situ pusat aksi massa kemarin,"" ujar Mansyur.,""Sepanjang hari ini juga, Bapak TNI dan Polri, juga terlihat rutin patroli di jalan-jalan, memberikan rasa aman kepada warga. Imbauan dari RT dan di masjid, juga meminta agar warga dipersilakan aktivitas normal kembali, dan jangan terpancing isu-isu provokasi,"" tambah Mansyur.,Menurut Mansyur, kantor gedung PKK, memang jadi pusat pengungsian warga sementara, di tengah aksi massa kemarin. ""Jadi hari ini, ada warga yang bertahan di pengungsian karena masih was-was, ada juga yang sudah pulang. Termasuk tetangga saya,"" sebut Mansyur.,""Kalau warga yang rumahnya terbakar, juga ada yang mengungsi tempat keluarga mereka sementara waktu. Karena memang rumahnya terbakar. Tapi memang hari ini, semua sudah kembali normal,"" demikian Mansyur.,Diketahui, situasi sekitar kawasan pelabuhan penyeberangan di Penajam, Penajam Paser Utara (PPU), Kalimantan Timur, sempat mencekam, Rabu (16/10) siang. Massa yang berbekal senjata tajam, melakukan aksi pembakaran rumah.,Aksi itu, diduga dipicu kasus pengeroyokan 2 pemuda, dan menewaskan salah satunya. Dari kasus penganiayaan itu, , menetapkan 4 tersangka. Sementara, imbas dari aksi massa itu, telah menghanguskan 158 bangunan, yang sebagian besar bangunan rumah tinggal. ",https://www.merdeka.com/peristiwa/situasi-di-penajam-paser-utara-kembali-normal-pengungsi-berangsur-pulang-ke-rumah.html
Polisi Masih Dalami Motif Penculikan Disertai Pembunuhan Bangkit Maknutu,merdeka.com,17 Oktober 2019,20:36,Peristiwa,-," Motif kasus penculikan disertai dengan pembunuhan Bangkit Maknutu Dunirat, warga , hingga kini masih gelap. , pun masih memburu orang-orang yang diduga menculik warga Malang itu di ,.,Informasi yang dihimpun menyebutkan, Bangkit sapaan akrab korban, ternyata merupakan pria asal Sumenep. Namun setelah menikah, lelaki 30 tahun ini pindah dan tinggal di Jalan Asrikaton, Malang.,Kasatreskrim Polrestabes Surabaya AKBP Sudamiran mengatakan, belum banyak keterangan yang didapat dari Mei Nuriawati, istri korban. Sebab, kondisi Mei saat ini masih syok dan drop setelah mengetahui suaminya yang diculik itu dibunuh dan mayatnya dibuang.,Penculikan ini sendiri sebelumnya dilaporkan istri korban, Mei ke Polrestabes Surabaya pada Selasa (15/10) malam. Dalam laporannya, Mei mengaku suaminya yang bernama Bangkit itu dipaksa masuk ke dalam mobil Suzuki Ertiga warna silver bernopol W oleh beberapa orang pada Jumat (12/10), di depan Kantor UMC, Jalan Ahmad Yani, Surabaya, kemudian dibawa pergi.,""Istri korban saat ini tengah hamil 6 bulan, anak pertama. Korban dan istrinya menikah pada bulan April 2019,"" sebut Sudarmiran, Kamis (17/10).,Ia menambahkan, dari laporan inilah Polrestabes Surabaya langsung menerjunkan tim untuk melakukan penyelidikan. Tim yang menangani kasus tersebut adalah Unit Jatanras.,Mayat Bangkit ditemukan warga di dalam Sungai Watu Ondo, bawah Jembatan Cangar I, Dusun Jurang Kuali, Desa Sumber Brantas, Kecamatan Bumiaji, Kota Batu, sekitar pukul 10.30 Wib, Rabu (16/10).,Saat ditemukan, Bangkit masih menggunakan baju lengan pendek kotak-kotak berwarna coklat strip biru dan kaos t-shirt warna hitam dengan tulisan 'AHHA' putih bagian depan. Dia juga mengenakan celana , warna hitam. Pakaian itu diingat betul oleh Mei.,Pada tubuh Bangkit terdapat luka pada bagian dahi kiri diduga luka tusuk senjata tajam. Selain itu, kedua matanya hancur dan wajah penuh memar. Dua tangannya terikat tali warna biru ke depan.,""Benar. Awalnya kami dapat kabar penemuan sesosok mayat pria yang ditemukan di Kota Batu. Setelah diidentifikasi, ternyata adalah korban penculikan di Surabaya yang dilaporkan ke kami oleh istrinya. Saat ini tim masih bekerja di lapangan untuk mengejar pelaku,"" tandas Sudamiran. ",https://www.merdeka.com/peristiwa/polisi-masih-dalami-motif-penculikan-disertai-pembunuhan-bangkit-maknutu.html
Imam Besar Masjid Istiqlal Harap Ada Pertemuan Tokoh Agama Cegah Konflik Keagamaan,merdeka.com,17 Oktober 2019,20:31,Peristiwa,-," Imam Besar Masjid Istiqlal Nasaruddin Umar berharap Presiden Joko Widodo (,) dan Wakil Presiden , dapat masalah keagamaan dengan baik dalam pemerintahannya mendatang.,Nasaruddin khawatir apabila terjadi pembiaran terhadap gerakan radikalisme seperti yang belakangan terjadi dapat terjadi konflik keagamaan.,""Jadi perlu ada semacam sistem proteksi secara mendasar, jangan kita hanya menyelesaikan persoalan-persoalan permukaannya tapi tidak mengerti persoalan mendasarnya nah itu perlu pendalaman lebih lagi,"" kata Nasaruddin di ,, Kamis (17/11).,Nasaruddin menyarankan Presiden Jokowi segera mempertemukan para tokoh agama khususnya para ulama dan guru agama untuk duduk bersama dan membicarakan penyelesaian konflik keagamaan yang ada sekarang ini.,Nasaruddin juga menginginkan adanya peraturan tertulis untuk seluruh agama di Indonesia agar tidak ada lagi perpecahan atau permasalahan mengenai agama di Indonesia.,""Saya inginkan itu kita ada semacam koordinasi sesama pengajar agama dalam mengajarkan agama kita masing-masing jangan menyerempet untuk menjelek-jelekan agama lain. Semua agama itu diyakini benar oleh semua penganutnya tapi jangan kita mentah-mentah mengadili agama orang lain itu sesat,"" tandas dia. ",https://www.merdeka.com/peristiwa/imam-besar-masjid-istiqlal-harap-ada-pertemuan-tokoh-agama-cegah-konflik-keagamaan.html
3 Ribu Orang Meninggal Akibat Kecelakaan Selama 2019 di Jawa Tengah,merdeka.com,17 Oktober 2019,20:32,Peristiwa,-," 3.000 Orang meninggal dunia akibat kecelakaan lalu lintas selama setahun terakhir 2019 di Jawa Tengah. Jumlah tersebut terbilang tinggi dikarenakan Jawa Tengah merupakan jalur transportasi vital yang menghubungkan kota-kota besar di Pulau Jawa.,""Jateng menjadi pintu atau tumpahan kendaraan-kendaraan dari atau menuju ,, seperti halnya Jawa Barat. Jadi jalurnya bisa dikategorikan rawan,"" kata Direktur Penegakan Hukum (Dirgakum) Korlantas Polri, Brigjen Pol Kushariyanto usai mencanangkan Kampus Pelopor Keselamatan di Undip, Semarang, Kamis (17/10).,Wakapolda Jateng Brigjen Pol Ahmad Luthfi mengatakan, total ada sekitar 19.261 kasus kecelakaan terjadi di Jateng sejak 1 Januari–30 September 2019. Jumlah itu mengalami peningkatan sekitar 45 persen dibanding periode sama pada 2018 yakni 13.270 kasus.,""Dari jumlah sebanyak itu, total yang mengalami kematian 3.000-an. Kalau dirata-rata berarti setiap harinya ada 8 orang yang meninggal akibat kecelakaan. Sebulannya sekitar 200-an orang. Jumlah itu terbilang tinggi,"" ujar Luthfi.,Luthfi menambahkan, dari sekian banyak korban kecelakaan lalu lintas meninggal dunia itu mayoritas merupakan generasi milenial atau golongan usia produktif. Oleh karenanya, pihak kepolisian pun aktif dalam menggencarkan keselamatan berlalu lintas pada generasi milenial tidak terkecuali di kampus-kampus.,""Memperhatikan situasi itu, tidak ada salahnya kita menjadikan kampus sebagai pelopor keselamatan berlalu lintas dengan sasaran utama para mahasiswa yang merupakan generasi milenial. Mahasiswa jadi lebih sadar dan tertib berlalu lintas,"" tutup Ahmad Luthfi. ",https://www.merdeka.com/peristiwa/3-ribu-orang-meninggal-akibat-kecelakaan-selama-2019-di-jawa-tengah.html
Kata Menhub Budi Soal Pelarangan Terbang Pesawat Boeing 737-800 NG,merdeka.com,17 Oktober 2019,20:38,Uang,-," Menteri Perhubungan, ,, mengaku belum menerima laporan kerugian dari PT Garuda Indonesia Tbk (Persero) dan PT Sriwijaya Air terkait tidak dioperasikan atau grounded pesawat , 737-800 NG. Hanya saja, dia meyakini bakal ada kerugian dengan tidak dioperasikannya pesawat tersebut.,""Oh belum ada, belum ada laporan angka tapi tidak beroperasi pasti dia ada rugi,"" kata dia saat ditemui di ,, Kamis (17/10).,Dia juga belum bisa memastikan kapan ketiga maskapai nasional tersebut diperbolehkan kembali mengoperasikan pesawat tersebut. Sebab, keputusan itu hanya bisa didapat dari pihak Boeing. ""Sampai nanti ada rekomendasi dari Boeing,"" jelasnya.,Atas kejadian tersebut, Mantan Direktur Utama Angkasa Pura II itu juga meminta kepada seluruh maskapai penerbangan untuk melakukan pengecekan. Hal itu dilakukan guna memastikan tidak ada kerusakan di pesawat.,""Tiga pesawat grounded. Tapi kita juga memberikan suatu rekomendasi pada maskapai agar melakukan suatu cek kepada pesawat-pesawatnya,"" jelas dia.,Seperti diketahui, sebelumnya, Direktorat Jenderal Perhubungan Udara Kementerian Perhubungan menginspeksi seluruh pesawat B737 NG (Boeing 737 NG) atas laporan FAA terhadap penemuan retakan di badan pesawat jenis tersebut.,Direktur Jenderal Perhubungan Udara Kementerian Perhubungan Polana B Pramesti dalam keterangannya menjelaskan laporan FAA tersebut, yakni perihal kondisi yang berpotensi membahayakan keselamatan di mana ini dipicu oleh laporan retak yang ditemukan pada , atau semacam rangka yang membentuk badan pesawat.,Hal itu dapat mengakibatkan kegagalan , (PSE) untuk mempertahankan batas beban. ""Kondisi ini dapat mempengaruhi integritas struktural pesawat dan mengakibatkan hilangnya kontrol pesawat,"" ujar Polana.,Informasi ini diterima oleh Direktorat Jenderal Perhubungan Udara melalui laporan FAA CANIC kepada seluruh Otoritas Penerbangan Sipil Dunia (CAA), pada 27 September 2019, yang menyebutkan bahwa seluruh pesawat , 737 NG disarankan untuk diperiksa guna mengetahui tingkat kerusakan yang terjadi pada setiap pesawat B737 NG. ",https://www.merdeka.com/uang/kata-menhub-budi-soal-pelarangan-terbang-pesawat-boeing-737-800-ng.html
Sulitnya Tumbuhkan Kesadaran Pengguna Motor Agar Tak Merebut Jalur Sepeda di Ibu Kota,merdeka.com,17 Oktober 2019,20:41,Jakarta,-," Pemerintah Provinsi DKI , membuat 17 ruas jalur sepeda yang berada di jalan protokol ibu kota. Ruang khusus bagi pesepeda ini menjadi bagian dari upaya mengurangi kendaraan bermotor dan polusi udara Jakarta.,Ruang khusus bagi pesepeda ini juga bagian dari meningkatkan budaya bekerja dengan bersepeda atau bike to work. Namun, tidak semulus yang diharapkan karena minimnya pemahaman dari pengguna kendaraan bermotor. Sangat sulit menumbuhkan kesadaran pengguna kendaraan bermotor untuk tidak merebut jalur khusus sepeda.,""Masih banyak pengendara roda dua yang melintas di jalur khusus ini"" kata salah seorang pengguna sepeda, Kelvin saat ditemui merdeka.com, Kamis (17/10).,Menurutnya, pengendara roda dua masih melintas di jalur sepeda lantaran hanya menggunakan pembatas semi permanen dengan menggunakan cone.,Pantauan di kawasan Gambir, Jakarta Pusat, masih sedikit warga yang peduli terhadap jalur khusus sepeda. Padahal dia berharap sesama pengguna jalan saling menghormati.,""Memang masih ada yang mengambil jalur itu selagi macet, terutama pengendara motor"" kata Maya, pengguna sepeda.,Salah seorang pengguna sepeda, Evan juga punya harapan sama. Pengguna kendaraan bermotor tidak mengganggu jalur khusus sepeda. Dia meyakini, jika kesadaran itu telah tumbuh maka masyarakat akan beralih menggunakan sepeda.,""Pengendara sepeda jadi lebih enak dan tidak usah takut karena ada jalurnya sendiri"" singkat Evan.,Evan menyebutkan, warga di kawasan Sudirman sudah mulai peduli terhadap jalur sepeda. Didukung tindakan petugas terhadap pengendara motor yang mengambil jalur sepeda.,Contoh jalur sepeda yang sangat efektif berada di sisi Kanal Banjir Timur.,""Sebenernya sih masih efektif KBT ya karena kalau KBT hanya sarana untuk olahraga, beda sama jalur khusus sepeda di jalan raya itu upaya Pemerintah buat menggalakkan masyarakat yang mau bike to work atau melakukan aktivitas sehari-harinya,"" kata Mala di Rawamangun, Jakarta Timur.,Reporter Magang: Abyan Ghafara Andayarie ",https://www.merdeka.com/jakarta/sulitnya-tumbuhkan-kesadaran-pengguna-motor-agar-tak-merebut-jalur-sepeda-di-ibu-kota.html
Pemerintah Dinilai Terlalu Dini Putuskan Besaran Kenaikan UMP 2020,merdeka.com,17 Oktober 2019,20:47,Uang,-," Pemerintah melalui Kementerian Ketenagakerjaan (Kemnaker) menetapkan kenaikan Upah Minimum Provinsi (UMP) dan Upah Minimum Kabupaten/Kota (UMK) 2020 sebesar 8,51 persen. Hal tersebut tertuang dalam Surat Edaran (SE) Menteri Ketenagakerjaan Nomor B-m/308/HI.01.00/X/2019 tanggal 15 Oktober 2019.,Ekonom Senior INDEF, Aviliani, menilai pemerintah terlalu cepat mengeluarkan penetapan UMP. Menurutnya, pemerintah perlu mendengar masukan besaran hasil kesepakatan antara pengusaha dan buruh.,""Menurut saya arahnya pengusaha dan karyawan dulu (untuk menentukan UMP) dibanding pemerintah,"" terangnya di ,, Kamis (17/10).,Di sisi lain, lanjut Aviliani, menaikkan UMP belum tentu jadi solusi untuk meningkatkan konsumsi masyarakat. Malah bisa jadi, UMP naik justru tingkat pengeluaran semakin turun. Sebab, dikhawatirkan banyak terjadi pemutusan hubungan kerja (PHK).,Sementara, kenaikan UMP 2020 juga ditentang buruh. Ketua Konfederasi Persatuan Buruh Indonesia (KPBI) Ilham Syah menilai penetapan kenaikan UMP 2020 tidak mensejahterakan buruh. ""Menurut saya, meskipun naik tidak akan mensejahterakan,"" tuturnya.,Demikian pula Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) Said Iqbal yang menyatakan penetapan besaran UMP 2020 tidak dihitung berdasarkan survey Kebutuhan Hidup Laik (KHL) buruh.,""Revisi PP no 78 tahun 2015, khususnya pasal tentang formula kenaikan upah minimum sebagai dasar perhitungan UMP harus didahului survei KHL di pasar,"" ungkapnya. ",https://www.merdeka.com/uang/pemerintah-dinilai-terlalu-dini-putuskan-besaran-kenaikan-ump-2020.html
"Survei: Jokowi Hebat di Infrastruktur, Lemah di Kebutuhan Bahan Pokok",merdeka.com,17 Oktober 2019,21:06,Peristiwa,-," Lembaga survei Parameter Politik Indonesia merilis survei mengenai evaluasi kinerja Presiden Joko Widodo selama lima tahun ini. Dalam surveinya, Parameter Politik Indonesia menemukan bahwa mayoritas publik menganggap Presiden , hebat dalam kebijakan pembangunan infrastruktur.,""Jadi ini faktor-faktor keberhasilan ,, pertama itu infrastruktur, kemudian bansos, dana desa dan PKH. Program kesehatan seperti Indonesia sehat dan Indonesia pintar (kartu),"" beber Direktur Eksekutif Parameter Politik Indonesia Adi Prayitno di kawasan Pancoran, ,, Kamis (15/10).,Kata Adi, secara rata-rata faktor yang dianggap sebagai kesuksesan , hanya sekitar empat sampai lima poin. Salah satunya yakni dalam bidang ekonomi dengan berkurangnya ,.,""Bidang pendidikan, kesehatan dan seterusnya,"" ungkap Adi.,Sebaliknya, dalam hal harga kebutuhan bahan pokok, kata Adi , dianggap tidak maksimal. Publik menganggap banyak kebutuhan bahan pokok semakin meningkat.,"", dan pengangguran, bantuan sosial yang tidak merata karena sering kali bantuan itu tidak tepat sasaran,"" beber Adi.,Adi menjelaskan, populasi survei adalah warga negara Indonesia yang telah memiliki hak pilih sesuai undang-undang yang berlaku.,Sampel sebanyak 1.000 responden. Diambil dengan menggunakan metode stratified multistage random sampling. Dengan margin of error sebesar kurang lebih 3,1 persen pada tingkat kepercayaan 95 persen.,Survei ini dilakukan pada 5 hingga 12 Oktober lalu. Ia menyebutkan bahwa pengumpulan data dilakukan dengan metode face to face interview atau bertatap muka menggunakan kuesioner yang dilakukan oleh surveyor terlatih.,Quality control dilakukan mulai tahap pemilihan dan pelatihan SDM yang berkualitas hingga Spot Check sebanyak 20 persen data.,Reporter: Yopi M,Sumber: Liputan6.com ",https://www.merdeka.com/peristiwa/survei-jokowi-hebat-di-infrastruktur-lemah-di-kebutuhan-bahan-pokok.html
"Tersangka Dugaan Penganiayaan Ninoy Karundeng Bertambah 1, Total 14 Orang",merdeka.com,11 Oktober 2019,19:18,Peristiwa,-," Polda Metro Jaya menetapkan satu tersangka baru dalam kasus dugaan penganiayaan relawan ,, Ninoy Karundeng. Dengan itu, 14 orang tersangka ditetapkan dalam kasus Ninoy.,""Kita sudah tetapkan 14 tersangka, yang satu tersangka tidak kita tahan (karena sakit),"" kata Kabid Humas Polda Metro Jaya Kombes Argo Yuwono di Polda Metro Jaya, ,, Jumat (11/10).,Argo tidak menyebut identitas dan peran satu orang yang baru ditetapkan tersangka tersebut. Dirinya akan mengecek lebih lanjut.,""Saya cek dulu,"" singkat Argo Yuwono.,Sebelumnya, , telah menetapkan 13 tersangka terkait dugaan penganiayaan terhadap Ninoy Karundeng. Kasus Ninoy berawal dari sekelompok orang yang berunjuk rasa di Pejompongan, Jakarta Pusat pada Senin (30/9), membawa paksa Ninoy Karundeng yang sedang mendokumentasikan pendemo terkena gas air mata.,Massa yang berkelompok itu merampas telepon seluler dan membawa paksa Ninoy ke sebuah tempat di sekitar lokasi kejadian. Pelaku juga memeriksa foto dan dokumentasi telepon seluler Ninoy, bahkan diduga menganiaya relawan Jokowi tersebut.,Usai mengalami penganiayaan, para pelaku memulangkan Ninoy pada Selasa (1/10), selanjutnya korban melaporkan penganiayaan yang dialaminya ke Polda Metro Jaya. ",https://www.merdeka.com/peristiwa/tersangka-dugaan-penganiayaan-ninoy-karundeng-bertambah-1-total-14-orang.html
Warga Palangka Raya Teriak Harga Elpiji 3 Kg Tembus Rp38.000 per Tabung,merdeka.com,11 Oktober 2019,19:48,Uang,-," Sejumlah warga di Kota Palangka Raya, Kalimantan Tengah mengeluhkan tingginya harga gas elpiji bersubsidi yang saat ini menembus Rp38.000 per tabung.,""Harga gas elpiji 3 Kg bersubsidi habis Lebaran lalu sempat turun di harga Rp28.000 per tabung. Saat ini naik lagi mencapai Rp38.000 di tingkat pengecer,"" kata Maryati, warga Palangka Raya seperti dikutip dari Antara, Jumat (11/10).,Ibu rumah tangga ini pun mengaku bingung dengan tidak stabilnya harga jual gas bersubsidi di wilayah 'Kota Cantik' ibu kota Provinsi Kalimantan Tengah itu.,""Saya tak habis pikir kenapa harga gas bersubsidi tetap tinggi. Padahal harga eceran tertinggi untuk tingkat pangkalan sendiri di bawah Rp20.000 per tabung,"" katanya.,Dia pun berharap kinerja pemerintah kota pada akhir 2019 semakin membaik yang salah satunya dibuktikan dengan mampunya menstabilkan harga gas yang diperuntukkan bagi warga kurang mampu itu.,Karliansyah warga Palangka Raya lainnya juga mengatakan hal yang serupa bahwa harga gas elpiji di tingkat pengecer jauh dari harga eceran tertinggi yang dikeluarkan pemerintah.,""Memang di pangkalan masih ada yang jual sesuai HET. Namun itu pun kami harus mengantre cukup panjang dan menggunakan foto kopi KTP yang berlaku satu tabung gas,"" katanya.,Untuk itu, guna menghindari antrean dia mengaku terpaksa membeli gas elpiji di pengecer meski harus diperoleh dengan harga yang jauh lebih mahal.,""Memang untuk di pengecer banyak stoknya. Kita tidak sulit mendapatkan gas. Namun yang harus menjadi perhatian pemerintah ialah harganya yang sangat menguras kantong,"" katanya.,Sebelumnya, Ketua DPRD Kota Palangka Raya, Sigit K Yunianto mendesak pemerintah kota serius mencari penyebab masih tingginya harga gas elpiji 3 kg.,""Pemerintah harus hadir di tengah kondisi warganya termasuk harus mampu menstabilkan harga gas elpiji di tingkat pengecer,"" katanya. ",https://www.merdeka.com/uang/warga-palangka-raya-teriak-harga-elpiji-3-kg-tembus-rp-38000-per-tabung.html
