title,source,date,time,category,sub-category,content,url
"Pendukung Jokowi Ngaku Diculik di Masjid, Ini Bantahan Pihak DKM",posmetro-medan.com,"Oktober 07, 2019",-,nasional,-,",,,Pengurus Dewan Kemakmuran Masjid (DKM) Al-Falaah meminta Ninoy Karundeng untuk duduk bersama membuktikan pernyataannya saat melaporkan ke polisi bahwa telah diculik dan dianiaya pada hari terjadinya kerusuhan demonstrasi di kawasan DPR RI, Senin, 30 September 2019.,,Dua pengurus DKM Al-Falaah, Iskandar dan Sasmito, mengungkapkan bahwa pada hari itu, Ninoy Karundeng memang diamuk masa usai memotret kondisi demonstran yang sedang memadati jalanan depan masjid yang berlokasi di Pejompongan, Tanah Abang, Jakarta Pusat tersebut.,,Namun, Sasmito menegaskan bahwa lebam dan bonyoknya muka Ninoy terjadi karena amukan masa. Khawatir amukan bisa berujung pada kematian, pengurus masjid, katan Sasmita, langsung berusaha memasukkan Ninoy ke ruangan bawah masjid supaya bisa di urus paramedis yang saat itu sedang menggunakan ruangan tersebut.,,""Sebenarnya gini, kalau wawancara sepihak gini menurut saya kurang adil. Kalau mau bawa Ninoy kesini kita obrolkan di sini itu lebih mediasi. Kan ada yang nulis ini disekap, diculik, mana yang namanya disekap, diculik,"" tegas dia saat ditemui di Masjid Al-Falaah, Sabtu, 5 Oktober 2019.,,Sementara itu, Iskandar mengatakan, usai diamankan dan di rawat, saat pulang Ninoy diberikan baju ganti untuk pulang. Kepulangannya pun diantar oleh demonstran berikut dengan motor yang dia gunakan saat ke lokasi juga langsung di antar ke rumahnya.,,""Contohnya waktu dia sudah pulang dia kan dikasih baju, salam-salaman dia, minta terima kasih. Coba, motor dan orangnya dipesenin Go Box sampai rumahnya. Sampai dikawal juga sama motor supaya aman,"" tutur Iskandar menimpali.,,Keduanya menyesali kejadiaan itu disebut-sebut sebagai tindakan penculikan dan penganiayaan. Padahal kata dia, saat itu pihak DKM bersama tim medis berusaha menyelamatkannya dari amukan massa yang tidak terima di foto saat istirahat akibat cidera maupun sesak gas air mata yang ditembakkan polisi.,,""Ketahuan lagi orang Jokowi. Ya sudah beringas massa. Jadi awalnya itu enggak ada apa-apa, aman disini aja. Disini cuman membantu bagi mereka yang cidera berat dan butuh istirahat. Makanya, kami minta tolong diluruskan agar masjid kami tak menjadi kambing hitam dari persoalan ini,"" ujar Sasmito.,,Terkait video yang beredar, Iskandar dan Sasmito sama-sama tidak mengetahui waktu pembuatannya dan orang yang merekam. Yang mereka bisa pastikan, hari itu Ninoy hanya semalam diamankan di ruangan bawah masjid bersama dengan para demonstran lain yang menjadi korban kerusuhan demonstrasi.,,""Yang saya sesalkan itu kenapa dia dikatakan diculik, disekap. Kalau diculik itu kita bawa di satu tempat, terus kita kunci itu namanya diculik dan disekap. Wong ini duduk disitu ada dokter ada tim medis, kan penuh orang disini,"" tutur Sasmito. [vvn],,,loading...",https://www.posmetro-medan.com/2019/10/pendukung-jokowi-ngaku-diculik-di.html
"Hari Ketiga, Final Gala Catur Emas Penuh Kejutan",posmetro-medan.com,"Oktober 11, 2019",-,Medan Bung,-,",,,,,loading...",https://www.posmetro-medan.com/2019/10/hari-ketiga-final-gala-catur-emas-penuh.html
Warning dari Polda Sumut : Penjual Minyak Eceran Bisa Dipidana dan Denda Miliaran Rupiah,posmetro-medan.com,"Oktober 13, 2019",-,Berita Sumut,-,",,,Polda Sumut belum memberikan sanksi kepada para penjual minyak eceran yang terjual bebas di masyarakat.,,Seperti halnya yang tertuang dalam Pasal 53 UU No. 22 tahun 2001 dijelaskan, barang siapa melakukan pengolahan Migas tanpa izin diancam pidana maksimal tiga tahun penjara dengan denda maksimal Rp 30 miliar.,,""Bentuk pasal ini belum kita terapkan di masyarakat,"" kata Kapolda Sumut Irjen Pol Agus Andrianto, Minggu (13/1/2019).,,Pasalnya, kata orang nomor satu di Polda Sumut ini, pihak Pertamina sampai saat ini belum pernah melakukan koordinasi ke Polda Sumut.,,,""Kita mengetahui bahwa peraturan seperti itu ada.,,Namun belum ada masukan dari pihak Pertamina terkait hal yang demikian,""ujarnya.,,Mantan Wakapolda Sumut ini juga membeberkan seharusnya pihak Pertamina kalau sudah mengetahui banyaknya penjual minyak eceran harus lebih giat lagi menuntaskannya.,,,""Kebiasaan mereka buang badan.,,Bukannya mereka harusnya tau di mana rumah mereka yang bocor?"" kata pria dengan bintang dua dipundaknya ini.,,Sejauh ini, masih dikatakan Agus, pihaknya (Polda Sumut) belum melakukan tindaklanjut terkait penjual minyak eceran,,,loading...",https://www.posmetro-medan.com/2019/10/warning-dari-polda-sumut-penjual-minyak.html
"Moeldoko Ngaku Tak Bisa Tertibkan Buzzer, Denny Siregar Cs Malah Disebut Rugikan Jokowi",posmetro-medan.com,"Oktober 04, 2019",-,nasional,-,",,,Kepala Staf Kepresidenan Moeldoko mengatakan aktivitas para buzzer atau pendengung pendukung Presiden Joko Widodo saat ini justru merugikan presiden terpilih periode 2019-2024 itu. Ia mengimbau para pendukung Jokowi tersebut menyebarkan informasi yang positif di media sosial.,,""Ya kita melihat dari emosi yang terbangun, emosi yang terbangun dari kondisi yang tercipta itu merugikan. Jadi ya yang perlu dibangun emosi positif lah,"" kata Moeldoko di Jakarta, Jumat (4/9).,,Moeldoko merespons tentang aktivitas para pendukung Jokowi beberapa hari belakangan ini. Dua kasus dia soroti yakni terkait penyebaran informasi ambulans DKI Jakarta yang disebut membawa batu dan bensin saat aksi massa di sekitar Gedung MPR/DPR.,,Lalu kasus tangkapan layar grup WhatsApp pelajar STM, yang ternyata nomor telepon di grup itu diduga milik anggota Polri.,,Kedua informasi itu dianggap sejumlah pihak menyesatkan alias hoaks.,,Berdasarkan analisa DroneEmprit terkait mobil ambulans DKI Jakarta membawa batu dan bensin, diketahui bahwa pihak pertama yang menyebarkan informasi itu adalah akun-akun yang dikenal kerap 'membela' Jokowi ataupun pemerintah.,,Mereka antara lain, @OneMurthada, @Paltiwest, @digeeembok, @Dennysiregar7, dan akhirnya juga diunggah oleh akun @TMCPoldaMetro. Setelah ramai 'dilawan', akhirnya Polda Metro mengakui keliru menyebut ambulans DKI bawa batu dan bensin.,,Sementara itu, sejumlah akun yang mengunggah tangkapan layar grup WhatsApp anak STM antara lain, @TheREAL_Abi, dan @OneMurtadha. Namun akun-akun tersebut sudah menghapus unggahannya setelah para pengguna Twitter lainnya mengkritisi isi tangkap layar itu.,,Moeldoko menyatakan kehadiran buzzer awalnya untuk memperjuangkan dan menjaga marwah pemimpinnya. Namun, bagi Moeldoko, dalam kondisi Pemilu sudah selesai, buzzer sudah tak diperlukan lagi.,,Mantan panglima TNI itu menyebut yang diperlukan saat ini adalah dukungan politik yang lebih membangun, bukan dukungan yang malah bersifat destruktif.,,""Karena kalau buzzer-buzzer ini selalu melemparkan kata-kata yang tidak enak didengar, tidak enak di hati. Nah itu lah destruktif dan itu sudah enggak perlu lah. Untuk apa itu?"" tuturnya.,,Moeldoko berharap para buzzer menurunkan semangat yang berlebihan dalam mendukung seorang tokoh idolanya, dalam hal ini Jokowi. Ia juga tak ingin buzzer yang mendukung Jokowi ini justru menyebarkan kebencian.,,Pensiunan jenderal bintang empat itu juga telah mengimbau para buzzer untuk menggunakan bahasa yang nyaman dan tak menyakiti pihak lain. Ia mengaku sudah menyampaikan langsung kepada influencer, tokoh-tokoh relawan dan tokoh-tokoh yang lainnya.,,,Di sisi lain, Moeldoko mengatakan bahwa pihaknya tak bisa menertibkan para buzzer tersebut. Menurutnya, para buzzer itu tak memiliki komando dan bergerak dengan cara masing-masing.,,""Saya pikir itu ya karena memang secara administrasi juga kita tidak membuat itu. Kita tidak membuat struktur sama sekali, enggak ada. Tapi itu berkembang masing-masing,"" katanya. (fra/wis),,,loading...",https://www.posmetro-medan.com/2019/10/moeldoko-ngaku-tak-bisa-tertibkan.html
"Gubsu Evakuasi Warga Tapanuli Utara di Papua, ""Seluruhnya Sehat dan Tidak Mengalami Kekerasan""",posmetro-medan.com,"Oktober 01, 2019",-,Berita Sumut,-,",,,Pemerintah Provinsi Sumatera Utara, bergerak untuk melakukan evakuasi warganya yang berada di Wamena, Papua. Mereka saat ini mengungsi di markas Resimen Induk Kodam atau Rindam XVII/Cenderawasih di Danau Sentani.,,Gubernur Sumut, Edy Rahmayadi mengatakan, ada tiga warga asal Kabupaten Tapanuli Utara (Taput), Sumut, yang bekerja di Wamena. Seluruhnya, dalam sehat dan tidak mengalami kekerasan dampak dari konflik di Wamena tersebut.,,""Sekarang sudah kami angkat (evakuasi) dan kami bawa kami tempatkan di Rindam di kawasan Danau Sentani,"" sebut Edy kepada wartawan di Medan, Selasa 1 Oktober 2019.,,Edy mengungkapkan, Pemprov Sumut terus melakukan koordinasi dengan petugas yang ada di Wamena, terkait keberadaan warga dari Sumatera Utara.,,,""Yang lain sedang kita koordinasikan dan besok kita rapat. Yang mana, mau kami buat langkah untuk memindahkan. Evakuasi orang itu tak mudah. Kalau hanya bantuan sudah kita siapkan, data sudah ada. Baru tiga orang dari Taput,"" tutur Edy.,,Mantan Pangkostrad itu menjelaskan kondisi mereka terus dipantau. Kemudian, akan menjadi pembahasan pihak Pemprov Sumut, besok untuk menyikap perkembangan lainnya.,,""Itu kan harus dikomunikasikan, kalau dibawa kemari mau di kemana kan, kerja apa dia. Ada anaknya ke mana sekolahnya. Tidak segampang itu. Banyak hal yang dipikirkan,"" tutur eks Pangdam I Bukit Barisan itu. (asp),,,loading...",https://www.posmetro-medan.com/2019/10/gubsu-evakuasi-warga-tapanuli-utara-di.html
"Dianggap Rasis, Google Translate Minta Maaf ke Rakyat Aceh",posmetro-medan.com,"Oktober 16, 2019",-,Berita Viral,-,",,,Google mengungkapkan bahwa ada kesalahan terjemahan pada layanan Google Translate miliknya. Hal tersebut diungkapkna Google setelah melihat surat protes yang dilayangkan Haekal Afifa asal Aceh.,,Ia menemukan beberapa unsur diskiriminasi terhadap suku Aceh dan Melayu di Google Translate.,,“Kami telah menyadari bahwa ada kesalahan terjemahan di Google Translate dan kami meminta maaf kepada siapa saja yang mungkin merasa tidak nyaman oleh terjemahan ini,” kata Feliciana Wienathan, Communication Manager Google Indonesia kepada Okezone, Rabu 16 Oktober 2019.,,Feliciana juga mengungkapkan bahwa pihaknya saat ini sedang meneliti hal ini dan mengerjakan perbaikan segera.,,Sebelumnya, Haekal Afifa bersama Forum Masyarakat Melayu dan Aceh menemukan adanya tindak diskriminatif terhadap suku Aceh pada layanan Google Translate.,,Dari surat tersebut disebutkan bahwa sejumlah pengertian dalam google translate telah merendakan suku Aceh dan Melayu. Bahkan beberapa frasa yang mengandung Aceh dan Melayu diterjemahkan menjadi umpatan. Seperti frasa ‘anak aceh’ dari bahasa Jawa dan bahasa Melayu jika diterjemahkan ke bahasa Inggris menjadi ‘son of a bitch’ atau ‘dasar bajingan’.,,“Saya diberi tahu oleh teman-teman Melayu Medan sekitar dua minggu yang lalu. Kita sudah mencoba track apakah ada kegagalan sistem atau dari sistem algoritmnya. Tapi ketika sedang track kita tidak menemukan menurut kita kalau itu memang sistem. Kita melihat itu ada unsur kesengajaan,” kata Haekal kepada Okezone, Rabu (16/10/2019).,,Lebih lanjut dia juga mengungkapkan bahwa pihaknya tahu bahwa Google Translate memang terbuka, yang artinya dapat diisi oleh kontibutor dan volunteer.,,“Masalahnya kan kita tidak tahu ini siapa. Sehingga kita melalukan protesnya ke Google. Berbeda dengan produk lauyanana mereka seperti search engine , disana kan siapa saja bisa meng-upload dan kita tahu itu siapa. Sehingga kita bisa protes ke website atau siapa yang melakukan diskriminasi,” jelas dia.,,Haekal berharap pihak Google akan memberikan jawaban atas kasus tersebut.,,“Kalau ada pihak komunitas yang menginput mohon ditindak dan jangan diberi ruang untuk mereka, kepada siapapun tidak hanya orang Aceh atau Melayu. Kalau ini dibiarkan dengan kondisi masyarakat Indonesia yang tidak terlalu paham teknologi. Takutnya nanti bias, apalagi pasca Papua kemarin,” ungkap dia.,,“Kalau tetap dibiarkan seperti ini, Google seperti memberi ruang bisa berpotensi memcahkan. dan kita tidak mau,” imbuh Haekal.,loading...",https://www.posmetro-medan.com/2019/10/dianggap-rasis-google-translate-minta.html
Final Gala Catur Emas Diramaikan 3 Master Internasional,posmetro-medan.com,"Oktober 08, 2019",-,Medan Bung,-,",,,,Setelah melewati babak penyisihan di Lubuk Pakam, Pematang Siantar, Rantau Prapat, Sibolga dan Kabanjahe, ajang Gala Catur Emas (GCE) 2019 akhirnya memasuki babak final di Medan pada tanggal 9 s/d 13 Oktober 2019 di Garuda Plaza Hotel Medan.,,Regional Manager I PT Wismilak Tbk, Joko Sugiyanto selaku pihak penyelenggara bersama Pengda Percasi Sumut menyebutkan, pada babak final yang dimulai Rabu (9/10) pagi pukul 9 WIB akan diikuti 72 peserta, terdiri 45 finalis dari hasil seleksi di kelima kota di Sumut tersebut di atas melalui 9 babak Swiss Master.,,,Selanjutnya, 27 peserta Master dari 9 propinsi di Indonesia yakni DKI Jakarta, Jabar, Banten, Jatim, Aceh, Riau, Sumbar, Sumut dan Sulawesi Barat.,,,""Final Gala Catur Emas 2019 ini juga akan diramaikan oleh kehadiran tiga Master Internasional (MI) Dede Lioe, MI Anjas Novita dan FIDE Master Pitra Andika,"" ujar Joko.,,,Joko menjelaskan, pertandingan final akan memakai dua babak setiap hari yaitu babak pertama mulai jam 9 WIB sampai 12 WIB dan babak kedua jam 14 WIB sampai 17 WIB.  Grand final pada hari Senin (13/10) pertandingan satu babak saja pada jam 9-12 WIB dilanjutkan dengan makan siang, pengumuman dan penyerahan hadiah serta acara penutupan.,,Sebelumnya, pada babak penyisihan di Kabanjahe pekan lalu, Juri berhasil memilih 9 finalis yaitu Antoni Bangun,  Osaka Hendra Ginting,  Marojahan Manurung, Piranda Girsang, Rukunta,  Ludin Girsang,  Cipta Sembiring,  Rehpulungna Sinulingga dan Sadarta Tarigan.,,Sebagaimana diberitakan sebelumnya, total hadiah yang disiapkan panitia penyelenggara yatu Galan Kretek sebesar Rp 65 juta. (ril/ali),,,,,loading...",https://www.posmetro-medan.com/2019/10/final-gala-catur-emas-diramaikan-3.html
"Anggota KPK Hampir Tewas saat Kejar Anak Buah Eldin, Ini Kronologinya...",posmetro-medan.com,"Oktober 16, 2019",-,Berita Utama,-,",,,Ada cerita lain di balik operasi tangkap tangan (OTT) yang dilakukan Komisi Pemberantasan Korupsi (KPK). Dalam OTT yang terjadi Selasa malam (15/10) di rumah Kepala Dinas PU, dua orang petugas lembaga antirasuah nyaris celaka.,,Kejadian bermula saat tim KPK mendatangi kediaman Kepala Dinas PU sekitar pukul 21.25 WIB. Kala itu terpantau sebuah mobil Avanza silver yang diduga dikendarai oleh Staf protokol Walikota, AND. Merasa diikuti, AND terus melajukan mobilnya dengan kencang di salah satu ruas jalan di Kota Medan.,,""Sampai akhirnya dalam posisi yang sudah diapit oleh tim, mobil berhenti, namun AND tidak turun,"" jelas Jurubicara KPK, Febri Diansyah di Gedung KPK, Jakarta Selatan, Rabu (16/10).,,,Tim kemudian menghampiri mobil tersebut dan menunjukkan identitas KPK.,,""Akan tetapi, pengemudi (AND) justru memundurkan mobil dan memacu kecepatan hingga hampir menabrak tim KPK. Dua orang tim selamat karena langsung meloncat untuk menghindari kecelakaan,"" tegasnya.,,Hingga saat ini Tim KPK masih terus melakukan pencarian keberadaan AND lantaran diduga menerima uang sebesar Rp 50 juta dari Kepala Dinas yang akan diperuntukkan pada Walikota.,,""Kepada saudara AND agar segera menyerahkan diri dan tidak berupaya menghindar dari petugas,"" pungkasnya.,,Dalam OTT kali ini, KPK mengamankan tujuh orang, di antaranya Walikota Medan, Dzulmi Eldin; Kadis PU; Protokoler; dan ajudan Walikota, termasuk dari pihak swasta. (rmol),loading...",https://www.posmetro-medan.com/2019/10/anggota-kpk-hampir-mati-saat-kejar-anak.html
Gubernur Sumbar : Kita Harus Bantu Pulangkan Seluruh Orang Minang Dari Papua,posmetro-medan.com,"September 28, 2019",-,nasional,-,",,,Gubernur Sumatera Barat Irwan Prayitno menyerukan agar masyarakat provinsi itu di kampung halaman maupun yang tersebar di seluruh daerah di Indonesia untuk ikut membantu kepulangan perantau dari Wamena, Jayawijaya, Papua.,,""Aparatur Sipil Negara (ASN) Pemprov Sumbar sudah mulai pengumpulan bantuan. Diharapkan ASN di kabupaten dan kota juga mengikuti. Masyarakat di kampung dan di rantau juga bisa mengirimkan bantuan,"" katanya di Padang, Sabtu, 28 September 2019.,,Kepedulian semua pihak sangat diharapkan karena biaya pemulangan dari perantau Minang itu cukup besar. Berdasarkan informasi dari Ketua Ikatan Keluarga Minang (IKM) Papua, Zulhendri Sikumbang, sementara ini ada sekitar 327 kepala keluarga perantau di Wamena yang ingin pulang.,,Dengan estimasi tiga orang per keluarga, ada 900 orang lebih yang harus dibantu kepulangannya. Harga tiket pesawat dari Papua-Padang diperkirakan Rp 5 juta per orang. Jadi setidaknya butuh Rp 4,5 miliar anggaran untuk membantu pemulangan perantau itu.,,Irwan mengatakan Pemprov Sumbar sudah membuka rekening khusus untuk membantu perantau di Wamena tersebut. Siapapun yang bersedia membantu bisa mengirimkan bantuan ke rekening Bank Nagari 2101.0210.07340-3 atas nama Sumbar Peduli Sesama.,,Nasib perantau Minang di Wamena saat ini, katanya, masih simpang siur. Informasi terakhir sebagian besar termasuk wanita dan anak-anak masih bertahan di tenda-tenda pengungsian.,,Untuk memastikan kondisinya Wakil Gubernur Sumbar Nasrul Abit bersama sejumlah perwakilan OPD langsung diutus ke Papua untuk memastikan hal itu. Rombongan itu juga membawa sedikit bantuan yang sempat terkumpul sebelum keberangkatan.,,""Dari hasil pertemuan nanti diharapkan akan didapat informasi pasti kondisi dan berapa orang warga Sumbar di sana yang ingin pulang namun tidak punya biaya lagi,"" katanya.,,Sebelumnya kerusuhan di Wamena mengakibatkan 28 orang tewas. Sepuluh diantaranya perantau Minang yang berasal dari Pesisir Selatan, Sumatera Barat.,,Delapan dari sepuluh jenazah itu sudah dipulangkan dan dikuburkan di kampung halaman. Namun, kondisi perantau di Wamena masih simpang siur. Banyak informasi tidak jelas menyebar melalui pesan WA dan media sosial.,,,loading...",https://www.posmetro-medan.com/2019/09/gubernur-sumbar-kita-harus-bantu.html
"5 Ambulance DKI Disebut Bawa Batu dan Bensin, Ini Jawaban Elegan Anies, Postingan Polda Metro Langsung Dihapus",posmetro-medan.com,"September 26, 2019",-,Berita Utama,-,",,,Gubernur DKI Jakarta Anies Baswedan membenarkan satu unit mobil ambulans DKI ikut ditahan oleh Polda Metro Jaya saat kerusuhan usai demo di DPR.,,,""Terkait ambulans ada lima ambulans, empat milik PMI dan satu milik pemprov sedang diproses di Polda Metro Jaya,"" kata Anies di Balai Kota, Jakarta Pusat, Kamis 26 September 2019.,,Selain ambulans, kata Anies, tiga petugas ambulans yang terdiri dari dokter, paramedis dan sopir ikut diperiksa oleh kepolisian saat ini.,,Akun Twitter TMC Polda Metro Jaya sebelumnya mengunggah sebuah video yang berisi rekaman pasukan Brimob menghentikan beberapa unit ambulans di Pejompongan, Jakarta Pusat. Salah satunya bertuliskan Puskesmas Kecamatan Pademangan.,,,Dalam video tersebut, anggota Brimob menyebutkan bahwa ambulance itu membawa batu untuk perusuh.,,""Polri mengamankan 5 kendaraan ambulan Pemprov DKI Jakarta yang digunakan untuk mengangkut batu dan bensin yang diduga untuk molotov di Pejompongan,"" tulis akun itu. Saat ini, cuitan soal ambulans itu sudah dihapus.,,,Anies meminta seluruh pihak untuk menunggu keterangan resmi polisi terkait dugaan ambulans tersebut mengangkut batu untuk para perusuh. Ia mengimbau masyarakat untuk tidak menyimpulkan terburu-buru terkait kasus tersebut,,Ia pun beryakinan para petugas ambulans di lapangan sudah bekerja sesuai dengan standar prosedur berlaku. Selain itu, dia yakin para petugas tersebut sudah berpengalaman di lapangan.,,Menurut Anies, pemerintah mengerahkan 40 ambulans DKI untuk memberikan pelayanan medis dalam aksi demo di DPR. Ia menekankan layanan medis tersebut wajib diberikan kepada siapa saja yang membutuhkan, baik masyarakat atau kepolisian. (tmp),loading...",https://www.posmetro-medan.com/2019/09/5-ambulance-dki-disebut-bawa-batu-dan.html
