title,label,label_score
kait mayat bayi enas tangerang pria tangkap polisi,non-clickbait,1
uang rp 16 raib parkir kantor gubernur sumut honor tapd,non-clickbait,1
muncul istana tengah rekonsiliasi rusuh papua,non-clickbait,1
mayat ladang tebu malang begal bunuh remaja palak,non-clickbait,1
jenguk bj habibie ketua dewan pers nuh proses positif bagus,non-clickbait,1
pria depresi bakar mobil buang,non-clickbait,1
kpk cegah ketua fraksi golkar melchias mekeng negeri,non-clickbait,1
detik detik kendara alami celaka untun cipularang,clickbait,0
selidik ular buang asrama papua polisi ganjal akses,non-clickbait,1
kronologi barista tikam siswi smk bandung cinta tolak,non-clickbait,1
respons jk kpk sp3 disalahgunakan,non-clickbait,1
luas jabar tantang sintang siap generasi emas,clickbait,0
gadai sk wajar dprd surabaya bank lirik,non-clickbait,1
karyawan pabrik boneka racun polisi sita sayur nangka,non-clickbait,1
gubernur edy uang miliar milik pemprov hilang,non-clickbait,1
gilir alumni unnes seru tolak revisi uu kpk,non-clickbait,1
gadai sk anggota dprd jabar terima kredit rp 1 miliar,non-clickbait,1
sangka eks dirut petral duga terima suap usd 29 juta,non-clickbait,1
jaksa duit rp 25 juta kivlan zen modal mata wiranto luhut,non-clickbait,1
pilih capim kpk cacat yuridis saran samad dpr,clickbait,0
adik hoax habibie tinggal mbok gitu iseng,non-clickbait,1
jk bicara kpk sp3 contoh rj lino,non-clickbait,1
tidur siang 1 2 minggu kurang serang jantung,non-clickbait,1
detik detik cekam ampo rumah makan gratis duafa bogor,clickbait,0
rawat intensif rspad bj habibie salat baring,non-clickbait,1
cerita warga jepara mandi hari akibat kering,non-clickbait,1
jokowi terbang aceh wamena jauh london istanbul,non-clickbait,1
ganjil genap anies guna angkut umum capai rekor,non-clickbait,1
video porno pasang dewasa geger sumedang,non-clickbait,1
jenguk bj habibie anies moga allah turun mukjizat,non-clickbait,1
kemudi langgar 2 ganjil genap jaksel,non-clickbait,1
suasana antre ngalap berkat buka luwur sunan kudus,non-clickbait,1
curhatan korban bully pansel kpk komisi iii,non-clickbait,1
cerita ngeri bocah bogor bunuh sodomi,non-clickbait,1
hindar razia wanita duga psk makassar sembunyi selokan,non-clickbait,1
asrama mahasiswa papua lempar karung isi ular polisi hoaks,non-clickbait,1
edar isu habibie tinggal keluarga hoax,non-clickbait,1
anggota dprd banten gadai sk komisi ii dpr tutup utang kampanye,clickbait,0
komisi iii dpr revisi uu kpk barang surpres jokowi,non-clickbait,1
adu tetap sangka veronica koman komnas ham,clickbait,0
hasil mediasi pt ka warga blitar lintas bidang portal,non-clickbait,1
korban cium pipi selfie tolak damai sangka hukum,non-clickbait,1
viral video korban celaka maut nganjuk bikin video tabrak,clickbait,0
kpk tolak revisi uu romli analogi servis mobil,non-clickbait,1
usaha usaha startup jerman raih talenta baik,non-clickbait,1
kerja butuh tambang australia otomatisasi marak,clickbait,0
kemarau warga bandung barat mandi jenazah pakai 5 galon air,non-clickbait,1
acara kivlan zen jalan sidang tunggu tunggu,clickbait,0
banyuwangi luncur kuliner pintar dagang pakai kompor induksi,non-clickbait,1
opsi pdam surabaya 60 ribu langgan nikmat air,clickbait,0
alas anggota dprd jabar gadai sk utang kampanye beli rumah,non-clickbait,1
remaja asah alami buta ngaku sering main game online,non-clickbait,1
hantu nikmat imajinasi,non-clickbait,1
tuduh hamil perempuan muda kades booking,clickbait,0
anggota komisi iii dpr kriteria nilai capim kpk,non-clickbait,1
bakar landa lereng gunung merbabu,non-clickbait,1
tum fpi bingung panggil makar 17 april polisi,clickbait,0
bunuh begal malak remaja malang jaga hormat pacar,non-clickbait,1
ormas garbi transformasi,non-clickbait,1
kendala pemprov jatim tertib tambang pasir sungai brantas,non-clickbait,1
harap sri mulyani komarudin hidayat rektor ui 2019 2024,clickbait,0
celaka maut lampung tewas 8,clickbait,0
lsm safenet ruu kks bikin bssn lembaga superbody,clickbait,0
tutup usia profesor begawan hukum ruu kuhp sah,non-clickbait,1
viral pasang abg depok buat mesum kontra gerebek polisi,clickbait,0
menhan laku baco anggota tni papua nyaru pakai baju sma,non-clickbait,1
1 duga teroris bekas asal cianjur warga kaget,non-clickbait,1
siswa pedagogi climate strike,non-clickbait,1
prabowo singgung angka stunting indonesia tinggi what is wrong,clickbait,0
19 titik rekah tanah ponorogo keluar api,non-clickbait,1
unggas jalan jalan tetangga kudus cekik,non-clickbait,1
damba udara bersih,non-clickbait,1
enas 15 keluarga tewas serang arab saudi yaman,clickbait,0
pasal kriminalisasi muncul 75 ribu tukang gigi ancam nganggur,non-clickbait,1
prabowo adil salah anak anak turun jalan,non-clickbait,1
hadiah nobel alternatif greta thunberg,non-clickbait,1
demo mahasiswa tunggang,clickbait,0
viral api muncul tanah ponorogo,clickbait,0
pasu asmaul husna polwan dingin tensi demo surabaya,clickbait,0
belah batu bensin ambulans pemprov dki aman polisi,clickbait,0
viral poster ajar smk sidoarjo ajak demo polisi hoaks,non-clickbait,1
pospol tomang bakar,clickbait,0
hore gunung sampah pinggir ciliwung cilebut bersih minggu,clickbait,0
polisi mundur massa tangkap palmerah,non-clickbait,1
cuit tmcpoldametro ambulans bawa molotov pejompongan hilang,non-clickbait,1
legal konsumsi wilayah rumah tanam 4 pohon ganja,clickbait,0
ngaku perkosa lapor mahasiswi palsu,clickbait,0
upaya kembang ekonomi kreatif indonesia australia rajin tekstil,non-clickbait,1
gempa ambon kamis pagi 5 fakta,clickbait,0
tok dpr sahkan ruu bela negara uu,clickbait,0
bencana manusia mentalitas pasrah,non-clickbait,1
bahaya konsep domein verklaring ruu tanah,clickbait,0
imam nahrawi pb pmii inkonsistensi,non-clickbait,1
jokowi solusi diplomasi,non-clickbait,1
inovasi tim dentsu menang young spikes indonesia,clickbait,0
mulan jameela rebut kursi dpr daerah,non-clickbait,1
pasal pasal kontroversial ruu tanah,clickbait,0
massa kammi paksa pimpin dprd jateng teken tolak ruu ks,non-clickbait,1
demo dpr siang cek rekayasa lintas,clickbait,0
mesum susup hacker layar lampu merah garut lenyap,non-clickbait,1
miris gunung sampah 16 meter tepi sungai ciliwung cilebut bogor,clickbait,0
respons kampus yogya kait aksi gejayan panggil,non-clickbait,1
jokowi kumpul menko polhukam menkum ham bahas situasi aman,clickbait,0
jabar sabet 3 harga teknologi 2019,non-clickbait,1
