title,label,label_score
radar pilwalkot medan menantu jokowi bertemu dpw nasdem sumut,non-clickbait,0
malaysia sudutkan ri isu kabut asap invasi babi,non-clickbait,0
viral  driver ojol bekasi pesanan makanan pakai sepeda,clickbait,1
kemensos salurkan rp 73 korban kerusuhan sosial papua,non-clickbait,0
terkait mayat bayi mengenaskan tangerang pria ditangkap polisi,non-clickbait,0
uang rp 16 raib parkiran kantor gubernur sumut honor tapd,non-clickbait,0
mpr amandemen uud 1945 melebar,non-clickbait,0
muncul istana tengah rekonsiliasi rusuh papua,non-clickbait,0
peringati tahun islam banyuwangi gelar festival muharam,non-clickbait,0
wanita kendari diperkosa jalanan makassar pelaku diburu,non-clickbait,0
hnw gbhn jamin rencana pembangunan ri jangka,non-clickbait,0
motor nyangkut bambu sleman ,clickbait,1
jakpro protes adhi karya tender proyek jis wika,non-clickbait,0
pesan gamblang poyuono menolak revisi uu kpk,clickbait,1
mayat ladang tebu malang begal dibunuh remaja dipalaknya,non-clickbait,0
jenguk bj habibie ketua dewan pers nuh prosesnya positif bagus,non-clickbait,0
lokasi istana presiden ri papua 15 menit jembatan holtekamp,non-clickbait,0
hiasan taman asia afrika bandung rusak diterjang angin kencang,non-clickbait,0
polemik pb djarum kpai fadli zon mestinya dimusyawarahkan,non-clickbait,0
pengacara ajukan penangguhan penahanan kivlan zen,non-clickbait,0
pria depresi bakar mobilnya pembuangan,non-clickbait,0
eksepsi bassist boomerang hubert henry ganja ditolak hakim,non-clickbait,0
jenguk bj habibie rspad kepala bppt beliau semangat recovery,non-clickbait,0
jk jenguk habibie rspad gatot soebroto,non-clickbait,0
mobil tertimpa pohon pondok indah pengemudi terluka,non-clickbait,0
demokrat bangun museum art gallery sby ani pacitan,non-clickbait,0
mendagri jamin pelaksanaan uu otsus papua dilanjutkan,non-clickbait,0
kpk cegah ketua fraksi golkar melchias mekeng negeri,non-clickbait,0
tegaskan dukung pemerintah pd kenal oposisi,non-clickbait,0
peredaran snack izin dibongkar omzet sebulan capai rp 15 miliar,non-clickbait,0
