title,label,label_score
radar pilwalkot medan menantu jokowi temu dpw nasdem sumut,non-clickbait,0
malaysia sudut ri isu kabut asap invasi babi,non-clickbait,0
viral driver ojol bekas pesan makan pakai sepeda,clickbait,1
kemensos salur rp 73 korban rusuh sosial papua,non-clickbait,0
kait mayat bayi enas tangerang pria tangkap polisi,non-clickbait,0
uang rp 16 raib parkir kantor gubernur sumut honor tapd,non-clickbait,0
mpr amandemen uud 1945 lebar,non-clickbait,0
muncul istana tengah rekonsiliasi rusuh papua,non-clickbait,0
ingat tahun islam banyuwangi gelar festival muharam,non-clickbait,0
wanita kendari perkosa jalan makassar laku buru,non-clickbait,0
hnw gbhn jamin rencana bangun ri jangka,non-clickbait,0
motor nyangkut bambu sleman,clickbait,1
jakpro protes adhi karya tender proyek jis wika,non-clickbait,0
pesan gamblang poyuono tolak revisi uu kpk,clickbait,1
mayat ladang tebu malang begal bunuh remaja palak,non-clickbait,0
jenguk bj habibie ketua dewan pers nuh proses positif bagus,non-clickbait,0
lokasi istana presiden ri papua 15 menit jembatan holtekamp,non-clickbait,0
hias taman asia afrika bandung rusak terjang angin kencang,non-clickbait,0
polemik pb djarum kpai fadli zon mesti musyawarah,non-clickbait,0
acara aju tangguh tahan kivlan zen,non-clickbait,0
pria depresi bakar mobil buang,non-clickbait,0
eksepsi bassist boomerang hubert henry ganja tolak hakim,non-clickbait,0
jenguk bj habibie rspad kepala bppt beliau semangat recovery,non-clickbait,0
jk jenguk habibie rspad gatot soebroto,non-clickbait,0
mobil timpa pohon pondok indah kemudi luka,non-clickbait,0
demokrat bangun museum art gallery sby ani pacitan,non-clickbait,0
mendagri jamin laksana uu otsus papua lanjut,non-clickbait,0
kpk cegah ketua fraksi golkar melchias mekeng negeri,non-clickbait,0
tegas dukung perintah pd kenal oposisi,non-clickbait,0
edar snack izin bongkar omzet bulan capai rp 15 miliar,non-clickbait,0
mayat pria temu kalimalang bekas duga korban tenggelam,non-clickbait,0
pesan anak habibie jenguk erti istirahat,non-clickbait,0
kpk curhat cegah korupsi anggap uang negara selamat,non-clickbait,0
act inisiasi gera nasional indonesiadermawan,non-clickbait,0
demokrat dukung langkah jokowi bangun istana papua,non-clickbait,0
menkum ham kaji draf revisi uu kpk,non-clickbait,0
mpr gelar diskusi evaluasi laksana uud yogyakarta,non-clickbait,0
detik detik kendara alami celaka untun cipularang,clickbait,1
kocak maling rumah mewah jakut rekam cctv bingung cari jalan kabur,clickbait,1
selidik ular buang asrama papua polisi ganjal akses,non-clickbait,0
kpk tanggap dpr tega hukum ikat komitmen politik,non-clickbait,0
kronologi barista tikam siswi smk bandung cinta tolak,non-clickbait,0
acara dakwa kivlan zen paksa,non-clickbait,0
polisi belanda tembak mati istri 2 putri bunuh,non-clickbait,0
6 rampok bersebo tembak warga tewas sumsel,non-clickbait,0
tepis sebab tunggal kabut asap ri surati malaysia,non-clickbait,0
jokowi mekar wilayah papua jk undang undang,non-clickbait,0
respons jk kpk sp3 disalahgunakan,non-clickbait,0
luas jabar tantang sintang siap generasi emas,clickbait,1
viral video duga baku tembak sleman polisi,clickbait,1
kad pu 2 pns kabupaten mandailing natal tahan kejat sumut,non-clickbait,0
banding tolak hak politik eks bupati katingan cabut hakim,non-clickbait,0
gadai sk wajar dprd surabaya bank lirik,non-clickbait,0
karyawan pabrik boneka racun polisi sita sayur nangka,non-clickbait,0
celaka untun 4 kendara lenteng agung 2 motor luka luka,non-clickbait,0
kpk bongkar mafia migas transaksi lintas negara mudah ungkap,non-clickbait,0
awas hong kong aktivis joshua terbang lin,non-clickbait,0
anggota dprd surabaya gadai sk jamin potong gaji,non-clickbait,0
ical jenguk bj habibie rspad doa baik,non-clickbait,0
175 4 korporasi sangka karhutla sumatera kalimantan,non-clickbait,0
gubernur edy uang miliar milik pemprov hilang,non-clickbait,0
gilir alumni unnes seru tolak revisi uu kpk,non-clickbait,0
fenomena gadai sk anggota dewan dprd serang,non-clickbait,0
akademisi mahasiswa unair tolak revisi uu kpk,non-clickbait,0
pegawai kpk surati fraksi dpr pilih capim lemah kpk,non-clickbait,0
waspada tipu catut pertamina korban rugi puluh juta,clickbait,1
ekoturisme ajar negara,non-clickbait,0
refleksi 5 tahun dpd ri oso daerah,non-clickbait,0
mui riau laku karhutla taat agama,non-clickbait,0
gadai sk anggota dprd jabar terima kredit rp 1 miliar,non-clickbait,0
selundup 19253 benih lobster tuju singapura gagal makassar,non-clickbait,0
celaka untun truk bakar cipularang 2 luka,non-clickbait,0
berita negatif hnw khawatir moral bangsa indonesia,non-clickbait,0
kpk harap jerat eks dirut petral buka kotak pandora mafia migas,non-clickbait,0
hamas tembak jatuh drone israel jalur gaza,non-clickbait,0
jpu berat kivlan zen damping kuasa hukum militer,non-clickbait,0
sangka eks dirut petral duga terima suap usd 29 juta,non-clickbait,0
jaksa duit rp 25 juta kivlan zen modal mata wiranto luhut,non-clickbait,0
jaksa kan senpi peluru tajam beli kivlan zen cs rinciannya,clickbait,1
dishub polda data butuh tle area luas ganjil genap,non-clickbait,0
polisi olah tkp celaka maut tewas 3 nganjuk,non-clickbait,0
uang miliar rupiah milik pemprov sumut hilang polisi turun tangan,non-clickbait,0
menkum ham cabut paspor veronica koman tentu,non-clickbait,0
quality time keluarga 3 manfaat,clickbait,1
menteri jokowi 55 profesional kandidat,clickbait,1
lipi desak jokowi tolak revisi uu kpk lumpuh kerja kpk,non-clickbait,0
serang tutup motor trotoar tilang,non-clickbait,0
bareskrim tangkap 2 bobol rugi bank bumn rp 16 miliar,non-clickbait,0
bekal caleg pilih demokrat sby arah tutup,non-clickbait,0
aktivis perempuan nilai ruu pks sandera ruu kuhp,non-clickbait,0
identifikasi 4 korban celaka cipularang duga perempuan,non-clickbait,0
siswi smk bandung tikam sekolah tolak cinta laku,non-clickbait,0
pilih capim kpk cacat yuridis saran samad dpr,clickbait,1
kunjung penuh panggil veronica koman dpo,non-clickbait,0
pria misterius jubah putih viral sumut ingat tuhan murka,clickbait,1
adik hoax habibie tinggal mbok gitu iseng,non-clickbait,0
jk bicara kpk sp3 contoh rj lino,non-clickbait,0
tidur siang 1 2 minggu kurang serang jantung,non-clickbait,0
polisi simpul bos sembako cilegon tewas bunuh,non-clickbait,0
tengok pantai mustika banyuwangi,non-clickbait,0
asap pekat selimut riau pemprov gelar salat hujan besok,non-clickbait,0
kontrak politik capim kpk fahri taat undang undang,non-clickbait,0
caketum hipmi usaha ri jiwa nasionalisme kuat,non-clickbait,0
kpu solo aju dana rp 178 pilwalkot 2020,non-clickbait,0
utus presiden gelar munas tokoh antaragama,non-clickbait,0
panggil veronica koman polisi tunggu pekan,non-clickbait,0
kpk tetap eks jabat pertamina energy sangka mafia migas,non-clickbait,0
peluk istri jalan sidang kivlan zen menang,non-clickbait,0
video porno sumedang sebar per pria motif,clickbait,1
icw taruh kpk jokowi,non-clickbait,0
ungkap video porno sumedang peran pasang selingkuh,clickbait,1
bocah bekas tewas bully kpad imbau keluarga lapor,non-clickbait,0
jk revisi uu kpk tuntut koordinasi jaksa agung,non-clickbait,0
komisi iii dpr pasti tampung masuk capim kpk,non-clickbait,0
tokoh papua undang jokowi eks timses istana,non-clickbait,0
wagub jabar kerja lingkung pemprov jabar daftar bpjs tk,non-clickbait,0
anak cucu kumpul teman bj habibie rspad gatot soebroto,non-clickbait,0
gara gara puntung rokok 28 hektare lahan sulteng bakar,non-clickbait,0
topan faxai hantam jepang 17000 tumpang telantar bandara narita,non-clickbait,0
gajah amuk festival agama sri lanka 18 luka,non-clickbait,0
waduk pacal bojonegoro surut lahan tani 4 camat kering,non-clickbait,0
komisi iii dpr gelar rdpu tampung masuk seleksi capim kpk,non-clickbait,0
detik detik cekam ampo rumah makan gratis duafa bogor,clickbait,1
hut 70 brigif raider 13 ziarah makam bupati galuh ciamis,non-clickbait,0
pesan kpk jokowi bangun capai gerogot korupsi,non-clickbait,0
40 guru tinggi muhammadiyah indonesia tolak revisi uu kpk,non-clickbait,0
1904 langgar tilang perdana luas ganjil genap kemarin,non-clickbait,0
rawat intensif rspad bj habibie salat baring,non-clickbait,0
4 polrestabes surabaya parkir tingkat,non-clickbait,0
pek lantik anggota dprd jabar gadai sk bank,non-clickbait,0
poyuono perintah dpr revisi uu kpk mudah rampok uang negara,non-clickbait,0
ratus mahasiswa surabaya dukung revisi uu kpk,non-clickbait,0
abraham samad jokowi dpr setop bahas revisi uu kpk,non-clickbait,0
satgas karhutla investigasi sebab bakar kebun tebu ptpn vii ogan ilir,non-clickbait,0
fenomena anggota dewan gadai sk dprd surabaya,non-clickbait,0
anies anggap baik udara jakarta ganjil genap instan,non-clickbait,0
tepis kabar bully polisi bocah tinggal bekas akibat tetanus,non-clickbait,0
tokoh papua bicara jokowi saing duduk lingkung,non-clickbait,0
kritik revisi uu kpk rektor ipb muka agama tolak lemah kpk,non-clickbait,0
galang biaya kota,non-clickbait,0
pasu kostrad kerah tangkap laku karhutla riau,non-clickbait,0
cerita warga jepara mandi hari akibat kering,non-clickbait,0
kendara listrik bebas atur ganjil genap alas,clickbait,1
satu korban selamat celaka maut nganjuk ciduk narkoba,non-clickbait,0
jokowi terbang aceh wamena jauh london istanbul,non-clickbait,0
home industry arak sidoarjo gerebek aman,non-clickbait,0
jokowi papua telat oktober resmi jembatan holtekamp,non-clickbait,0
ganjil genap anies guna angkut umum capai rekor,non-clickbait,0
trump umum runding damai talib mati,non-clickbait,0
bijak gila jokowi,clickbait,1
jokowi janji 1000 sarjana papua bumn usaha,non-clickbait,0
bayi kaki tangan putus tangerang serah polisi,non-clickbait,0
usut kpk mafia migas kait petral,non-clickbait,0
banyuwangi awat kolaborasi bikin sehat usaha wisata warga,non-clickbait,0
korban celaka maut nganjuk dpo narkoba,non-clickbait,0
kabut asap bikin terbang banjarmasin ganggu,non-clickbait,0
tokoh papua jokowi bangun istana presiden papua,non-clickbait,0
jaksa kpk ma tolak pk novanto,non-clickbait,0
pemkot pekanbaru libur sd smp kabut asap,clickbait,1
video porno pasang dewasa geger sumedang,non-clickbait,0
tata umroh urut baca,non-clickbait,0
40 persen dewan ciamis gadai sk ketua curi uang negara,non-clickbait,0
putar celaka maut jalur nganjuk madiun tewas 3,non-clickbait,0
pj walkot makassar rilis edar antisipasi syiah rekomendasi mui,non-clickbait,0
pimpin ibas demokrat gelar bekal anggota legislatif 2019 2024,non-clickbait,0
jokowi tahun istana presiden papua bangun,non-clickbait,0
jokowi undang tokoh papua istana,non-clickbait,0
china geram nyata menlu as laku uighur,non-clickbait,0
oso revisi uu kpk lemah,non-clickbait,0
154 langgar tilang jakbar alas ganjil genap,non-clickbait,0
jenguk bj habibie anies moga allah turun mukjizat,non-clickbait,0
gubernur khofifah gandeng isei kembang one pesantren one product,non-clickbait,0
sby jenguk bj habibie rspad gatot soebroto,non-clickbait,0
hut 74 tni al tingkat sdm indonesia maju,non-clickbait,0
buka luwur sunan kudus ribu paket nasi berkat bagi,non-clickbait,0
pdip nilai pidato kontemplasi sby jalan ide jokowi,non-clickbait,0
2 ribu hektare lahan bakar udara palembang sehat,clickbait,1
lemah kpk demokrasi,non-clickbait,0
kpk panggil wakil ketua komisi xi kait anggota dpr pan,non-clickbait,0
kabut asap pekat riau ganggu terbang,non-clickbait,0
tugas cek pajak langgar ganjil genap cokelat,non-clickbait,0
tim ajar dki raih juara olimpiade metropolis moskow,non-clickbait,0
status sangka veronica koman soal polri praperadilan,non-clickbait,0
viral bocah bekas tewas akibat bully ketua rt,clickbait,1
pemkab ponorogo aju 531 formasi cpns p3k,non-clickbait,0
kemudi langgar 2 ganjil genap jaksel,non-clickbait,0
ganjil genap dishub sosialisasi maksimal,non-clickbait,0
suasana antre ngalap berkat buka luwur sunan kudus,non-clickbait,0
dishub dki luas ganjil genap tingkat guna sepeda motor,non-clickbait,0
anggota dprd banten ramai ramai gadai sk kemendagri,clickbait,1
asap karhutla parah jarak pandang riau 800 meter,non-clickbait,0
luas ganjil genap dishub volume lintas turun signifikan,non-clickbait,0
aktor intelektual rusuh papua cari,non-clickbait,0
curhatan korban bully pansel kpk komisi iii,non-clickbait,0
kpk umum sangka mafia migas kait petral siang,non-clickbait,0
puntung rokok balut bekas ratus kilo sampah pantai gold coast,non-clickbait,0
asap pekat kepung pekanbaru polantas bagi masker kendara,non-clickbait,0
santri probolinggo sambut 10 muharam pawai obor,non-clickbait,0
yuk bantu jokowi cari menteri ikut polling detikcom,clickbait,1
beda 2 eks komisioner kpai polemik pb djarum,non-clickbait,0
ratus keluarga queensland ungsi hindar bakar kian buruk,non-clickbait,0
terap tilang elektronik busway target oktober 2019,non-clickbait,0
dangdut maut tewas 2 pria bekas 4 laku tangkap,non-clickbait,0
cerita ngeri bocah bogor bunuh sodomi,non-clickbait,0
contoh motor serang pejal kaki trotoar maaf,non-clickbait,0
bakar gudang jaring padam rugi taksir rp 2,non-clickbait,0
atas kabut asap indonesia malaysia rencana hujan buat,non-clickbait,0
hindar razia wanita duga psk makassar sembunyi selokan,non-clickbait,0
polisi bongkar dagang wanita kepri korban jadi psk,non-clickbait,0
gegara potong kabel anies somasi apjatel,non-clickbait,0
anggota baleg dpr revisi uu kpk imbang cegah tindak,non-clickbait,0
john chardon bukti salah mati istri novy,non-clickbait,0
kpai kembang bakat bulutangkis jalan sesuai regulasi,non-clickbait,0
asrama mahasiswa papua lempar karung isi ular polisi hoaks,non-clickbait,0
harap mati kpk yasonna hati hati,non-clickbait,0
korut nyata temu as bahas denuklirisasi september,non-clickbait,0
bmkg prediksi cuaca jakarta cerah,non-clickbait,0
polri terus aju red notice veronica koman interpol,non-clickbait,0
personel polres jakbar satpam ampg pro bamsoet polisi,non-clickbait,0
asap pekat siswa sd pekanbaru sekolah,non-clickbait,0
edar isu habibie tinggal keluarga hoax,non-clickbait,0
anggota dprd banten gadai sk komisi ii dpr tutup utang kampanye,clickbait,1
komisi iii dpr revisi uu kpk barang surpres jokowi,non-clickbait,0
tani blitar biar tomat busuk harga anjlok,non-clickbait,0
dishub dki luas ganjil genap baik kualitas udara,non-clickbait,0
sby ajak rakyat dukung jokowi istana bentuk santun politik,non-clickbait,0
asyura pemkot makassar rilis edar antisipasi sebar syiah,non-clickbait,0
polisi periksa kad sangka cium pipi staf selfie pekan,non-clickbait,0
adu tetap sangka veronica koman komnas ham,clickbait,1
bahas seleksi capim kpk komisi iii temu koalisi masyarakat sipil,non-clickbait,0
hasil mediasi pt ka warga blitar lintas bidang portal,non-clickbait,0
pabrik tiner kalideres bakar 15 mobil damkar kerah,non-clickbait,0
sby ajak rakyat dukung jokowi ppp simpatik negarawan,non-clickbait,0
korban cium pipi selfie tolak damai sangka hukum,non-clickbait,0
jenguk bj habibie sby batal buka temu nasional fraksi demokrat,non-clickbait,0
kualitas udara buruk libur siswa sd jambi panjang,non-clickbait,0
curhat warga desa digital sukabumi buru sandi wi fi gratis,non-clickbait,0
bus transj tabrak mobil lalin menteng arah rasuna said macet,non-clickbait,0
langgar jalur luas ganjil genap jakpus,non-clickbait,0
besok polisi panggil tum fpi kait duga makar,non-clickbait,0
viral video korban celaka maut nganjuk bikin video tabrak,clickbait,1
anggota dprd banten ramai ramai gadai sk pimpin ranah pribadi,non-clickbait,0
bupati bogor pemprov dki bantu tangan sampah kalibaru,non-clickbait,0
